ix|lang|bench|platform|transform|new_method|es_mode|js_args|estimator|time_per_elapsed|yield_interval|resample_interval|running_time|num_yields
0|java|revcomp|native|NA|NA|NA|NA|NA|NA|NA|NA|2328|NA
0|java|nbody|native|NA|NA|NA|NA|NA|NA|NA|NA|3052|NA
0|java|binary_tree|native|NA|NA|NA|NA|NA|NA|NA|NA|11539|NA
0|java|regexredux|native|NA|NA|NA|NA|NA|NA|NA|NA|2622|NA
0|java|knucleotide|native|NA|NA|NA|NA|NA|NA|NA|NA|2711|NA
0|java|pidigits|native|NA|NA|NA|NA|NA|NA|NA|NA|75|NA
0|java|fastaredux|native|NA|NA|NA|NA|NA|NA|NA|NA|4505|NA
0|java|regexdna|native|NA|NA|NA|NA|NA|NA|NA|NA|2612|NA
0|java|Havlak|native|NA|NA|NA|NA|NA|NA|NA|NA|2201|NA
0|java|fasta|native|NA|NA|NA|NA|NA|NA|NA|NA|8552|NA
0|java|fannkuch_redux|native|NA|NA|NA|NA|NA|NA|NA|NA|5300|NA
0|java|spectral_norm|native|NA|NA|NA|NA|NA|NA|NA|NA|9115|NA
1|java|revcomp|native|NA|NA|NA|NA|NA|NA|NA|NA|2337|NA
1|java|nbody|native|NA|NA|NA|NA|NA|NA|NA|NA|3053|NA
1|java|binary_tree|native|NA|NA|NA|NA|NA|NA|NA|NA|11735|NA
1|java|regexredux|native|NA|NA|NA|NA|NA|NA|NA|NA|2614|NA
1|java|knucleotide|native|NA|NA|NA|NA|NA|NA|NA|NA|2698|NA
1|java|pidigits|native|NA|NA|NA|NA|NA|NA|NA|NA|75|NA
1|java|fastaredux|native|NA|NA|NA|NA|NA|NA|NA|NA|4494|NA
1|java|regexdna|native|NA|NA|NA|NA|NA|NA|NA|NA|2660|NA
1|java|Havlak|native|NA|NA|NA|NA|NA|NA|NA|NA|2189|NA
1|java|fasta|native|NA|NA|NA|NA|NA|NA|NA|NA|8556|NA
1|java|fannkuch_redux|native|NA|NA|NA|NA|NA|NA|NA|NA|5293|NA
1|java|spectral_norm|native|NA|NA|NA|NA|NA|NA|NA|NA|9090|NA
2|java|revcomp|native|NA|NA|NA|NA|NA|NA|NA|NA|2328|NA
2|java|nbody|native|NA|NA|NA|NA|NA|NA|NA|NA|3051|NA
2|java|binary_tree|native|NA|NA|NA|NA|NA|NA|NA|NA|11568|NA
2|java|regexredux|native|NA|NA|NA|NA|NA|NA|NA|NA|2611|NA
2|java|knucleotide|native|NA|NA|NA|NA|NA|NA|NA|NA|2706|NA
2|java|pidigits|native|NA|NA|NA|NA|NA|NA|NA|NA|77|NA
