Language,Benchmark,Transform,Platform,NewMethod,EsMode,JsArgs,Estimator,TimePerElapsed,YieldInterval,ResampleInterval,RunningTime,NumYields
c++,bigfib,native,NA,NA,NA,NA,NA,NA,NA,NA,186,NA
c++,binary-trees,native,NA,NA,NA,NA,NA,NA,NA,NA,1943,NA
c++,container,native,NA,NA,NA,NA,NA,NA,NA,NA,2563,NA
c++,dry,native,NA,NA,NA,NA,NA,NA,NA,NA,3450,NA
c++,fannkuch-redux,native,NA,NA,NA,NA,NA,NA,NA,NA,176,NA
c++,fasta,native,NA,NA,NA,NA,NA,NA,NA,NA,629,NA
c++,float-mm,native,NA,NA,NA,NA,NA,NA,NA,NA,210,NA
c++,gcc-loops,native,NA,NA,NA,NA,NA,NA,NA,NA,1598,NA
c++,mandelbrot,native,NA,NA,NA,NA,NA,NA,NA,NA,1086,NA
c++,meteor,native,NA,NA,NA,NA,NA,NA,NA,NA,93,NA
c++,nbody,native,NA,NA,NA,NA,NA,NA,NA,NA,516,NA
c++,quicksort,native,NA,NA,NA,NA,NA,NA,NA,NA,2458,NA
c++,spectral-norm,native,NA,NA,NA,NA,NA,NA,NA,NA,4572,NA
c++,towers,native,NA,NA,NA,NA,NA,NA,NA,NA,397,NA
c++,zlib,native,NA,NA,NA,NA,NA,NA,NA,NA,432,NA
c++,bigfib,native,NA,NA,NA,NA,NA,NA,NA,NA,184,NA
c++,binary-trees,native,NA,NA,NA,NA,NA,NA,NA,NA,1938,NA
c++,container,native,NA,NA,NA,NA,NA,NA,NA,NA,2570,NA
c++,dry,native,NA,NA,NA,NA,NA,NA,NA,NA,3437,NA
c++,fannkuch-redux,native,NA,NA,NA,NA,NA,NA,NA,NA,157,NA
c++,fasta,native,NA,NA,NA,NA,NA,NA,NA,NA,612,NA
c++,float-mm,native,NA,NA,NA,NA,NA,NA,NA,NA,197,NA
c++,gcc-loops,native,NA,NA,NA,NA,NA,NA,NA,NA,1574,NA
c++,mandelbrot,native,NA,NA,NA,NA,NA,NA,NA,NA,1070,NA
c++,meteor,native,NA,NA,NA,NA,NA,NA,NA,NA,68,NA
c++,nbody,native,NA,NA,NA,NA,NA,NA,NA,NA,498,NA
c++,quicksort,native,NA,NA,NA,NA,NA,NA,NA,NA,2441,NA
