Language,Benchmark,Transform,Platform,NewMethod,EsMode,JsArgs,Estimator,TimePerElapsed,YieldInterval,ResampleInterval,RunningTime,NumYields
clojurescript,binarytrees,native,NA,NA,NA,NA,NA,NA,NA,NA,2782,NA
clojurescript,collatz,native,NA,NA,NA,NA,NA,NA,NA,NA,3267,NA
clojurescript,fannkuch,native,NA,NA,NA,NA,NA,NA,NA,NA,4961,NA
clojurescript,mandelbrot,native,NA,NA,NA,NA,NA,NA,NA,NA,20212,NA
clojurescript,memuse,native,NA,NA,NA,NA,NA,NA,NA,NA,10023,NA
clojurescript,meteor,native,NA,NA,NA,NA,NA,NA,NA,NA,2964,NA
clojurescript,nbody,native,NA,NA,NA,NA,NA,NA,NA,NA,3191,NA
clojurescript,pidigits,native,NA,NA,NA,NA,NA,NA,NA,NA,15339,NA
clojurescript,binarytrees,native,NA,NA,NA,NA,NA,NA,NA,NA,2715,NA
clojurescript,collatz,native,NA,NA,NA,NA,NA,NA,NA,NA,3306,NA
clojurescript,fannkuch,native,NA,NA,NA,NA,NA,NA,NA,NA,4934,NA
clojurescript,mandelbrot,native,NA,NA,NA,NA,NA,NA,NA,NA,20126,NA
clojurescript,memuse,native,NA,NA,NA,NA,NA,NA,NA,NA,9689,NA
clojurescript,meteor,native,NA,NA,NA,NA,NA,NA,NA,NA,2557,NA
clojurescript,nbody,native,NA,NA,NA,NA,NA,NA,NA,NA,2982,NA
clojurescript,pidigits,native,NA,NA,NA,NA,NA,NA,NA,NA,15181,NA
clojurescript,binarytrees,native,NA,NA,NA,NA,NA,NA,NA,NA,2710,NA
clojurescript,collatz,native,NA,NA,NA,NA,NA,NA,NA,NA,3318,NA
clojurescript,fannkuch,native,NA,NA,NA,NA,NA,NA,NA,NA,4928,NA
clojurescript,mandelbrot,native,NA,NA,NA,NA,NA,NA,NA,NA,20366,NA
clojurescript,memuse,native,NA,NA,NA,NA,NA,NA,NA,NA,9567,NA
clojurescript,meteor,native,NA,NA,NA,NA,NA,NA,NA,NA,2456,NA
clojurescript,nbody,native,NA,NA,NA,NA,NA,NA,NA,NA,3025,NA
clojurescript,pidigits,native,NA,NA,NA,NA,NA,NA,NA,NA,15303,NA
clojurescript,binarytrees,native,NA,NA,NA,NA,NA,NA,NA,NA,2684,NA
clojurescript,collatz,native,NA,NA,NA,NA,NA,NA,NA,NA,3250,NA
clojurescript,fannkuch,native,NA,NA,NA,NA,NA,NA,NA,NA,4963,NA
clojurescript,mandelbrot,native,NA,NA,NA,NA,NA,NA,NA,NA,20488,NA
clojurescript,memuse,native,NA,NA,NA,NA,NA,NA,NA,NA,9529,NA
clojurescript,meteor,native,NA,NA,NA,NA,NA,NA,NA,NA,2498,NA
clojurescript,nbody,native,NA,NA,NA,NA,NA,NA,NA,NA,3013,NA
clojurescript,pidigits,native,NA,NA,NA,NA,NA,NA,NA,NA,15301,NA
clojurescript,binarytrees,native,NA,NA,NA,NA,NA,NA,NA,NA,2718,NA
clojurescript,collatz,native,NA,NA,NA,NA,NA,NA,NA,NA,3188,NA
clojurescript,fannkuch,native,NA,NA,NA,NA,NA,NA,NA,NA,4930,NA
clojurescript,mandelbrot,native,NA,NA,NA,NA,NA,NA,NA,NA,20234,NA
clojurescript,memuse,native,NA,NA,NA,NA,NA,NA,NA,NA,9538,NA
clojurescript,meteor,native,NA,NA,NA,NA,NA,NA,NA,NA,2439,NA
clojurescript,nbody,native,NA,NA,NA,NA,NA,NA,NA,NA,3041,NA
clojurescript,pidigits,native,NA,NA,NA,NA,NA,NA,NA,NA,15281,NA
clojurescript,binarytrees,native,NA,NA,NA,NA,NA,NA,NA,NA,2703,NA
clojurescript,collatz,native,NA,NA,NA,NA,NA,NA,NA,NA,3281,NA
clojurescript,fannkuch,native,NA,NA,NA,NA,NA,NA,NA,NA,4923,NA
clojurescript,mandelbrot,native,NA,NA,NA,NA,NA,NA,NA,NA,19941,NA
clojurescript,memuse,native,NA,NA,NA,NA,NA,NA,NA,NA,9523,NA
clojurescript,meteor,native,NA,NA,NA,NA,NA,NA,NA,NA,2425,NA
clojurescript,nbody,native,NA,NA,NA,NA,NA,NA,NA,NA,3023,NA
clojurescript,pidigits,native,NA,NA,NA,NA,NA,NA,NA,NA,15263,NA
