Language,Benchmark,Transform,Platform,NewMethod,EsMode,JsArgs,Estimator,TimePerElapsed,YieldInterval,ResampleInterval,RunningTime,NumYields
dart_dart2js,revcomp,native,NA,NA,NA,NA,NA,NA,NA,NA,2328,NA
dart_dart2js,nbody,native,NA,NA,NA,NA,NA,NA,NA,NA,3052,NA
dart_dart2js,binary_tree,native,NA,NA,NA,NA,NA,NA,NA,NA,11539,NA
dart_dart2js,regexredux,native,NA,NA,NA,NA,NA,NA,NA,NA,2622,NA
dart_dart2js,knucleotide,native,NA,NA,NA,NA,NA,NA,NA,NA,2711,NA
dart_dart2js,pidigits,native,NA,NA,NA,NA,NA,NA,NA,NA,75,NA
dart_dart2js,fastaredux,native,NA,NA,NA,NA,NA,NA,NA,NA,4505,NA
dart_dart2js,regexdna,native,NA,NA,NA,NA,NA,NA,NA,NA,2612,NA
dart_dart2js,Havlak,native,NA,NA,NA,NA,NA,NA,NA,NA,2201,NA
dart_dart2js,fasta,native,NA,NA,NA,NA,NA,NA,NA,NA,8552,NA
dart_dart2js,fannkuch_redux,native,NA,NA,NA,NA,NA,NA,NA,NA,5300,NA
dart_dart2js,spectral_norm,native,NA,NA,NA,NA,NA,NA,NA,NA,9115,NA
dart_dart2js,revcomp,native,NA,NA,NA,NA,NA,NA,NA,NA,2337,NA
dart_dart2js,nbody,native,NA,NA,NA,NA,NA,NA,NA,NA,3053,NA
dart_dart2js,binary_tree,native,NA,NA,NA,NA,NA,NA,NA,NA,11735,NA
dart_dart2js,regexredux,native,NA,NA,NA,NA,NA,NA,NA,NA,2614,NA
dart_dart2js,knucleotide,native,NA,NA,NA,NA,NA,NA,NA,NA,2698,NA
dart_dart2js,pidigits,native,NA,NA,NA,NA,NA,NA,NA,NA,75,NA
dart_dart2js,fastaredux,native,NA,NA,NA,NA,NA,NA,NA,NA,4494,NA
dart_dart2js,regexdna,native,NA,NA,NA,NA,NA,NA,NA,NA,2660,NA
dart_dart2js,Havlak,native,NA,NA,NA,NA,NA,NA,NA,NA,2189,NA
dart_dart2js,fasta,native,NA,NA,NA,NA,NA,NA,NA,NA,8556,NA
dart_dart2js,fannkuch_redux,native,NA,NA,NA,NA,NA,NA,NA,NA,5293,NA
dart_dart2js,spectral_norm,native,NA,NA,NA,NA,NA,NA,NA,NA,9090,NA
dart_dart2js,revcomp,native,NA,NA,NA,NA,NA,NA,NA,NA,2328,NA
dart_dart2js,nbody,native,NA,NA,NA,NA,NA,NA,NA,NA,3051,NA
dart_dart2js,binary_tree,native,NA,NA,NA,NA,NA,NA,NA,NA,11568,NA
dart_dart2js,regexredux,native,NA,NA,NA,NA,NA,NA,NA,NA,2611,NA
dart_dart2js,knucleotide,native,NA,NA,NA,NA,NA,NA,NA,NA,2706,NA
dart_dart2js,pidigits,native,NA,NA,NA,NA,NA,NA,NA,NA,77,NA
dart_dart2js,fastaredux,native,NA,NA,NA,NA,NA,NA,NA,NA,4667,NA
dart_dart2js,regexdna,native,NA,NA,NA,NA,NA,NA,NA,NA,2665,NA
dart_dart2js,Havlak,native,NA,NA,NA,NA,NA,NA,NA,NA,2188,NA
dart_dart2js,fasta,native,NA,NA,NA,NA,NA,NA,NA,NA,8329,NA
dart_dart2js,fannkuch_redux,native,NA,NA,NA,NA,NA,NA,NA,NA,5339,NA
dart_dart2js,spectral_norm,native,NA,NA,NA,NA,NA,NA,NA,NA,9091,NA
dart_dart2js,revcomp,native,NA,NA,NA,NA,NA,NA,NA,NA,2320,NA
dart_dart2js,nbody,native,NA,NA,NA,NA,NA,NA,NA,NA,3068,NA
dart_dart2js,binary_tree,native,NA,NA,NA,NA,NA,NA,NA,NA,11540,NA
dart_dart2js,regexredux,native,NA,NA,NA,NA,NA,NA,NA,NA,2605,NA
dart_dart2js,knucleotide,native,NA,NA,NA,NA,NA,NA,NA,NA,2717,NA
dart_dart2js,pidigits,native,NA,NA,NA,NA,NA,NA,NA,NA,75,NA
dart_dart2js,fastaredux,native,NA,NA,NA,NA,NA,NA,NA,NA,4545,NA
dart_dart2js,regexdna,native,NA,NA,NA,NA,NA,NA,NA,NA,2667,NA
dart_dart2js,Havlak,native,NA,NA,NA,NA,NA,NA,NA,NA,2186,NA
dart_dart2js,fasta,native,NA,NA,NA,NA,NA,NA,NA,NA,8317,NA
dart_dart2js,fannkuch_redux,native,NA,NA,NA,NA,NA,NA,NA,NA,5290,NA
dart_dart2js,spectral_norm,native,NA,NA,NA,NA,NA,NA,NA,NA,9031,NA
dart_dart2js,revcomp,native,NA,NA,NA,NA,NA,NA,NA,NA,2322,NA
dart_dart2js,nbody,native,NA,NA,NA,NA,NA,NA,NA,NA,3048,NA
dart_dart2js,binary_tree,native,NA,NA,NA,NA,NA,NA,NA,NA,11559,NA
dart_dart2js,regexredux,native,NA,NA,NA,NA,NA,NA,NA,NA,2609,NA
dart_dart2js,knucleotide,native,NA,NA,NA,NA,NA,NA,NA,NA,2736,NA
dart_dart2js,pidigits,native,NA,NA,NA,NA,NA,NA,NA,NA,74,NA
dart_dart2js,fastaredux,native,NA,NA,NA,NA,NA,NA,NA,NA,4664,NA
dart_dart2js,regexdna,native,NA,NA,NA,NA,NA,NA,NA,NA,2660,NA
dart_dart2js,Havlak,native,NA,NA,NA,NA,NA,NA,NA,NA,2187,NA
dart_dart2js,fasta,native,NA,NA,NA,NA,NA,NA,NA,NA,8567,NA
dart_dart2js,fannkuch_redux,native,NA,NA,NA,NA,NA,NA,NA,NA,5314,NA
dart_dart2js,spectral_norm,native,NA,NA,NA,NA,NA,NA,NA,NA,9097,NA
dart_dart2js,revcomp,native,NA,NA,NA,NA,NA,NA,NA,NA,2328,NA
dart_dart2js,nbody,native,NA,NA,NA,NA,NA,NA,NA,NA,3053,NA
dart_dart2js,binary_tree,native,NA,NA,NA,NA,NA,NA,NA,NA,11764,NA
dart_dart2js,regexredux,native,NA,NA,NA,NA,NA,NA,NA,NA,2618,NA
dart_dart2js,knucleotide,native,NA,NA,NA,NA,NA,NA,NA,NA,2724,NA
dart_dart2js,pidigits,native,NA,NA,NA,NA,NA,NA,NA,NA,74,NA
dart_dart2js,fastaredux,native,NA,NA,NA,NA,NA,NA,NA,NA,4519,NA
dart_dart2js,regexdna,native,NA,NA,NA,NA,NA,NA,NA,NA,2171,NA
dart_dart2js,Havlak,native,NA,NA,NA,NA,NA,NA,NA,NA,2189,NA
dart_dart2js,fasta,native,NA,NA,NA,NA,NA,NA,NA,NA,8314,NA
dart_dart2js,fannkuch_redux,native,NA,NA,NA,NA,NA,NA,NA,NA,5301,NA
dart_dart2js,spectral_norm,native,NA,NA,NA,NA,NA,NA,NA,NA,9026,NA
dart_dart2js,revcomp,native,NA,NA,NA,NA,NA,NA,NA,NA,2320,NA
dart_dart2js,nbody,native,NA,NA,NA,NA,NA,NA,NA,NA,3057,NA
dart_dart2js,binary_tree,native,NA,NA,NA,NA,NA,NA,NA,NA,11714,NA
dart_dart2js,regexredux,native,NA,NA,NA,NA,NA,NA,NA,NA,2635,NA
