Language,Benchmark,Transform,Platform,NewMethod,EsMode,JsArgs,Estimator,TimePerElapsed,YieldInterval,ResampleInterval,RunningTime,NumYields
java,scimark-fft,native,NA,NA,NA,NA,NA,NA,NA,NA,1277,NA
java,scimark-fft,native,NA,NA,NA,NA,NA,NA,NA,NA,1287,NA
java,scimark-fft,native,NA,NA,NA,NA,NA,NA,NA,NA,1285,NA
java,scimark-fft,native,NA,NA,NA,NA,NA,NA,NA,NA,1305,NA
java,scimark-fft,native,NA,NA,NA,NA,NA,NA,NA,NA,1291,NA
java,scimark-fft,native,NA,NA,NA,NA,NA,NA,NA,NA,1286,NA
java,scimark-fft,native,NA,NA,NA,NA,NA,NA,NA,NA,1286,NA
java,scimark-fft,native,NA,NA,NA,NA,NA,NA,NA,NA,1302,NA
java,scimark-fft,native,NA,NA,NA,NA,NA,NA,NA,NA,1273,NA
java,scimark-fft,native,NA,NA,NA,NA,NA,NA,NA,NA,1279,NA
java,shootout-binarytrees-2,native,NA,NA,NA,NA,NA,NA,NA,NA,1011,NA
java,shootout-binarytrees-2,native,NA,NA,NA,NA,NA,NA,NA,NA,997,NA
java,shootout-binarytrees-2,native,NA,NA,NA,NA,NA,NA,NA,NA,1009,NA
java,shootout-binarytrees-2,native,NA,NA,NA,NA,NA,NA,NA,NA,988,NA
java,shootout-binarytrees-2,native,NA,NA,NA,NA,NA,NA,NA,NA,1011,NA
java,shootout-binarytrees-2,native,NA,NA,NA,NA,NA,NA,NA,NA,1009,NA
java,shootout-binarytrees-2,native,NA,NA,NA,NA,NA,NA,NA,NA,997,NA
java,shootout-binarytrees-2,native,NA,NA,NA,NA,NA,NA,NA,NA,1013,NA
java,shootout-binarytrees-2,native,NA,NA,NA,NA,NA,NA,NA,NA,1008,NA
java,shootout-binarytrees-2,native,NA,NA,NA,NA,NA,NA,NA,NA,999,NA
java,shootout-fannkuchredux-2,native,NA,NA,NA,NA,NA,NA,NA,NA,2770,NA
java,shootout-fannkuchredux-2,native,NA,NA,NA,NA,NA,NA,NA,NA,2945,NA
java,shootout-fannkuchredux-2,native,NA,NA,NA,NA,NA,NA,NA,NA,2401,NA
java,shootout-fannkuchredux-2,native,NA,NA,NA,NA,NA,NA,NA,NA,2962,NA
java,shootout-fannkuchredux-2,native,NA,NA,NA,NA,NA,NA,NA,NA,2775,NA
java,shootout-fannkuchredux-2,native,NA,NA,NA,NA,NA,NA,NA,NA,2961,NA
java,shootout-fannkuchredux-2,native,NA,NA,NA,NA,NA,NA,NA,NA,2967,NA
java,shootout-fannkuchredux-2,native,NA,NA,NA,NA,NA,NA,NA,NA,2598,NA
java,shootout-fannkuchredux-2,native,NA,NA,NA,NA,NA,NA,NA,NA,2711,NA
java,shootout-fannkuchredux-2,native,NA,NA,NA,NA,NA,NA,NA,NA,2387,NA
java,shootout-mandelbrot,native,NA,NA,NA,NA,NA,NA,NA,NA,2283,NA
java,shootout-mandelbrot,native,NA,NA,NA,NA,NA,NA,NA,NA,2262,NA
java,shootout-mandelbrot,native,NA,NA,NA,NA,NA,NA,NA,NA,2261,NA
java,shootout-mandelbrot,native,NA,NA,NA,NA,NA,NA,NA,NA,2262,NA
java,shootout-mandelbrot,native,NA,NA,NA,NA,NA,NA,NA,NA,2266,NA
java,shootout-mandelbrot,native,NA,NA,NA,NA,NA,NA,NA,NA,2265,NA
java,shootout-mandelbrot,native,NA,NA,NA,NA,NA,NA,NA,NA,2262,NA
java,shootout-mandelbrot,native,NA,NA,NA,NA,NA,NA,NA,NA,2262,NA
java,shootout-mandelbrot,native,NA,NA,NA,NA,NA,NA,NA,NA,2263,NA
java,shootout-mandelbrot,native,NA,NA,NA,NA,NA,NA,NA,NA,2262,NA
java,shootout-nbody,native,NA,NA,NA,NA,NA,NA,NA,NA,3434,NA
java,shootout-nbody,native,NA,NA,NA,NA,NA,NA,NA,NA,3421,NA
java,shootout-nbody,native,NA,NA,NA,NA,NA,NA,NA,NA,3411,NA
java,shootout-nbody,native,NA,NA,NA,NA,NA,NA,NA,NA,3413,NA
java,shootout-nbody,native,NA,NA,NA,NA,NA,NA,NA,NA,3410,NA
java,shootout-nbody,native,NA,NA,NA,NA,NA,NA,NA,NA,3414,NA
java,shootout-nbody,native,NA,NA,NA,NA,NA,NA,NA,NA,3427,NA
java,shootout-nbody,native,NA,NA,NA,NA,NA,NA,NA,NA,3410,NA
java,shootout-nbody,native,NA,NA,NA,NA,NA,NA,NA,NA,3410,NA
java,shootout-nbody,native,NA,NA,NA,NA,NA,NA,NA,NA,3412,NA
java,shootout-spectralnorm,native,NA,NA,NA,NA,NA,NA,NA,NA,5131,NA
java,shootout-spectralnorm,native,NA,NA,NA,NA,NA,NA,NA,NA,5126,NA
java,shootout-spectralnorm,native,NA,NA,NA,NA,NA,NA,NA,NA,5178,NA
java,shootout-spectralnorm,native,NA,NA,NA,NA,NA,NA,NA,NA,5135,NA
java,shootout-spectralnorm,native,NA,NA,NA,NA,NA,NA,NA,NA,5135,NA
java,shootout-spectralnorm,native,NA,NA,NA,NA,NA,NA,NA,NA,5116,NA
java,shootout-spectralnorm,native,NA,NA,NA,NA,NA,NA,NA,NA,5132,NA
java,shootout-spectralnorm,native,NA,NA,NA,NA,NA,NA,NA,NA,5157,NA
java,shootout-spectralnorm,native,NA,NA,NA,NA,NA,NA,NA,NA,5127,NA
java,shootout-spectralnorm,native,NA,NA,NA,NA,NA,NA,NA,NA,5118,NA
