Language,Benchmark,Transform,Platform,NewMethod,EsMode,JsArgs,Estimator,TimePerElapsed,YieldInterval,ResampleInterval,RunningTime,NumYields
ocaml,almabench,native,NA,NA,NA,NA,NA,NA,NA,NA,1981,NA
ocaml,bdd,native,NA,NA,NA,NA,NA,NA,NA,NA,1064,NA
ocaml,binarytrees,native,NA,NA,NA,NA,NA,NA,NA,NA,711,NA
ocaml,boyer,native,NA,NA,NA,NA,NA,NA,NA,NA,137,NA
ocaml,fannkuch_redux,native,NA,NA,NA,NA,NA,NA,NA,NA,3556,NA
ocaml,fft,native,NA,NA,NA,NA,NA,NA,NA,NA,494,NA
ocaml,fibonnaci,native,NA,NA,NA,NA,NA,NA,NA,NA,2674,NA
ocaml,format_main,native,NA,NA,NA,NA,NA,NA,NA,NA,27,NA
ocaml,hamming,native,NA,NA,NA,NA,NA,NA,NA,NA,660,NA
ocaml,kahan_sum,native,NA,NA,NA,NA,NA,NA,NA,NA,1119,NA
ocaml,kb,native,NA,NA,NA,NA,NA,NA,NA,NA,82,NA
ocaml,lens,native,NA,NA,NA,NA,NA,NA,NA,NA,20,NA
ocaml,list_main,native,NA,NA,NA,NA,NA,NA,NA,NA,655,NA
ocaml,mandelbrot,native,NA,NA,NA,NA,NA,NA,NA,NA,102,NA
ocaml,nbody,native,NA,NA,NA,NA,NA,NA,NA,NA,5411,NA
ocaml,nucleic,native,NA,NA,NA,NA,NA,NA,NA,NA,2462,NA
ocaml,nullable_array,native,NA,NA,NA,NA,NA,NA,NA,NA,886,NA
ocaml,sequence,native,NA,NA,NA,NA,NA,NA,NA,NA,478,NA
ocaml,spectral_norm,native,NA,NA,NA,NA,NA,NA,NA,NA,11829,NA
ocaml,vector_functor,native,NA,NA,NA,NA,NA,NA,NA,NA,24,NA
ocaml,almabench,native,NA,NA,NA,NA,NA,NA,NA,NA,1980,NA
ocaml,bdd,native,NA,NA,NA,NA,NA,NA,NA,NA,1077,NA
ocaml,binarytrees,native,NA,NA,NA,NA,NA,NA,NA,NA,714,NA
ocaml,boyer,native,NA,NA,NA,NA,NA,NA,NA,NA,138,NA
ocaml,fannkuch_redux,native,NA,NA,NA,NA,NA,NA,NA,NA,3537,NA
ocaml,fft,native,NA,NA,NA,NA,NA,NA,NA,NA,476,NA
ocaml,fibonnaci,native,NA,NA,NA,NA,NA,NA,NA,NA,2665,NA
ocaml,format_main,native,NA,NA,NA,NA,NA,NA,NA,NA,19,NA
ocaml,hamming,native,NA,NA,NA,NA,NA,NA,NA,NA,651,NA
ocaml,kahan_sum,native,NA,NA,NA,NA,NA,NA,NA,NA,1122,NA
ocaml,kb,native,NA,NA,NA,NA,NA,NA,NA,NA,74,NA
ocaml,lens,native,NA,NA,NA,NA,NA,NA,NA,NA,12,NA
ocaml,list_main,native,NA,NA,NA,NA,NA,NA,NA,NA,646,NA
ocaml,mandelbrot,native,NA,NA,NA,NA,NA,NA,NA,NA,93,NA
ocaml,nbody,native,NA,NA,NA,NA,NA,NA,NA,NA,5402,NA
ocaml,nucleic,native,NA,NA,NA,NA,NA,NA,NA,NA,2456,NA
ocaml,nullable_array,native,NA,NA,NA,NA,NA,NA,NA,NA,866,NA
ocaml,sequence,native,NA,NA,NA,NA,NA,NA,NA,NA,469,NA
ocaml,spectral_norm,native,NA,NA,NA,NA,NA,NA,NA,NA,11822,NA
ocaml,vector_functor,native,NA,NA,NA,NA,NA,NA,NA,NA,15,NA
ocaml,almabench,native,NA,NA,NA,NA,NA,NA,NA,NA,1979,NA
ocaml,bdd,native,NA,NA,NA,NA,NA,NA,NA,NA,1066,NA
ocaml,binarytrees,native,NA,NA,NA,NA,NA,NA,NA,NA,711,NA
ocaml,boyer,native,NA,NA,NA,NA,NA,NA,NA,NA,136,NA
ocaml,fannkuch_redux,native,NA,NA,NA,NA,NA,NA,NA,NA,3541,NA
ocaml,fft,native,NA,NA,NA,NA,NA,NA,NA,NA,475,NA
ocaml,fibonnaci,native,NA,NA,NA,NA,NA,NA,NA,NA,2665,NA
ocaml,format_main,native,NA,NA,NA,NA,NA,NA,NA,NA,19,NA
ocaml,hamming,native,NA,NA,NA,NA,NA,NA,NA,NA,647,NA
ocaml,kahan_sum,native,NA,NA,NA,NA,NA,NA,NA,NA,1112,NA
ocaml,kb,native,NA,NA,NA,NA,NA,NA,NA,NA,74,NA
ocaml,lens,native,NA,NA,NA,NA,NA,NA,NA,NA,12,NA
ocaml,list_main,native,NA,NA,NA,NA,NA,NA,NA,NA,644,NA
ocaml,mandelbrot,native,NA,NA,NA,NA,NA,NA,NA,NA,93,NA
ocaml,nbody,native,NA,NA,NA,NA,NA,NA,NA,NA,5402,NA
ocaml,nucleic,native,NA,NA,NA,NA,NA,NA,NA,NA,2453,NA
ocaml,nullable_array,native,NA,NA,NA,NA,NA,NA,NA,NA,870,NA
ocaml,sequence,native,NA,NA,NA,NA,NA,NA,NA,NA,471,NA
ocaml,spectral_norm,native,NA,NA,NA,NA,NA,NA,NA,NA,11822,NA
ocaml,vector_functor,native,NA,NA,NA,NA,NA,NA,NA,NA,16,NA
ocaml,almabench,native,NA,NA,NA,NA,NA,NA,NA,NA,1979,NA
ocaml,bdd,native,NA,NA,NA,NA,NA,NA,NA,NA,1071,NA
ocaml,binarytrees,native,NA,NA,NA,NA,NA,NA,NA,NA,713,NA
ocaml,boyer,native,NA,NA,NA,NA,NA,NA,NA,NA,136,NA
ocaml,fannkuch_redux,native,NA,NA,NA,NA,NA,NA,NA,NA,3543,NA
ocaml,fft,native,NA,NA,NA,NA,NA,NA,NA,NA,482,NA
ocaml,fibonnaci,native,NA,NA,NA,NA,NA,NA,NA,NA,2664,NA
ocaml,format_main,native,NA,NA,NA,NA,NA,NA,NA,NA,19,NA
ocaml,hamming,native,NA,NA,NA,NA,NA,NA,NA,NA,650,NA
ocaml,kahan_sum,native,NA,NA,NA,NA,NA,NA,NA,NA,1112,NA
ocaml,kb,native,NA,NA,NA,NA,NA,NA,NA,NA,74,NA
ocaml,lens,native,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
ocaml,list_main,native,NA,NA,NA,NA,NA,NA,NA,NA,645,NA
ocaml,mandelbrot,native,NA,NA,NA,NA,NA,NA,NA,NA,93,NA
ocaml,nbody,native,NA,NA,NA,NA,NA,NA,NA,NA,5402,NA
ocaml,nucleic,native,NA,NA,NA,NA,NA,NA,NA,NA,2454,NA
ocaml,nullable_array,native,NA,NA,NA,NA,NA,NA,NA,NA,865,NA
ocaml,sequence,native,NA,NA,NA,NA,NA,NA,NA,NA,471,NA
ocaml,spectral_norm,native,NA,NA,NA,NA,NA,NA,NA,NA,11820,NA
ocaml,vector_functor,native,NA,NA,NA,NA,NA,NA,NA,NA,16,NA
ocaml,almabench,native,NA,NA,NA,NA,NA,NA,NA,NA,1978,NA
ocaml,bdd,native,NA,NA,NA,NA,NA,NA,NA,NA,1070,NA
ocaml,binarytrees,native,NA,NA,NA,NA,NA,NA,NA,NA,709,NA
ocaml,boyer,native,NA,NA,NA,NA,NA,NA,NA,NA,137,NA
ocaml,fannkuch_redux,native,NA,NA,NA,NA,NA,NA,NA,NA,3543,NA
ocaml,fft,native,NA,NA,NA,NA,NA,NA,NA,NA,480,NA
ocaml,fibonnaci,native,NA,NA,NA,NA,NA,NA,NA,NA,2664,NA
ocaml,format_main,native,NA,NA,NA,NA,NA,NA,NA,NA,19,NA
ocaml,hamming,native,NA,NA,NA,NA,NA,NA,NA,NA,650,NA
ocaml,kahan_sum,native,NA,NA,NA,NA,NA,NA,NA,NA,1111,NA
ocaml,kb,native,NA,NA,NA,NA,NA,NA,NA,NA,74,NA
ocaml,lens,native,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
ocaml,list_main,native,NA,NA,NA,NA,NA,NA,NA,NA,645,NA
ocaml,mandelbrot,native,NA,NA,NA,NA,NA,NA,NA,NA,93,NA
