Language,Benchmark,Transform,Platform,NewMethod,EsMode,JsArgs,Estimator,TimePerElapsed,YieldInterval,ResampleInterval,RunningTime,NumYields
scala,Regexdna,native,NA,NA,NA,NA,NA,NA,NA,NA,298,NA
scala,Mandelbrot,native,NA,NA,NA,NA,NA,NA,NA,NA,1804,NA
scala,Spectralnorm,native,NA,NA,NA,NA,NA,NA,NA,NA,1638,NA
scala,BinaryTrees,native,NA,NA,NA,NA,NA,NA,NA,NA,1218,NA
scala,Fasta,native,NA,NA,NA,NA,NA,NA,NA,NA,396,NA
scala,Regexredux,native,NA,NA,NA,NA,NA,NA,NA,NA,302,NA
scala,LongMicro,native,NA,NA,NA,NA,NA,NA,NA,NA,2639,NA
scala,Fannkuchredux,native,NA,NA,NA,NA,NA,NA,NA,NA,481,NA
scala,Meteor,native,NA,NA,NA,NA,NA,NA,NA,NA,694,NA
scala,Pidigits3,native,NA,NA,NA,NA,NA,NA,NA,NA,584,NA
scala,FastaRedux,native,NA,NA,NA,NA,NA,NA,NA,NA,238,NA
scala,Tracer,native,NA,NA,NA,NA,NA,NA,NA,NA,3460,NA
scala,Knucleotide,native,NA,NA,NA,NA,NA,NA,NA,NA,363,NA
scala,Regexdna,native,NA,NA,NA,NA,NA,NA,NA,NA,299,NA
scala,Mandelbrot,native,NA,NA,NA,NA,NA,NA,NA,NA,1802,NA
scala,Spectralnorm,native,NA,NA,NA,NA,NA,NA,NA,NA,1639,NA
scala,BinaryTrees,native,NA,NA,NA,NA,NA,NA,NA,NA,1225,NA
scala,Fasta,native,NA,NA,NA,NA,NA,NA,NA,NA,391,NA
scala,Regexredux,native,NA,NA,NA,NA,NA,NA,NA,NA,304,NA
scala,LongMicro,native,NA,NA,NA,NA,NA,NA,NA,NA,2682,NA
scala,Fannkuchredux,native,NA,NA,NA,NA,NA,NA,NA,NA,478,NA
scala,Meteor,native,NA,NA,NA,NA,NA,NA,NA,NA,658,NA
scala,Pidigits3,native,NA,NA,NA,NA,NA,NA,NA,NA,595,NA
scala,FastaRedux,native,NA,NA,NA,NA,NA,NA,NA,NA,241,NA
scala,Tracer,native,NA,NA,NA,NA,NA,NA,NA,NA,3541,NA
