Language,Benchmark,Transform,Platform,NewMethod,EsMode,JsArgs,Estimator,TimePerElapsed,YieldInterval,ResampleInterval,RunningTime,NumYields
scheme,fft,native,NA,NA,NA,NA,NA,NA,NA,NA,47273,NA
scheme,fib,native,NA,NA,NA,NA,NA,NA,NA,NA,41614,NA
scheme,lattice,native,NA,NA,NA,NA,NA,NA,NA,NA,34566,NA
scheme,mbrot,native,NA,NA,NA,NA,NA,NA,NA,NA,128431,NA
scheme,fft,native,NA,NA,NA,NA,NA,NA,NA,NA,48507,NA
scheme,fib,native,NA,NA,NA,NA,NA,NA,NA,NA,43383,NA
scheme,lattice,native,NA,NA,NA,NA,NA,NA,NA,NA,34605,NA
scheme,mbrot,native,NA,NA,NA,NA,NA,NA,NA,NA,120833,NA
scheme,fft,native,NA,NA,NA,NA,NA,NA,NA,NA,47102,NA
scheme,fib,native,NA,NA,NA,NA,NA,NA,NA,NA,41688,NA
scheme,lattice,native,NA,NA,NA,NA,NA,NA,NA,NA,34028,NA
scheme,mbrot,native,NA,NA,NA,NA,NA,NA,NA,NA,124142,NA
scheme,fft,native,NA,NA,NA,NA,NA,NA,NA,NA,47026,NA
scheme,fib,native,NA,NA,NA,NA,NA,NA,NA,NA,41661,NA
scheme,lattice,native,NA,NA,NA,NA,NA,NA,NA,NA,34371,NA
scheme,mbrot,native,NA,NA,NA,NA,NA,NA,NA,NA,125911,NA
scheme,fft,native,NA,NA,NA,NA,NA,NA,NA,NA,50846,NA
scheme,fib,native,NA,NA,NA,NA,NA,NA,NA,NA,41919,NA
scheme,lattice,native,NA,NA,NA,NA,NA,NA,NA,NA,34619,NA
scheme,mbrot,native,NA,NA,NA,NA,NA,NA,NA,NA,122414,NA
scheme,fft,native,NA,NA,NA,NA,NA,NA,NA,NA,52534,NA
scheme,fib,native,NA,NA,NA,NA,NA,NA,NA,NA,41787,NA
scheme,lattice,native,NA,NA,NA,NA,NA,NA,NA,NA,32027,NA
scheme,mbrot,native,NA,NA,NA,NA,NA,NA,NA,NA,123051,NA
scheme,fft,native,NA,NA,NA,NA,NA,NA,NA,NA,47266,NA
scheme,fib,native,NA,NA,NA,NA,NA,NA,NA,NA,42393,NA
scheme,lattice,native,NA,NA,NA,NA,NA,NA,NA,NA,34171,NA
scheme,mbrot,native,NA,NA,NA,NA,NA,NA,NA,NA,122899,NA
scheme,fft,native,NA,NA,NA,NA,NA,NA,NA,NA,47099,NA
scheme,fib,native,NA,NA,NA,NA,NA,NA,NA,NA,42891,NA
scheme,lattice,native,NA,NA,NA,NA,NA,NA,NA,NA,35309,NA
scheme,mbrot,native,NA,NA,NA,NA,NA,NA,NA,NA,123407,NA
scheme,fft,native,NA,NA,NA,NA,NA,NA,NA,NA,47226,NA
scheme,fib,native,NA,NA,NA,NA,NA,NA,NA,NA,41589,NA
scheme,lattice,native,NA,NA,NA,NA,NA,NA,NA,NA,34599,NA
scheme,mbrot,native,NA,NA,NA,NA,NA,NA,NA,NA,122457,NA
scheme,fft,native,NA,NA,NA,NA,NA,NA,NA,NA,48008,NA
scheme,fib,native,NA,NA,NA,NA,NA,NA,NA,NA,42297,NA
scheme,lattice,native,NA,NA,NA,NA,NA,NA,NA,NA,36636,NA
scheme,mbrot,native,NA,NA,NA,NA,NA,NA,NA,NA,123562,NA
