ix|lang|bench|platform|transform|new_method|es_mode|js_args|estimator|time_per_elapsed|yield_interval|resample_interval|running_time|num_yields
0|java|scimark-fft|native|NA|NA|NA|NA|NA|NA|NA|NA|1277|NA
1|java|scimark-fft|native|NA|NA|NA|NA|NA|NA|NA|NA|1287|NA
2|java|scimark-fft|native|NA|NA|NA|NA|NA|NA|NA|NA|1285|NA
3|java|scimark-fft|native|NA|NA|NA|NA|NA|NA|NA|NA|1305|NA
4|java|scimark-fft|native|NA|NA|NA|NA|NA|NA|NA|NA|1291|NA
5|java|scimark-fft|native|NA|NA|NA|NA|NA|NA|NA|NA|1286|NA
6|java|scimark-fft|native|NA|NA|NA|NA|NA|NA|NA|NA|1286|NA
7|java|scimark-fft|native|NA|NA|NA|NA|NA|NA|NA|NA|1302|NA
8|java|scimark-fft|native|NA|NA|NA|NA|NA|NA|NA|NA|1273|NA
9|java|scimark-fft|native|NA|NA|NA|NA|NA|NA|NA|NA|1279|NA
0|java|scimark-LU|native|NA|NA|NA|NA|NA|NA|NA|NA|188|NA
1|java|scimark-LU|native|NA|NA|NA|NA|NA|NA|NA|NA|172|NA
2|java|scimark-LU|native|NA|NA|NA|NA|NA|NA|NA|NA|169|NA
3|java|scimark-LU|native|NA|NA|NA|NA|NA|NA|NA|NA|172|NA
4|java|scimark-LU|native|NA|NA|NA|NA|NA|NA|NA|NA|175|NA
5|java|scimark-LU|native|NA|NA|NA|NA|NA|NA|NA|NA|174|NA
6|java|scimark-LU|native|NA|NA|NA|NA|NA|NA|NA|NA|177|NA
7|java|scimark-LU|native|NA|NA|NA|NA|NA|NA|NA|NA|183|NA
8|java|scimark-LU|native|NA|NA|NA|NA|NA|NA|NA|NA|176|NA
9|java|scimark-LU|native|NA|NA|NA|NA|NA|NA|NA|NA|170|NA
0|java|scimark-SOR|native|NA|NA|NA|NA|NA|NA|NA|NA|458|NA
1|java|scimark-SOR|native|NA|NA|NA|NA|NA|NA|NA|NA|444|NA
2|java|scimark-SOR|native|NA|NA|NA|NA|NA|NA|NA|NA|442|NA
3|java|scimark-SOR|native|NA|NA|NA|NA|NA|NA|NA|NA|444|NA
4|java|scimark-SOR|native|NA|NA|NA|NA|NA|NA|NA|NA|443|NA
5|java|scimark-SOR|native|NA|NA|NA|NA|NA|NA|NA|NA|442|NA
6|java|scimark-SOR|native|NA|NA|NA|NA|NA|NA|NA|NA|446|NA
7|java|scimark-SOR|native|NA|NA|NA|NA|NA|NA|NA|NA|441|NA
8|java|scimark-SOR|native|NA|NA|NA|NA|NA|NA|NA|NA|444|NA
9|java|scimark-SOR|native|NA|NA|NA|NA|NA|NA|NA|NA|444|NA
0|java|scimark-SparseMatmult|native|NA|NA|NA|NA|NA|NA|NA|NA|1360|NA
1|java|scimark-SparseMatmult|native|NA|NA|NA|NA|NA|NA|NA|NA|1342|NA
2|java|scimark-SparseMatmult|native|NA|NA|NA|NA|NA|NA|NA|NA|1346|NA
3|java|scimark-SparseMatmult|native|NA|NA|NA|NA|NA|NA|NA|NA|1344|NA
4|java|scimark-SparseMatmult|native|NA|NA|NA|NA|NA|NA|NA|NA|1342|NA
5|java|scimark-SparseMatmult|native|NA|NA|NA|NA|NA|NA|NA|NA|1343|NA
6|java|scimark-SparseMatmult|native|NA|NA|NA|NA|NA|NA|NA|NA|1357|NA
7|java|scimark-SparseMatmult|native|NA|NA|NA|NA|NA|NA|NA|NA|1350|NA
8|java|scimark-SparseMatmult|native|NA|NA|NA|NA|NA|NA|NA|NA|1342|NA
9|java|scimark-SparseMatmult|native|NA|NA|NA|NA|NA|NA|NA|NA|1343|NA
0|java|shootout-binarytrees-2|native|NA|NA|NA|NA|NA|NA|NA|NA|1011|NA
1|java|shootout-binarytrees-2|native|NA|NA|NA|NA|NA|NA|NA|NA|997|NA
2|java|shootout-binarytrees-2|native|NA|NA|NA|NA|NA|NA|NA|NA|1009|NA
3|java|shootout-binarytrees-2|native|NA|NA|NA|NA|NA|NA|NA|NA|988|NA
4|java|shootout-binarytrees-2|native|NA|NA|NA|NA|NA|NA|NA|NA|1011|NA
5|java|shootout-binarytrees-2|native|NA|NA|NA|NA|NA|NA|NA|NA|1009|NA
6|java|shootout-binarytrees-2|native|NA|NA|NA|NA|NA|NA|NA|NA|997|NA
7|java|shootout-binarytrees-2|native|NA|NA|NA|NA|NA|NA|NA|NA|1013|NA
8|java|shootout-binarytrees-2|native|NA|NA|NA|NA|NA|NA|NA|NA|1008|NA
9|java|shootout-binarytrees-2|native|NA|NA|NA|NA|NA|NA|NA|NA|999|NA
0|java|shootout-fannkuchredux-2|native|NA|NA|NA|NA|NA|NA|NA|NA|2770|NA
1|java|shootout-fannkuchredux-2|native|NA|NA|NA|NA|NA|NA|NA|NA|2945|NA
2|java|shootout-fannkuchredux-2|native|NA|NA|NA|NA|NA|NA|NA|NA|2401|NA
3|java|shootout-fannkuchredux-2|native|NA|NA|NA|NA|NA|NA|NA|NA|2962|NA
