ix|lang|bench|platform|transform|new_method|es_mode|js_args|estimator|time_per_elapsed|yield_interval|resample_interval|running_time|num_yields
0|ocaml|almabench|native|NA|NA|NA|NA|NA|NA|NA|NA|1981|NA
0|ocaml|bdd|native|NA|NA|NA|NA|NA|NA|NA|NA|1064|NA
0|ocaml|binarytrees|native|NA|NA|NA|NA|NA|NA|NA|NA|711|NA
0|ocaml|boyer|native|NA|NA|NA|NA|NA|NA|NA|NA|137|NA
0|ocaml|fannkuch_redux|native|NA|NA|NA|NA|NA|NA|NA|NA|3556|NA
0|ocaml|fft|native|NA|NA|NA|NA|NA|NA|NA|NA|494|NA
0|ocaml|fibonnaci|native|NA|NA|NA|NA|NA|NA|NA|NA|2674|NA
0|ocaml|format_main|native|NA|NA|NA|NA|NA|NA|NA|NA|27|NA
0|ocaml|hamming|native|NA|NA|NA|NA|NA|NA|NA|NA|660|NA
0|ocaml|kahan_sum|native|NA|NA|NA|NA|NA|NA|NA|NA|1119|NA
0|ocaml|kb|native|NA|NA|NA|NA|NA|NA|NA|NA|82|NA
0|ocaml|lens|native|NA|NA|NA|NA|NA|NA|NA|NA|20|NA
0|ocaml|list_main|native|NA|NA|NA|NA|NA|NA|NA|NA|655|NA
0|ocaml|mandelbrot|native|NA|NA|NA|NA|NA|NA|NA|NA|102|NA
0|ocaml|nbody|native|NA|NA|NA|NA|NA|NA|NA|NA|5411|NA
0|ocaml|nucleic|native|NA|NA|NA|NA|NA|NA|NA|NA|2462|NA
0|ocaml|nullable_array|native|NA|NA|NA|NA|NA|NA|NA|NA|886|NA
0|ocaml|sequence|native|NA|NA|NA|NA|NA|NA|NA|NA|478|NA
0|ocaml|spectral_norm|native|NA|NA|NA|NA|NA|NA|NA|NA|11829|NA
0|ocaml|vector_functor|native|NA|NA|NA|NA|NA|NA|NA|NA|24|NA
1|ocaml|almabench|native|NA|NA|NA|NA|NA|NA|NA|NA|1980|NA
1|ocaml|bdd|native|NA|NA|NA|NA|NA|NA|NA|NA|1077|NA
1|ocaml|binarytrees|native|NA|NA|NA|NA|NA|NA|NA|NA|714|NA
1|ocaml|boyer|native|NA|NA|NA|NA|NA|NA|NA|NA|138|NA
1|ocaml|fannkuch_redux|native|NA|NA|NA|NA|NA|NA|NA|NA|3537|NA
1|ocaml|fft|native|NA|NA|NA|NA|NA|NA|NA|NA|476|NA
1|ocaml|fibonnaci|native|NA|NA|NA|NA|NA|NA|NA|NA|2665|NA
1|ocaml|format_main|native|NA|NA|NA|NA|NA|NA|NA|NA|19|NA
1|ocaml|hamming|native|NA|NA|NA|NA|NA|NA|NA|NA|651|NA
1|ocaml|kahan_sum|native|NA|NA|NA|NA|NA|NA|NA|NA|1122|NA
1|ocaml|kb|native|NA|NA|NA|NA|NA|NA|NA|NA|74|NA
1|ocaml|lens|native|NA|NA|NA|NA|NA|NA|NA|NA|12|NA
1|ocaml|list_main|native|NA|NA|NA|NA|NA|NA|NA|NA|646|NA
1|ocaml|mandelbrot|native|NA|NA|NA|NA|NA|NA|NA|NA|93|NA
1|ocaml|nbody|native|NA|NA|NA|NA|NA|NA|NA|NA|5402|NA
1|ocaml|nucleic|native|NA|NA|NA|NA|NA|NA|NA|NA|2456|NA
1|ocaml|nullable_array|native|NA|NA|NA|NA|NA|NA|NA|NA|866|NA
1|ocaml|sequence|native|NA|NA|NA|NA|NA|NA|NA|NA|469|NA
1|ocaml|spectral_norm|native|NA|NA|NA|NA|NA|NA|NA|NA|11822|NA
1|ocaml|vector_functor|native|NA|NA|NA|NA|NA|NA|NA|NA|15|NA
2|ocaml|almabench|native|NA|NA|NA|NA|NA|NA|NA|NA|1979|NA
2|ocaml|bdd|native|NA|NA|NA|NA|NA|NA|NA|NA|1066|NA
2|ocaml|binarytrees|native|NA|NA|NA|NA|NA|NA|NA|NA|711|NA
2|ocaml|boyer|native|NA|NA|NA|NA|NA|NA|NA|NA|136|NA
2|ocaml|fannkuch_redux|native|NA|NA|NA|NA|NA|NA|NA|NA|3541|NA
2|ocaml|fft|native|NA|NA|NA|NA|NA|NA|NA|NA|475|NA
2|ocaml|fibonnaci|native|NA|NA|NA|NA|NA|NA|NA|NA|2665|NA
2|ocaml|format_main|native|NA|NA|NA|NA|NA|NA|NA|NA|19|NA
2|ocaml|hamming|native|NA|NA|NA|NA|NA|NA|NA|NA|647|NA
2|ocaml|kahan_sum|native|NA|NA|NA|NA|NA|NA|NA|NA|1112|NA
2|ocaml|kb|native|NA|NA|NA|NA|NA|NA|NA|NA|74|NA
