ix|lang|bench|platform|transform|new_method|es_mode|js_args|estimator|time_per_elapsed|yield_interval|resample_interval|running_time|num_yields
0|scala|Regexdna|native|NA|NA|NA|NA|NA|NA|NA|NA|456|NA
0|scala|Regexredux|native|NA|NA|NA|NA|NA|NA|NA|NA|438|NA
0|scala|BinaryTrees|native|NA|NA|NA|NA|NA|NA|NA|NA|6306|NA
0|scala|LongMicro|native|NA|NA|NA|NA|NA|NA|NA|NA|2857|NA
0|scala|Knucleotide|native|NA|NA|NA|NA|NA|NA|NA|NA|545|NA
0|scala|Spectralnorm|native|NA|NA|NA|NA|NA|NA|NA|NA|1488|NA
0|scala|Meteor|native|NA|NA|NA|NA|NA|NA|NA|NA|932|NA
0|scala|Fasta|native|NA|NA|NA|NA|NA|NA|NA|NA|566|NA
0|scala|Tracer|native|NA|NA|NA|NA|NA|NA|NA|NA|3742|NA
0|scala|Pidigits3|native|NA|NA|NA|NA|NA|NA|NA|NA|867|NA
0|scala|FastaRedux|native|NA|NA|NA|NA|NA|NA|NA|NA|370|NA
0|scala|Fannkuchredux|native|NA|NA|NA|NA|NA|NA|NA|NA|39889|NA
0|scala|Mandelbrot|native|NA|NA|NA|NA|NA|NA|NA|NA|1927|NA
1|scala|Regexdna|native|NA|NA|NA|NA|NA|NA|NA|NA|452|NA
1|scala|Regexredux|native|NA|NA|NA|NA|NA|NA|NA|NA|441|NA
1|scala|BinaryTrees|native|NA|NA|NA|NA|NA|NA|NA|NA|6792|NA
1|scala|LongMicro|native|NA|NA|NA|NA|NA|NA|NA|NA|2901|NA
1|scala|Knucleotide|native|NA|NA|NA|NA|NA|NA|NA|NA|478|NA
1|scala|Spectralnorm|native|NA|NA|NA|NA|NA|NA|NA|NA|1853|NA
1|scala|Meteor|native|NA|NA|NA|NA|NA|NA|NA|NA|913|NA
1|scala|Fasta|native|NA|NA|NA|NA|NA|NA|NA|NA|557|NA
1|scala|Tracer|native|NA|NA|NA|NA|NA|NA|NA|NA|3983|NA
1|scala|Pidigits3|native|NA|NA|NA|NA|NA|NA|NA|NA|751|NA
1|scala|FastaRedux|native|NA|NA|NA|NA|NA|NA|NA|NA|359|NA
1|scala|Fannkuchredux|native|NA|NA|NA|NA|NA|NA|NA|NA|39888|NA
1|scala|Mandelbrot|native|NA|NA|NA|NA|NA|NA|NA|NA|2014|NA
2|scala|Regexdna|native|NA|NA|NA|NA|NA|NA|NA|NA|448|NA
2|scala|Regexredux|native|NA|NA|NA|NA|NA|NA|NA|NA|453|NA
2|scala|BinaryTrees|native|NA|NA|NA|NA|NA|NA|NA|NA|6470|NA
2|scala|LongMicro|native|NA|NA|NA|NA|NA|NA|NA|NA|2819|NA
2|scala|Knucleotide|native|NA|NA|NA|NA|NA|NA|NA|NA|542|NA
2|scala|Spectralnorm|native|NA|NA|NA|NA|NA|NA|NA|NA|1839|NA
2|scala|Meteor|native|NA|NA|NA|NA|NA|NA|NA|NA|927|NA
2|scala|Fasta|native|NA|NA|NA|NA|NA|NA|NA|NA|560|NA
2|scala|Tracer|native|NA|NA|NA|NA|NA|NA|NA|NA|3841|NA
2|scala|Pidigits3|native|NA|NA|NA|NA|NA|NA|NA|NA|800|NA
2|scala|FastaRedux|native|NA|NA|NA|NA|NA|NA|NA|NA|342|NA
2|scala|Fannkuchredux|native|NA|NA|NA|NA|NA|NA|NA|NA|39829|NA
2|scala|Mandelbrot|native|NA|NA|NA|NA|NA|NA|NA|NA|1937|NA
3|scala|Regexdna|native|NA|NA|NA|NA|NA|NA|NA|NA|433|NA
3|scala|Regexredux|native|NA|NA|NA|NA|NA|NA|NA|NA|426|NA
3|scala|BinaryTrees|native|NA|NA|NA|NA|NA|NA|NA|NA|6693|NA
3|scala|LongMicro|native|NA|NA|NA|NA|NA|NA|NA|NA|2839|NA
3|scala|Knucleotide|native|NA|NA|NA|NA|NA|NA|NA|NA|537|NA
