ix|lang|bench|platform|transform|new_method|es_mode|js_args|estimator|time_per_elapsed|yield_interval|resample_interval|running_time|num_yields
0|scheme|ack|native|NA|NA|NA|NA|NA|NA|NA|NA|1611|NA
0|scheme|array1|native|NA|NA|NA|NA|NA|NA|NA|NA|6|NA
0|scheme|boyer|native|NA|NA|NA|NA|NA|NA|NA|NA|1070|NA
0|scheme|browse|native|NA|NA|NA|NA|NA|NA|NA|NA|71|NA
0|scheme|conform|native|NA|NA|NA|NA|NA|NA|NA|NA|276|NA
0|scheme|dderiv|native|NA|NA|NA|NA|NA|NA|NA|NA|13|NA
0|scheme|destruc|native|NA|NA|NA|NA|NA|NA|NA|NA|1725|NA
0|scheme|diviter|native|NA|NA|NA|NA|NA|NA|NA|NA|13|NA
0|scheme|divrec|native|NA|NA|NA|NA|NA|NA|NA|NA|12|NA
0|scheme|earley|native|NA|NA|NA|NA|NA|NA|NA|NA|7129|NA
0|scheme|fft|native|NA|NA|NA|NA|NA|NA|NA|NA|48313|NA
0|scheme|fib|native|NA|NA|NA|NA|NA|NA|NA|NA|42457|NA
0|scheme|lattice|native|NA|NA|NA|NA|NA|NA|NA|NA|34685|NA
0|scheme|mazefun|native|NA|NA|NA|NA|NA|NA|NA|NA|14030|NA
0|scheme|mbrot|native|NA|NA|NA|NA|NA|NA|NA|NA|127006|NA
1|scheme|ack|native|NA|NA|NA|NA|NA|NA|NA|NA|1607|NA
1|scheme|array1|native|NA|NA|NA|NA|NA|NA|NA|NA|13|NA
1|scheme|boyer|native|NA|NA|NA|NA|NA|NA|NA|NA|1067|NA
1|scheme|browse|native|NA|NA|NA|NA|NA|NA|NA|NA|72|NA
1|scheme|conform|native|NA|NA|NA|NA|NA|NA|NA|NA|284|NA
1|scheme|dderiv|native|NA|NA|NA|NA|NA|NA|NA|NA|13|NA
1|scheme|destruc|native|NA|NA|NA|NA|NA|NA|NA|NA|1679|NA
1|scheme|diviter|native|NA|NA|NA|NA|NA|NA|NA|NA|12|NA
1|scheme|divrec|native|NA|NA|NA|NA|NA|NA|NA|NA|13|NA
1|scheme|earley|native|NA|NA|NA|NA|NA|NA|NA|NA|7165|NA
1|scheme|fft|native|NA|NA|NA|NA|NA|NA|NA|NA|48164|NA
1|scheme|fib|native|NA|NA|NA|NA|NA|NA|NA|NA|41629|NA
1|scheme|lattice|native|NA|NA|NA|NA|NA|NA|NA|NA|35624|NA
1|scheme|mazefun|native|NA|NA|NA|NA|NA|NA|NA|NA|13856|NA
1|scheme|mbrot|native|NA|NA|NA|NA|NA|NA|NA|NA|123291|NA
2|scheme|ack|native|NA|NA|NA|NA|NA|NA|NA|NA|1604|NA
2|scheme|array1|native|NA|NA|NA|NA|NA|NA|NA|NA|12|NA
2|scheme|boyer|native|NA|NA|NA|NA|NA|NA|NA|NA|1066|NA
2|scheme|browse|native|NA|NA|NA|NA|NA|NA|NA|NA|79|NA
2|scheme|conform|native|NA|NA|NA|NA|NA|NA|NA|NA|281|NA
2|scheme|dderiv|native|NA|NA|NA|NA|NA|NA|NA|NA|13|NA
2|scheme|destruc|native|NA|NA|NA|NA|NA|NA|NA|NA|1720|NA
2|scheme|diviter|native|NA|NA|NA|NA|NA|NA|NA|NA|15|NA
2|scheme|divrec|native|NA|NA|NA|NA|NA|NA|NA|NA|12|NA
2|scheme|earley|native|NA|NA|NA|NA|NA|NA|NA|NA|7078|NA
2|scheme|fft|native|NA|NA|NA|NA|NA|NA|NA|NA|48791|NA
2|scheme|fib|native|NA|NA|NA|NA|NA|NA|NA|NA|41901|NA
2|scheme|lattice|native|NA|NA|NA|NA|NA|NA|NA|NA|35149|NA
2|scheme|mazefun|native|NA|NA|NA|NA|NA|NA|NA|NA|14134|NA
2|scheme|mbrot|native|NA|NA|NA|NA|NA|NA|NA|NA|120998|NA
3|scheme|ack|native|NA|NA|NA|NA|NA|NA|NA|NA|1699|NA
3|scheme|array1|native|NA|NA|NA|NA|NA|NA|NA|NA|12|NA
3|scheme|boyer|native|NA|NA|NA|NA|NA|NA|NA|NA|1069|NA
3|scheme|browse|native|NA|NA|NA|NA|NA|NA|NA|NA|78|NA
3|scheme|conform|native|NA|NA|NA|NA|NA|NA|NA|NA|273|NA
3|scheme|dderiv|native|NA|NA|NA|NA|NA|NA|NA|NA|13|NA
3|scheme|destruc|native|NA|NA|NA|NA|NA|NA|NA|NA|1735|NA
3|scheme|diviter|native|NA|NA|NA|NA|NA|NA|NA|NA|15|NA
3|scheme|divrec|native|NA|NA|NA|NA|NA|NA|NA|NA|14|NA
3|scheme|earley|native|NA|NA|NA|NA|NA|NA|NA|NA|7112|NA
3|scheme|fft|native|NA|NA|NA|NA|NA|NA|NA|NA|47830|NA
3|scheme|fib|native|NA|NA|NA|NA|NA|NA|NA|NA|42468|NA
3|scheme|lattice|native|NA|NA|NA|NA|NA|NA|NA|NA|34496|NA
3|scheme|mazefun|native|NA|NA|NA|NA|NA|NA|NA|NA|13545|NA
3|scheme|mbrot|native|NA|NA|NA|NA|NA|NA|NA|NA|117761|NA
4|scheme|ack|native|NA|NA|NA|NA|NA|NA|NA|NA|1606|NA
4|scheme|array1|native|NA|NA|NA|NA|NA|NA|NA|NA|12|NA
4|scheme|boyer|native|NA|NA|NA|NA|NA|NA|NA|NA|1072|NA
4|scheme|browse|native|NA|NA|NA|NA|NA|NA|NA|NA|70|NA
4|scheme|conform|native|NA|NA|NA|NA|NA|NA|NA|NA|283|NA
4|scheme|dderiv|native|NA|NA|NA|NA|NA|NA|NA|NA|12|NA
4|scheme|destruc|native|NA|NA|NA|NA|NA|NA|NA|NA|1721|NA
4|scheme|diviter|native|NA|NA|NA|NA|NA|NA|NA|NA|13|NA
4|scheme|divrec|native|NA|NA|NA|NA|NA|NA|NA|NA|13|NA
4|scheme|earley|native|NA|NA|NA|NA|NA|NA|NA|NA|7086|NA
4|scheme|fft|native|NA|NA|NA|NA|NA|NA|NA|NA|47123|NA
4|scheme|fib|native|NA|NA|NA|NA|NA|NA|NA|NA|41637|NA
4|scheme|lattice|native|NA|NA|NA|NA|NA|NA|NA|NA|34191|NA
4|scheme|mazefun|native|NA|NA|NA|NA|NA|NA|NA|NA|14243|NA
4|scheme|mbrot|native|NA|NA|NA|NA|NA|NA|NA|NA|121375|NA
5|scheme|ack|native|NA|NA|NA|NA|NA|NA|NA|NA|1617|NA
5|scheme|array1|native|NA|NA|NA|NA|NA|NA|NA|NA|13|NA
5|scheme|boyer|native|NA|NA|NA|NA|NA|NA|NA|NA|1072|NA
5|scheme|browse|native|NA|NA|NA|NA|NA|NA|NA|NA|80|NA
5|scheme|conform|native|NA|NA|NA|NA|NA|NA|NA|NA|289|NA
