Path,Hostname,Platform,Benchmark,Language,Transform,Estimator,YieldInterval,TimePerElapsed,RunningTime,NumYields,AvgLatency,VarLatency
perf/lazy-wrapper-javascript-3d-cube.js,alfred,chrome,3d-cube,javascript,lazy,reservoir,100,NaN,23337,244,95.64,603.21
perf/original-wrapper-javascript-3d-cube.js,alfred,chrome,3d-cube,javascript,original,countdown,NaN,NaN,1888,0,Infinity,0
perf/lazy-direct-javascript-3d-cube.js,alfred,firefox,3d-cube,javascript,lazy,reservoir,100,NaN,47840,474,100.93,1621.42
perf/original-direct-javascript-3d-cube.js,kate,firefox,3d-cube,javascript,original,countdown,NaN,NaN,1141,0,Infinity,0
perf/lazy-wrapper-javascript-3d-raytrace.js,alfred,chrome,3d-raytrace,javascript,lazy,reservoir,100,NaN,10066,121,83.19,1098.87
perf/original-wrapper-javascript-3d-raytrace.js,alfred,chrome,3d-raytrace,javascript,original,countdown,NaN,NaN,2822,0,Infinity,0
perf/lazy-direct-javascript-3d-raytrace.js,alfred,firefox,3d-raytrace,javascript,lazy,reservoir,100,NaN,16227,180,90.15,1444.41
perf/original-direct-javascript-3d-raytrace.js,kate,firefox,3d-raytrace,javascript,original,countdown,NaN,NaN,2760,0,Infinity,0
perf/lazy-wrapper-dart_dart2js-DeltaBlue.js,alfred,chrome,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,68,3,22.67,312.96
perf/original-wrapper-dart_dart2js-DeltaBlue.js,alfred,chrome,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2113,0,Infinity,0
perf/lazy-direct-dart_dart2js-DeltaBlue.js,kate,firefox,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,34,3,11.33,42.41
perf/original-direct-dart_dart2js-DeltaBlue.js,alfred,firefox,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2123,0,Infinity,0
perf/lazy-wrapper-scala-DeltaBlue.js,alfred,chrome,DeltaBlue,scala,lazy,reservoir,100,NaN,185387,2221,83.47,816.55
perf/original-wrapper-scala-DeltaBlue.js,alfred,chrome,DeltaBlue,scala,original,countdown,NaN,NaN,8912,0,Infinity,0
perf/original-direct-scala-DeltaBlue.js,kate,firefox,DeltaBlue,scala,original,countdown,NaN,NaN,11643,0,Infinity,0
