Benchmark,Language,Transform,NewMethod,Time
binarytrees,clojurescript,lazy,direct,49516
collatz,clojurescript,lazy,direct,15670
fannkuch,clojurescript,lazy,direct,17615
mandelbrot,clojurescript,lazy,direct,51858
memuse,clojurescript,lazy,direct,21724
meteor,clojurescript,lazy,direct,53892
nbody,clojurescript,lazy,direct,52121
pidigits,clojurescript,lazy,direct,15373
spectralnorm,clojurescript,lazy,direct,15859
DeltaBlue,dart_dart2js,lazy,direct,5314
FluidMotion,dart_dart2js,lazy,direct,6565
Richards,dart_dart2js,lazy,direct,4983
Tracer,dart_dart2js,lazy,direct,5792
almabench,ocaml,lazy,direct,9028
bdd,ocaml,lazy,direct,4707
fft,ocaml,lazy,direct,7909
fib,ocaml,lazy,direct,8662
hamming,ocaml,lazy,direct,25624
kb,ocaml,lazy,direct,25213
lens,ocaml,lazy,direct,10123
lexifi_g2pp,ocaml,lazy,direct,28917
nucleic,ocaml,lazy,direct,16669
sequence,ocaml,lazy,direct,24587
b,python_pyjs,lazy,direct,31095
binary_trees,python_pyjs,lazy,direct,32736
gcbench,python_pyjs,lazy,direct,29749
nbody,python_pyjs,lazy,direct,30867
pystone,python_pyjs,lazy,direct,33050
raytrace_simple,python_pyjs,lazy,direct,32408
richards,python_pyjs,lazy,direct,30802
schulze,python_pyjs,lazy,direct,30176
spectral_norm,python_pyjs,lazy,direct,32756
ack,racket_racketscript,lazy,direct,19993
dderiv,racket_racketscript,lazy,direct,20093
deriv,racket_racketscript,lazy,direct,19891
destruc,racket_racketscript,lazy,direct,21836
diviter,racket_racketscript,lazy,direct,20798
divrec,racket_racketscript,lazy,direct,20266
graphs,racket_racketscript,lazy,direct,20090
lattice,racket_racketscript,lazy,direct,18710
takl,racket_racketscript,lazy,direct,16892
DeltaBlue,scala,lazy,direct,27890
Richards,scala,lazy,direct,45457
SHA512,scala,lazy,direct,76995
Sudoku,scala,lazy,direct,57178
binarytrees,clojurescript,lazy,wrapper,53077
collatz,clojurescript,lazy,wrapper,14083
fannkuch,clojurescript,lazy,wrapper,15931
mandelbrot,clojurescript,lazy,wrapper,52895
memuse,clojurescript,lazy,wrapper,19233
meteor,clojurescript,lazy,wrapper,56423
nbody,clojurescript,lazy,wrapper,57995
pidigits,clojurescript,lazy,wrapper,17886
spectralnorm,clojurescript,lazy,wrapper,16098
DeltaBlue,dart_dart2js,lazy,wrapper,5580
FluidMotion,dart_dart2js,lazy,wrapper,7059
Richards,dart_dart2js,lazy,wrapper,4697
Tracer,dart_dart2js,lazy,wrapper,5813
almabench,ocaml,lazy,wrapper,9641
bdd,ocaml,lazy,wrapper,5172
fft,ocaml,lazy,wrapper,8309
fib,ocaml,lazy,wrapper,8569
hamming,ocaml,lazy,wrapper,26863
kb,ocaml,lazy,wrapper,25360
lens,ocaml,lazy,wrapper,10258
lexifi_g2pp,ocaml,lazy,wrapper,28107
nucleic,ocaml,lazy,wrapper,14437
sequence,ocaml,lazy,wrapper,23314
b,python_pyjs,lazy,wrapper,31906
binary_trees,python_pyjs,lazy,wrapper,33464
gcbench,python_pyjs,lazy,wrapper,26980
nbody,python_pyjs,lazy,wrapper,31949
pystone,python_pyjs,lazy,wrapper,32439
raytrace_simple,python_pyjs,lazy,wrapper,36232
richards,python_pyjs,lazy,wrapper,33781
schulze,python_pyjs,lazy,wrapper,32167
spectral_norm,python_pyjs,lazy,wrapper,33598
ack,racket_racketscript,lazy,wrapper,20848
dderiv,racket_racketscript,lazy,wrapper,20801
deriv,racket_racketscript,lazy,wrapper,22691
destruc,racket_racketscript,lazy,wrapper,22745
diviter,racket_racketscript,lazy,wrapper,22000
divrec,racket_racketscript,lazy,wrapper,21440
graphs,racket_racketscript,lazy,wrapper,20507
lattice,racket_racketscript,lazy,wrapper,18580
takl,racket_racketscript,lazy,wrapper,16371
DeltaBlue,scala,lazy,wrapper,28809
Richards,scala,lazy,wrapper,51894
SHA512,scala,lazy,wrapper,79261
Sudoku,scala,lazy,wrapper,59546
binarytrees,clojurescript,original,direct,3364
collatz,clojurescript,original,direct,2091
fannkuch,clojurescript,original,direct,2013
mandelbrot,clojurescript,original,direct,2945
memuse,clojurescript,original,direct,1751
meteor,clojurescript,original,direct,2361
nbody,clojurescript,original,direct,2765
pidigits,clojurescript,original,direct,1593
spectralnorm,clojurescript,original,direct,1654
DeltaBlue,dart_dart2js,original,direct,1157
FluidMotion,dart_dart2js,original,direct,1281
Richards,dart_dart2js,original,direct,1230
Tracer,dart_dart2js,original,direct,1156
almabench,ocaml,original,direct,1467
bdd,ocaml,original,direct,1265
fft,ocaml,original,direct,1411
fib,ocaml,original,direct,1385
hamming,ocaml,original,direct,1698
kb,ocaml,original,direct,2043
lens,ocaml,original,direct,1911
lexifi_g2pp,ocaml,original,direct,1955
nucleic,ocaml,original,direct,1721
sequence,ocaml,original,direct,2310
b,python_pyjs,original,direct,3080
binary_trees,python_pyjs,original,direct,2849
gcbench,python_pyjs,original,direct,1949
nbody,python_pyjs,original,direct,2897
pystone,python_pyjs,original,direct,2813
raytrace_simple,python_pyjs,original,direct,3397
richards,python_pyjs,original,direct,2767
schulze,python_pyjs,original,direct,2373
spectral_norm,python_pyjs,original,direct,2907
ack,racket_racketscript,original,direct,2094
dderiv,racket_racketscript,original,direct,2308
deriv,racket_racketscript,original,direct,1514
destruc,racket_racketscript,original,direct,1659
diviter,racket_racketscript,original,direct,1842
divrec,racket_racketscript,original,direct,1681
graphs,racket_racketscript,original,direct,1924
lattice,racket_racketscript,original,direct,1884
takl,racket_racketscript,original,direct,1680
DeltaBlue,scala,original,direct,2510
Richards,scala,original,direct,3659
SHA512,scala,original,direct,4445
