Benchmark,Language,Transform,NewMethod,TimesBlowup
binarytrees,clojurescript,lazy,direct,27.42649266410595
collatz,clojurescript,lazy,direct,17.0242694522244
fannkuch,clojurescript,lazy,direct,17.026589128331615
mandelbrot,clojurescript,lazy,direct,27.38976732896425
memuse,clojurescript,lazy,direct,16.914603163849463
meteor,clojurescript,lazy,direct,31.210615583332988
nbody,clojurescript,lazy,direct,27.77164129871354
pidigits,clojurescript,lazy,direct,17.051066217732885
spectralnorm,clojurescript,lazy,direct,17.242902960428268
DeltaBlue,dart_dart2js,lazy,direct,8.220605541885098
FluidMotion,dart_dart2js,lazy,direct,7.073477796429116
Richards,dart_dart2js,lazy,direct,7.799557166841042
Tracer,dart_dart2js,lazy,direct,7.938271044306193
almabench,ocaml,lazy,direct,10.16436406263083
bdd,ocaml,lazy,direct,9.223539717798705
fft,ocaml,lazy,direct,9.580672968747717
fib,ocaml,lazy,direct,8.679466134846974
nucleic,ocaml,lazy,direct,12.571648763529204
b,python_pyjs,lazy,direct,12.152918939624826
binary_trees,python_pyjs,lazy,direct,12.110258145818545
gcbench,python_pyjs,lazy,direct,12.1272742798745
nbody,python_pyjs,lazy,direct,12.608488787885316
pystone,python_pyjs,lazy,direct,12.201814323549844
raytrace_simple,python_pyjs,lazy,direct,12.396598397015445
richards,python_pyjs,lazy,direct,12.07537642015458
schulze,python_pyjs,lazy,direct,10.525390883543288
spectral_norm,python_pyjs,lazy,direct,12.0327297822197
ack,racket_racketscript,lazy,direct,13.21492260094225
dderiv,racket_racketscript,lazy,direct,13.861743285717937
deriv,racket_racketscript,lazy,direct,13.811584967908036
destruc,racket_racketscript,lazy,direct,13.315768206637173
diviter,racket_racketscript,lazy,direct,13.099971154242386
divrec,racket_racketscript,lazy,direct,13.09738115233419
graphs,racket_racketscript,lazy,direct,13.604687002612312
lattice,racket_racketscript,lazy,direct,13.501582915725669
takl,racket_racketscript,lazy,direct,13.254573377062835
DeltaBlue,scala,lazy,direct,33.8205578190498
Richards,scala,lazy,direct,49.892345798344714
SHA512,scala,lazy,direct,53.78679315002752
Sudoku,scala,lazy,direct,48.77413226716385
binarytrees,clojurescript,lazy,wrapper,59.40201817736045
collatz,clojurescript,lazy,wrapper,16.550287891719055
fannkuch,clojurescript,lazy,wrapper,16.582473075982605
mandelbrot,clojurescript,lazy,wrapper,59.19183224106245
memuse,clojurescript,lazy,wrapper,16.795018800176145
meteor,clojurescript,lazy,wrapper,70.95661988337879
nbody,clojurescript,lazy,wrapper,60.690045452403496
pidigits,clojurescript,lazy,wrapper,16.628519494461525
spectralnorm,clojurescript,lazy,wrapper,16.85599656623705
DeltaBlue,dart_dart2js,lazy,wrapper,7.5078420883706
FluidMotion,dart_dart2js,lazy,wrapper,6.484785594384252
Richards,dart_dart2js,lazy,wrapper,7.506922309545244
Tracer,dart_dart2js,lazy,wrapper,7.282957177239908
almabench,ocaml,lazy,wrapper,9.601870791019246
bdd,ocaml,lazy,wrapper,8.550636673653912
fft,ocaml,lazy,wrapper,9.046944172523121
fib,ocaml,lazy,wrapper,8.173751629976222
nucleic,ocaml,lazy,wrapper,12.229130735907221
b,python_pyjs,lazy,wrapper,11.401474079189816
binary_trees,python_pyjs,lazy,wrapper,11.365624948409357
gcbench,python_pyjs,lazy,wrapper,11.37777355403317
nbody,python_pyjs,lazy,wrapper,11.861970359520065
pystone,python_pyjs,lazy,wrapper,11.451827891629037
raytrace_simple,python_pyjs,lazy,wrapper,11.634465431696226
richards,python_pyjs,lazy,wrapper,11.322050407568526
schulze,python_pyjs,lazy,wrapper,9.928813081171404
spectral_norm,python_pyjs,lazy,wrapper,11.290771068825558
ack,racket_racketscript,lazy,wrapper,12.069213070449576
dderiv,racket_racketscript,lazy,wrapper,12.689377251935706
deriv,racket_racketscript,lazy,wrapper,12.644454950487418
destruc,racket_racketscript,lazy,wrapper,12.161064890122983
diviter,racket_racketscript,lazy,wrapper,11.96545720525817
divrec,racket_racketscript,lazy,wrapper,11.963131076339693
graphs,racket_racketscript,lazy,wrapper,12.430662577245098
lattice,racket_racketscript,lazy,wrapper,12.335460880825053
takl,racket_racketscript,lazy,wrapper,12.10544536415222
DeltaBlue,scala,lazy,wrapper,47.32897390220529
Richards,scala,lazy,wrapper,71.94716186614936
