Benchmark,Language,Transform,NewMethod,TimesBlowup
binarytrees,clojurescript,lazy,direct,24.48187210467682
collatz,clojurescript,lazy,direct,15.650190525417413
fannkuch,clojurescript,lazy,direct,15.571969253994748
mandelbrot,clojurescript,lazy,direct,24.463187870591906
memuse,clojurescript,lazy,direct,15.481614782697063
meteor,clojurescript,lazy,direct,27.730929379382065
nbody,clojurescript,lazy,direct,24.738308108177577
pidigits,clojurescript,lazy,direct,15.668960132728248
spectralnorm,clojurescript,lazy,direct,15.853302016143456
DeltaBlue,dart_dart2js,lazy,direct,7.698577083556221
FluidMotion,dart_dart2js,lazy,direct,6.6167862047916985
Richards,dart_dart2js,lazy,direct,7.260955254385752
Tracer,dart_dart2js,lazy,direct,7.454233080544329
almabench,ocaml,lazy,direct,9.547517374194088
bdd,ocaml,lazy,direct,8.549260081969777
fft,ocaml,lazy,direct,8.936531128091989
fib,ocaml,lazy,direct,8.050870599064202
hamming,ocaml,lazy,direct,11.269126588116903
kb,ocaml,lazy,direct,13.314825086901857
lens,ocaml,lazy,direct,7.923270516717325
lexifi_g2pp,ocaml,lazy,direct,12.950546868410166
nucleic,ocaml,lazy,direct,12.156728275187746
sequence,ocaml,lazy,direct,12.28759737417943
anagram,python_pyjs,lazy,direct,8.348852287371134
b,python_pyjs,lazy,direct,11.52050415001537
binary_trees,python_pyjs,lazy,direct,11.482656392232572
deltablue,python_pyjs,lazy,direct,11.630726416440702
fib,python_pyjs,lazy,direct,8.319550107112557
gcbench,python_pyjs,lazy,direct,11.512091715455385
nbody,python_pyjs,lazy,direct,11.978125075692944
pystone,python_pyjs,lazy,direct,11.578236753956523
raytrace_simple,python_pyjs,lazy,direct,11.741837198726694
richards,python_pyjs,lazy,direct,11.432835112066805
schulze,python_pyjs,lazy,direct,10.02301311502436
spectral_norm,python_pyjs,lazy,direct,11.40867687593207
ack,racket_racketscript,lazy,direct,12.297512899842959
dderiv,racket_racketscript,lazy,direct,12.920389441136637
deriv,racket_racketscript,lazy,direct,12.873708227773296
destruc,racket_racketscript,lazy,direct,12.392376472538517
diviter,racket_racketscript,lazy,direct,12.192035480281865
divrec,racket_racketscript,lazy,direct,12.189440113759899
graphs,racket_racketscript,lazy,direct,12.672905224118155
lattice,racket_racketscript,lazy,direct,12.571812374781425
takl,racket_racketscript,lazy,direct,12.334421364985163
DeltaBlue,scala,lazy,direct,32.22666984143782
NBody,scala,lazy,direct,39.10519858852693
Richards,scala,lazy,direct,47.49636073577353
SHA512,scala,lazy,direct,51.404672136300285
Sudoku,scala,lazy,direct,46.52402688202993
binarytrees,clojurescript,lazy,wrapper,23.645975904029044
collatz,clojurescript,lazy,wrapper,14.79441285716003
fannkuch,clojurescript,lazy,wrapper,14.70064107334602
mandelbrot,clojurescript,lazy,wrapper,23.629100350220188
memuse,clojurescript,lazy,wrapper,14.575412418278514
meteor,clojurescript,lazy,wrapper,26.90002187163414
nbody,clojurescript,lazy,wrapper,23.91035038191157
pidigits,clojurescript,lazy,wrapper,14.816815497974918
spectralnorm,clojurescript,lazy,wrapper,14.986026492434991
DeltaBlue,dart_dart2js,lazy,wrapper,7.311394030170108
FluidMotion,dart_dart2js,lazy,wrapper,6.27349305661529
Richards,dart_dart2js,lazy,wrapper,7.211829971532154
Tracer,dart_dart2js,lazy,wrapper,7.080968166749921
almabench,ocaml,lazy,wrapper,9.186122175572063
bdd,ocaml,lazy,wrapper,8.125113412383067
fft,ocaml,lazy,wrapper,8.568166211299914
fib,ocaml,lazy,wrapper,7.678867837692721
hamming,ocaml,lazy,wrapper,10.920185332718352
kb,ocaml,lazy,wrapper,12.960154574365802
lens,ocaml,lazy,wrapper,7.541568389057751
lexifi_g2pp,ocaml,lazy,wrapper,12.600711752348742
nucleic,ocaml,lazy,wrapper,11.910798919021687
sequence,ocaml,lazy,wrapper,11.92948796498906
anagram,python_pyjs,lazy,wrapper,8.09743274806701
b,python_pyjs,lazy,wrapper,11.17262107704776
binary_trees,python_pyjs,lazy,wrapper,11.138003580651283
deltablue,python_pyjs,lazy,wrapper,11.285074619258292
fib,python_pyjs,lazy,wrapper,8.067999846838115
gcbench,python_pyjs,lazy,wrapper,11.16659605141524
nbody,python_pyjs,lazy,wrapper,11.6387273358506
pystone,python_pyjs,lazy,wrapper,11.231608782326855
raytrace_simple,python_pyjs,lazy,wrapper,11.402579455307968
richards,python_pyjs,lazy,wrapper,11.0883817263169
schulze,python_pyjs,lazy,wrapper,9.750107375736988
spectral_norm,python_pyjs,lazy,wrapper,11.064118258081578
ack,racket_racketscript,lazy,wrapper,11.683584721577303
dderiv,racket_racketscript,lazy,wrapper,12.306447244014004
deriv,racket_racketscript,lazy,wrapper,12.261710098305729
destruc,racket_racketscript,lazy,wrapper,11.775309012920003
diviter,racket_racketscript,lazy,wrapper,11.584064779329955
divrec,racket_racketscript,lazy,wrapper,11.581829329239076
graphs,racket_racketscript,lazy,wrapper,12.044247608749476
lattice,racket_racketscript,lazy,wrapper,11.950396875971798
takl,racket_racketscript,lazy,wrapper,11.719902129210267
DeltaBlue,scala,lazy,wrapper,31.90034746106496
NBody,scala,lazy,wrapper,38.78872592211603
Richards,scala,lazy,wrapper,47.16680203431849
SHA512,scala,lazy,wrapper,51.07699856027304
Sudoku,scala,lazy,wrapper,46.18049734355182
binarytrees,clojurescript,original,direct,1.0116995789011858
collatz,clojurescript,original,direct,1.0326958445024101
fannkuch,clojurescript,original,direct,1.0289174046629315
mandelbrot,clojurescript,original,direct,1.011789590485107
memuse,clojurescript,original,direct,1.023034450052505
meteor,clojurescript,original,direct,1.011224687710205
nbody,clojurescript,original,direct,1.0116522655517048
pidigits,clojurescript,original,direct,1.0331820621675694
spectralnorm,clojurescript,original,direct,1.0324299834273247
DeltaBlue,dart_dart2js,original,direct,1.0582004921365145
FluidMotion,dart_dart2js,original,direct,1.041507706394018
Richards,dart_dart2js,original,direct,1.0661816589211417
Tracer,dart_dart2js,original,direct,1.04117281988405
almabench,ocaml,original,direct,1.0325354959868902
bdd,ocaml,original,direct,1.085098395019241
fft,ocaml,original,direct,1.0397410984322721
fib,ocaml,original,direct,1.041727391270998
hamming,ocaml,original,direct,1.0114050903601828
kb,ocaml,original,direct,1.0125730345388655
lens,ocaml,original,direct,1.0330699088145896
lexifi_g2pp,ocaml,original,direct,1.0109253182199764
nucleic,ocaml,original,direct,1.0184689761940329
sequence,ocaml,original,direct,1.0119037199124727
anagram,python_pyjs,original,direct,1.0068862757731958
b,python_pyjs,original,direct,1.0095576111561355
binary_trees,python_pyjs,original,direct,1.0094053973780392
deltablue,python_pyjs,original,direct,1.0087157740218964
fib,python_pyjs,original,direct,1.0068922848730468
gcbench,python_pyjs,original,direct,1.009409252982348
nbody,python_pyjs,original,direct,1.0092042619500656
pystone,python_pyjs,original,direct,1.0092759598041743
raytrace_simple,python_pyjs,original,direct,1.0086402910413825
richards,python_pyjs,original,direct,1.0090233895756104
schulze,python_pyjs,original,direct,1.0074186872828081
spectral_norm,python_pyjs,original,direct,1.0093241110059952
ack,racket_racketscript,original,direct,1.0141911315862242
dderiv,racket_racketscript,original,direct,1.0139013109140622
deriv,racket_racketscript,original,direct,1.0139776049990492
destruc,racket_racketscript,original,direct,1.0140907819347886
diviter,racket_racketscript,original,direct,1.0140107965549923
divrec,racket_racketscript,original,direct,1.0140139005528277
graphs,racket_racketscript,original,direct,1.0137436902818973
lattice,racket_racketscript,original,direct,1.013866443716003
takl,racket_racketscript,original,direct,1.0141600291530013
DeltaBlue,scala,original,direct,1.0100534419810572
NBody,scala,original,direct,1.014418273264221
Richards,scala,original,direct,1.0076521879216256
