Benchmark,Language,Transform,NewMethod,TimesBlowup
binarytrees,clojurescript,lazy,direct,27.26441478448257
collatz,clojurescript,lazy,direct,16.88288396581361
fannkuch,clojurescript,lazy,direct,16.88509584205994
mandelbrot,clojurescript,lazy,direct,27.227630118936162
memuse,clojurescript,lazy,direct,16.769960367196234
meteor,clojurescript,lazy,direct,31.04796077962059
nbody,clojurescript,lazy,direct,27.61055301138238
pidigits,clojurescript,lazy,direct,16.91009125067096
spectralnorm,clojurescript,lazy,direct,17.098172236595804
DeltaBlue,dart_dart2js,lazy,direct,8.152690702899326
FluidMotion,dart_dart2js,lazy,direct,7.014237753700595
Richards,dart_dart2js,lazy,direct,7.7351517068541815
Tracer,dart_dart2js,lazy,direct,7.874559132948852
almabench,ocaml,lazy,direct,10.097666295857705
bdd,ocaml,lazy,direct,9.144792416231267
fft,ocaml,lazy,direct,9.513609865143257
fib,ocaml,lazy,direct,8.614681291708216
hamming,ocaml,lazy,direct,11.852765315107552
kb,ocaml,lazy,direct,13.970776939575476
lens,ocaml,lazy,direct,8.466188449848024
lexifi_g2pp,ocaml,lazy,direct,13.584870040929777
nucleic,ocaml,lazy,direct,12.529407770550131
sequence,ocaml,lazy,direct,12.906100656455143
b,python_pyjs,lazy,direct,12.086456757640914
binary_trees,python_pyjs,lazy,direct,12.044081796620056
gcbench,python_pyjs,lazy,direct,12.06098169006713
nbody,python_pyjs,lazy,direct,12.54226353316244
pystone,python_pyjs,lazy,direct,12.13546370267454
raytrace_simple,python_pyjs,lazy,direct,12.32934735628872
richards,python_pyjs,lazy,direct,12.00859219918064
schulze,python_pyjs,lazy,direct,10.472660395169427
spectral_norm,python_pyjs,lazy,direct,11.966629206127525
ack,racket_racketscript,lazy,direct,13.111885594436242
dderiv,racket_racketscript,lazy,direct,13.757151253417831
deriv,racket_racketscript,lazy,direct,13.707426116538281
destruc,racket_racketscript,lazy,direct,13.21172435943927
diviter,racket_racketscript,lazy,direct,12.997949890798203
divrec,racket_racketscript,lazy,direct,12.9953888084578
graphs,racket_racketscript,lazy,direct,13.498168350100299
lattice,racket_racketscript,lazy,direct,13.396192845526798
takl,racket_racketscript,lazy,direct,13.151252017283564
