Benchmark,Language,Transform,NewMethod,TimesBlowup
binarytrees,clojurescript,lazy,direct,25.25470241346828
collatz,clojurescript,lazy,direct,16.17993532954286
fannkuch,clojurescript,lazy,direct,16.088219347019486
mandelbrot,clojurescript,lazy,direct,25.239649433059398
memuse,clojurescript,lazy,direct,16.001947765997087
meteor,clojurescript,lazy,direct,28.51004238144955
nbody,clojurescript,lazy,direct,25.510677673488097
pidigits,clojurescript,lazy,direct,16.20011711316059
spectralnorm,clojurescript,lazy,direct,16.40505287756489
DeltaBlue,dart_dart2js,lazy,direct,8.102792339788166
FluidMotion,dart_dart2js,lazy,direct,6.966870135815657
Richards,dart_dart2js,lazy,direct,7.63016131779362
Tracer,dart_dart2js,lazy,direct,7.821624812678807
almabench,ocaml,lazy,direct,9.878087582684417
bdd,ocaml,lazy,direct,8.897756781278353
fft,ocaml,lazy,direct,9.245474336309046
fib,ocaml,lazy,direct,8.331794124415126
hamming,ocaml,lazy,direct,11.692494444211498
kb,ocaml,lazy,direct,13.7937144072184
lens,ocaml,lazy,direct,8.195100303951367
lexifi_g2pp,ocaml,lazy,direct,13.442073721798018
nucleic,ocaml,lazy,direct,12.339591509703002
sequence,ocaml,lazy,direct,12.728774617067833
b,python_pyjs,lazy,direct,12.006671382676215
binary_trees,python_pyjs,lazy,direct,11.965851121786935
gcbench,python_pyjs,lazy,direct,11.982378721141954
nbody,python_pyjs,lazy,direct,12.465706654029253
pystone,python_pyjs,lazy,direct,12.057751172282043
raytrace_simple,python_pyjs,lazy,direct,12.243425159931958
richards,python_pyjs,lazy,direct,11.92348059298053
schulze,python_pyjs,lazy,direct,10.410961014723913
spectral_norm,python_pyjs,lazy,direct,11.888616724130406
ack,racket_racketscript,lazy,direct,12.967636915724505
dderiv,racket_racketscript,lazy,direct,13.615776965732246
deriv,racket_racketscript,lazy,direct,13.565347872783239
destruc,racket_racketscript,lazy,direct,13.068495705419771
diviter,racket_racketscript,lazy,direct,12.855534264639221
divrec,racket_racketscript,lazy,direct,12.852941631073763
graphs,racket_racketscript,lazy,direct,13.358467780646661
lattice,racket_racketscript,lazy,direct,13.255244523519426
takl,racket_racketscript,lazy,direct,13.007319485657765
DeltaBlue,scala,lazy,direct,32.46637682181891
Richards,scala,lazy,direct,47.76088478982214
SHA512,scala,lazy,direct,51.64954531306778
Sudoku,scala,lazy,direct,46.856542513384376
binarytrees,clojurescript,lazy,wrapper,23.866263490001593
collatz,clojurescript,lazy,wrapper,15.059561731437295
fannkuch,clojurescript,lazy,wrapper,14.97549462582792
mandelbrot,clojurescript,lazy,wrapper,23.84913225146503
memuse,clojurescript,lazy,wrapper,14.85793164188205
meteor,clojurescript,lazy,wrapper,27.12354997255729
nbody,clojurescript,lazy,wrapper,24.129207346068004
pidigits,clojurescript,lazy,wrapper,15.080307910018055
spectralnorm,clojurescript,lazy,wrapper,15.250903151192874
DeltaBlue,dart_dart2js,lazy,wrapper,7.390777789665133
FluidMotion,dart_dart2js,lazy,wrapper,6.379032504196551
Richards,dart_dart2js,lazy,wrapper,7.28175868025986
Tracer,dart_dart2js,lazy,wrapper,7.167537047969363
almabench,ocaml,lazy,wrapper,9.312723532015168
bdd,ocaml,lazy,wrapper,8.22485373713356
fft,ocaml,lazy,wrapper,8.708253583273674
fib,ocaml,lazy,wrapper,7.822413131855488
hamming,ocaml,lazy,wrapper,11.094096188519435
kb,ocaml,lazy,wrapper,13.137230974040381
lens,ocaml,lazy,wrapper,7.67883282674772
lexifi_g2pp,ocaml,lazy,wrapper,12.76389664327631
nucleic,ocaml,lazy,wrapper,11.995416706275378
sequence,ocaml,lazy,wrapper,12.103724288840263
b,python_pyjs,lazy,wrapper,11.25220398884934
binary_trees,python_pyjs,lazy,wrapper,11.218243551857539
gcbench,python_pyjs,lazy,wrapper,11.229900255352907
nbody,python_pyjs,lazy,wrapper,11.71627749176055
pystone,python_pyjs,lazy,wrapper,11.304831321639458
raytrace_simple,python_pyjs,lazy,wrapper,11.478559892022233
