Path,Hostname,Platform,Benchmark,Language,Transform,Estimator,YieldInterval,TimePerElapsed,RunningTime,NumYields,AvgLatency,VarLatency
bench/lazy-wrapper-dart_dart2js-DeltaBlue.js,sam-desktop,chrome,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,2150,28,76.79,773.93
bench/original-wrapper-dart_dart2js-DeltaBlue.js,sam-desktop,chrome,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2114,0,Infinity,0
bench/lazy-direct-dart_dart2js-DeltaBlue.js,sam-desktop,firefox,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,2133,36,59.25,2025.82
bench/original-direct-dart_dart2js-DeltaBlue.js,sam-desktop,firefox,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2108,0,Infinity,0
bench/lazy-wrapper-scala-DeltaBlue.js,william,chrome,DeltaBlue,scala,lazy,reservoir,100,NaN,67954,705,96.39,744.01
bench/original-wrapper-scala-DeltaBlue.js,alfred,chrome,DeltaBlue,scala,original,countdown,NaN,NaN,6381,0,Infinity,0
bench/lazy-direct-scala-DeltaBlue.js,alfred,firefox,DeltaBlue,scala,lazy,reservoir,100,NaN,186931,1721,108.62,6522.56
bench/original-direct-scala-DeltaBlue.js,sam-desktop,firefox,DeltaBlue,scala,original,countdown,NaN,NaN,8707,0,Infinity,0
bench/lazy-wrapper-dart_dart2js-FluidMotion.js,sam-desktop,chrome,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,3503,51,68.69,1545.81
bench/original-wrapper-dart_dart2js-FluidMotion.js,sam-desktop,chrome,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2171,0,Infinity,0
bench/lazy-direct-dart_dart2js-FluidMotion.js,william,firefox,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,5648,74,76.32,537.35
bench/original-direct-dart_dart2js-FluidMotion.js,william,firefox,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2171,0,Infinity,0
bench/lazy-wrapper-dart_dart2js-Richards.js,kate,chrome,Richards,dart_dart2js,lazy,reservoir,100,NaN,2171,24,90.46,542.30
bench/original-wrapper-dart_dart2js-Richards.js,william,chrome,Richards,dart_dart2js,original,countdown,NaN,NaN,2109,0,Infinity,0
bench/lazy-direct-dart_dart2js-Richards.js,william,firefox,Richards,dart_dart2js,lazy,reservoir,100,NaN,2154,23,93.65,544.51
bench/original-direct-dart_dart2js-Richards.js,kate,firefox,Richards,dart_dart2js,original,countdown,NaN,NaN,2106,0,Infinity,0
bench/lazy-wrapper-scala-Richards.js,sam-desktop,chrome,Richards,scala,lazy,reservoir,100,NaN,16781,168,99.89,248.53
bench/original-wrapper-scala-Richards.js,sam-desktop,chrome,Richards,scala,original,countdown,NaN,NaN,1460,0,Infinity,0
bench/lazy-direct-scala-Richards.js,kate,firefox,Richards,scala,lazy,reservoir,100,NaN,36548,384,95.18,8163.28
bench/original-direct-scala-Richards.js,william,firefox,Richards,scala,original,countdown,NaN,NaN,3541,0,Infinity,0
bench/lazy-wrapper-scala-SHA512.js,kate,chrome,SHA512,scala,lazy,reservoir,100,NaN,96336,961,100.25,288.22
bench/original-wrapper-scala-SHA512.js,kate,chrome,SHA512,scala,original,countdown,NaN,NaN,4646,0,Infinity,0
bench/lazy-direct-scala-SHA512.js,kate,firefox,SHA512,scala,lazy,reservoir,100,NaN,100596,1072,93.84,13170.49
bench/original-direct-scala-SHA512.js,kate,firefox,SHA512,scala,original,countdown,NaN,NaN,4745,0,Infinity,0
bench/lazy-wrapper-scala-Sudoku.js,alfred,chrome,Sudoku,scala,lazy,reservoir,100,NaN,122416,1286,95.19,424.27
bench/original-wrapper-scala-Sudoku.js,william,chrome,Sudoku,scala,original,countdown,NaN,NaN,7936,0,Infinity,0
bench/lazy-direct-scala-Sudoku.js,alfred,firefox,Sudoku,scala,lazy,reservoir,100,NaN,290237,3221,90.11,4243.07
bench/original-direct-scala-Sudoku.js,sam-desktop,firefox,Sudoku,scala,original,countdown,NaN,NaN,8370,0,Infinity,0
bench/lazy-wrapper-dart_dart2js-Tracer.js,kate,chrome,Tracer,dart_dart2js,lazy,reservoir,100,NaN,2193,38,57.71,968.63
bench/original-wrapper-dart_dart2js-Tracer.js,kate,chrome,Tracer,dart_dart2js,original,countdown,NaN,NaN,2109,0,Infinity,0
bench/lazy-direct-dart_dart2js-Tracer.js,alfred,firefox,Tracer,dart_dart2js,lazy,reservoir,100,NaN,2196,28,78.43,1434.71
bench/original-direct-dart_dart2js-Tracer.js,sam-desktop,firefox,Tracer,dart_dart2js,original,countdown,NaN,NaN,2106,0,Infinity,0
bench/lazy-wrapper-racket_racketscript-ack.js,alfred,chrome,ack,racket_racketscript,lazy,reservoir,100,NaN,50467,397,127.12,2124.63
bench/original-wrapper-racket_racketscript-ack.js,sam-desktop,chrome,ack,racket_racketscript,original,countdown,NaN,NaN,1940,0,Infinity,0
bench/original-direct-racket_racketscript-ack.js,sam-desktop,firefox,ack,racket_racketscript,original,countdown,NaN,NaN,6292,0,Infinity,0
bench/lazy-wrapper-ocaml-almabench.js,sam-desktop,chrome,almabench,ocaml,lazy,reservoir,100,NaN,35779,364,98.29,93.31
bench/original-wrapper-ocaml-almabench.js,sam-desktop,chrome,almabench,ocaml,original,countdown,NaN,NaN,3128,0,Infinity,0
bench/lazy-direct-ocaml-almabench.js,kate,firefox,almabench,ocaml,lazy,reservoir,100,NaN,25385,295,86.05,1952.84
bench/original-direct-ocaml-almabench.js,kate,firefox,almabench,ocaml,original,countdown,NaN,NaN,3728,0,Infinity,0
bench/lazy-wrapper-python_pyjs-b.js,william,chrome,b,python_pyjs,lazy,reservoir,100,NaN,2961,34,87.09,2521.75
bench/original-wrapper-python_pyjs-b.js,kate,chrome,b,python_pyjs,original,countdown,NaN,NaN,910,0,Infinity,0
bench/lazy-direct-python_pyjs-b.js,alfred,firefox,b,python_pyjs,lazy,reservoir,100,NaN,3632,46,78.96,987.20
bench/original-direct-python_pyjs-b.js,kate,firefox,b,python_pyjs,original,countdown,NaN,NaN,1195,0,Infinity,0
bench/lazy-wrapper-ocaml-bdd.js,william,chrome,bdd,ocaml,lazy,reservoir,100,NaN,28916,345,83.81,1616.28
bench/original-wrapper-ocaml-bdd.js,sam-desktop,chrome,bdd,ocaml,original,countdown,NaN,NaN,2635,0,Infinity,0
bench/lazy-direct-ocaml-bdd.js,william,firefox,bdd,ocaml,lazy,reservoir,100,NaN,49444,526,94.00,1388.80
bench/original-direct-ocaml-bdd.js,kate,firefox,bdd,ocaml,original,countdown,NaN,NaN,6059,0,Infinity,0
