Path,Hostname,Platform,Benchmark,Language,Transform,Estimator,YieldInterval,TimePerElapsed,RunningTime,NumYields,AvgLatency,VarLatency
sep2/lazy-wrapper-scala-DeltaBlue-single.html,william,chrome,DeltaBlue-single,scala,lazy,reservoir,100,NaN,1346,16,84.13,5091.86
sep2/original-wrapper-scala-DeltaBlue-single.html,alfred,chrome,DeltaBlue-single,scala,original,countdown,NaN,NaN,89,0,Infinity,0
sep2/lazy-direct-scala-DeltaBlue-single.html,alfred,firefox,DeltaBlue-single,scala,lazy,reservoir,100,NaN,1144,10,114.40,3581.62
sep2/original-direct-scala-DeltaBlue-single.html,william,firefox,DeltaBlue-single,scala,original,countdown,NaN,NaN,105,0,Infinity,0
sep2/lazy-wrapper-dart_dart2js-DeltaBlue.html,alfred,chrome,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,2313,30,77.10,971.53
sep2/original-wrapper-dart_dart2js-DeltaBlue.html,alfred,chrome,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2110,0,Infinity,0
sep2/lazy-direct-dart_dart2js-DeltaBlue.html,alfred,firefox,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,2197,30,73.23,2021.13
sep2/original-direct-dart_dart2js-DeltaBlue.html,alfred,firefox,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2112,0,Infinity,0
sep2/lazy-wrapper-scala-DeltaBlue.html,alfred,chrome,DeltaBlue,scala,lazy,reservoir,100,NaN,54007,640,84.39,644.64
sep2/original-wrapper-scala-DeltaBlue.html,alfred,chrome,DeltaBlue,scala,original,countdown,NaN,NaN,5196,0,Infinity,0
sep2/lazy-direct-scala-DeltaBlue.html,alfred,firefox,DeltaBlue,scala,lazy,reservoir,100,NaN,158357,1648,96.09,6335.14
sep2/original-direct-scala-DeltaBlue.html,alfred,firefox,DeltaBlue,scala,original,countdown,NaN,NaN,9277,0,Infinity,0
sep2/lazy-wrapper-dart_dart2js-FluidMotion.html,william,chrome,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,3881,49,79.20,3433.59
sep2/original-wrapper-dart_dart2js-FluidMotion.html,william,chrome,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2180,0,Infinity,0
sep2/lazy-direct-dart_dart2js-FluidMotion.html,alfred,firefox,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,4578,73,62.71,1263.61
sep2/original-direct-dart_dart2js-FluidMotion.html,alfred,firefox,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2158,0,Infinity,0
sep2/lazy-wrapper-scala-Richards-single.html,william,chrome,Richards-single,scala,lazy,reservoir,100,NaN,1181,4,295.25,64350.80
sep2/original-wrapper-scala-Richards-single.html,william,chrome,Richards-single,scala,original,countdown,NaN,NaN,20,0,Infinity,0
sep2/lazy-direct-scala-Richards-single.html,william,firefox,Richards-single,scala,lazy,reservoir,100,NaN,463,3,154.33,14679.19
sep2/original-direct-scala-Richards-single.html,william,firefox,Richards-single,scala,original,countdown,NaN,NaN,14,0,Infinity,0
sep2/lazy-wrapper-dart_dart2js-Richards.html,alfred,chrome,Richards,dart_dart2js,lazy,reservoir,100,NaN,2226,25,89.04,1891.99
sep2/original-wrapper-dart_dart2js-Richards.html,alfred,chrome,Richards,dart_dart2js,original,countdown,NaN,NaN,2108,0,Infinity,0
sep2/lazy-direct-dart_dart2js-Richards.html,alfred,firefox,Richards,dart_dart2js,lazy,reservoir,100,NaN,2237,23,97.26,1547.39
sep2/original-direct-dart_dart2js-Richards.html,alfred,firefox,Richards,dart_dart2js,original,countdown,NaN,NaN,2108,0,Infinity,0
sep2/lazy-wrapper-scala-Richards.html,william,chrome,Richards,scala,lazy,reservoir,100,NaN,18174,166,109.48,470.34
sep2/original-wrapper-scala-Richards.html,alfred,chrome,Richards,scala,original,countdown,NaN,NaN,1596,0,Infinity,0
sep2/lazy-direct-scala-Richards.html,alfred,firefox,Richards,scala,lazy,reservoir,100,NaN,34412,485,70.95,4390.28
sep2/original-direct-scala-Richards.html,alfred,firefox,Richards,scala,original,countdown,NaN,NaN,3351,0,Infinity,0
sep2/lazy-wrapper-scala-SHA512-single.html,alfred,chrome,SHA512-single,scala,lazy,reservoir,100,NaN,9944,100,99.44,1566.46
sep2/original-wrapper-scala-SHA512-single.html,alfred,chrome,SHA512-single,scala,original,countdown,NaN,NaN,293,0,Infinity,0
sep2/lazy-direct-scala-SHA512-single.html,william,firefox,SHA512-single,scala,lazy,reservoir,100,NaN,15900,187,85.03,8100.65
sep2/original-direct-scala-SHA512-single.html,william,firefox,SHA512-single,scala,original,countdown,NaN,NaN,953,0,Infinity,0
sep2/lazy-wrapper-scala-SHA512.html,william,chrome,SHA512,scala,lazy,reservoir,100,NaN,178216,1746,102.07,205.04
sep2/original-wrapper-scala-SHA512.html,alfred,chrome,SHA512,scala,original,countdown,NaN,NaN,4213,0,Infinity,0
sep2/lazy-direct-scala-SHA512.html,alfred,firefox,SHA512,scala,lazy,reservoir,100,NaN,208532,2124,98.18,3356.22
sep2/original-direct-scala-SHA512.html,alfred,firefox,SHA512,scala,original,countdown,NaN,NaN,3734,0,Infinity,0
sep2/lazy-wrapper-scala-Sudoku-single.html,alfred,chrome,Sudoku-single,scala,lazy,reservoir,100,NaN,3770,14,269.29,33890.68
sep2/original-wrapper-scala-Sudoku-single.html,william,chrome,Sudoku-single,scala,original,countdown,NaN,NaN,123,0,Infinity,0
sep2/lazy-direct-scala-Sudoku-single.html,william,firefox,Sudoku-single,scala,lazy,reservoir,100,NaN,3387,98,34.56,13431.22
sep2/original-direct-scala-Sudoku-single.html,william,firefox,Sudoku-single,scala,original,countdown,NaN,NaN,197,0,Infinity,0
sep2/lazy-wrapper-scala-Sudoku.html,william,chrome,Sudoku,scala,lazy,reservoir,100,NaN,90282,953,94.73,480.70
sep2/original-wrapper-scala-Sudoku.html,alfred,chrome,Sudoku,scala,original,countdown,NaN,NaN,7311,0,Infinity,0
sep2/lazy-direct-scala-Sudoku.html,william,firefox,Sudoku,scala,lazy,reservoir,100,NaN,240878,2473,97.40,10458.73
sep2/original-direct-scala-Sudoku.html,william,firefox,Sudoku,scala,original,countdown,NaN,NaN,9453,0,Infinity,0
sep2/lazy-wrapper-dart_dart2js-Tracer.html,william,chrome,Tracer,dart_dart2js,lazy,reservoir,100,NaN,2388,51,46.82,3434.45
sep2/original-wrapper-dart_dart2js-Tracer.html,william,chrome,Tracer,dart_dart2js,original,countdown,NaN,NaN,2111,0,Infinity,0
sep2/lazy-direct-dart_dart2js-Tracer.html,william,firefox,Tracer,dart_dart2js,lazy,reservoir,100,NaN,2279,24,94.96,1090.15
sep2/original-direct-dart_dart2js-Tracer.html,alfred,firefox,Tracer,dart_dart2js,original,countdown,NaN,NaN,2114,0,Infinity,0
sep2/lazy-wrapper-racket_racketscript-ack.html,william,chrome,ack,racket_racketscript,lazy,reservoir,100,NaN,33662,230,146.36,2053.43
sep2/original-wrapper-racket_racketscript-ack.html,alfred,chrome,ack,racket_racketscript,original,countdown,NaN,NaN,1960,0,Infinity,0
sep2/original-direct-racket_racketscript-ack.html,alfred,firefox,ack,racket_racketscript,original,countdown,NaN,NaN,6521,0,Infinity,0
sep2/lazy-wrapper-ocaml-almabench.html,alfred,chrome,almabench,ocaml,lazy,reservoir,100,NaN,49983,499,100.17,179.55
sep2/original-wrapper-ocaml-almabench.html,alfred,chrome,almabench,ocaml,original,countdown,NaN,NaN,3742,0,Infinity,0
sep2/lazy-direct-ocaml-almabench.html,alfred,firefox,almabench,ocaml,lazy,reservoir,100,NaN,28058,323,86.87,3002.77
sep2/original-direct-ocaml-almabench.html,alfred,firefox,almabench,ocaml,original,countdown,NaN,NaN,3173,0,Infinity,0
sep2/lazy-wrapper-python_pyjs-b.html,william,chrome,b,python_pyjs,lazy,reservoir,100,NaN,3028,27,112.15,3114.49
sep2/original-wrapper-python_pyjs-b.html,alfred,chrome,b,python_pyjs,original,countdown,NaN,NaN,780,0,Infinity,0
sep2/lazy-direct-python_pyjs-b.html,william,firefox,b,python_pyjs,lazy,reservoir,100,NaN,3731,37,100.84,932.30
sep2/original-direct-python_pyjs-b.html,alfred,firefox,b,python_pyjs,original,countdown,NaN,NaN,1035,0,Infinity,0
sep2/lazy-wrapper-ocaml-bdd.html,william,chrome,bdd,ocaml,lazy,reservoir,100,NaN,27709,290,95.55,1648.77
sep2/original-wrapper-ocaml-bdd.html,alfred,chrome,bdd,ocaml,original,countdown,NaN,NaN,2614,0,Infinity,0
sep2/lazy-direct-ocaml-bdd.html,alfred,firefox,bdd,ocaml,lazy,reservoir,100,NaN,35008,367,95.39,710.05
sep2/original-direct-ocaml-bdd.html,william,firefox,bdd,ocaml,original,countdown,NaN,NaN,4346,0,Infinity,0
sep2/lazy-wrapper-python_pyjs-binary_trees.html,william,chrome,binary_trees,python_pyjs,lazy,reservoir,100,NaN,4142,54,76.70,2094.13
sep2/original-wrapper-python_pyjs-binary_trees.html,alfred,chrome,binary_trees,python_pyjs,original,countdown,NaN,NaN,7170,0,Infinity,0
sep2/lazy-direct-python_pyjs-binary_trees.html,william,firefox,binary_trees,python_pyjs,lazy,reservoir,100,NaN,10766,123,87.53,888.89
sep2/original-direct-python_pyjs-binary_trees.html,william,firefox,binary_trees,python_pyjs,original,countdown,NaN,NaN,1610,0,Infinity,0
sep2/lazy-wrapper-clojurescript-binarytrees.html,alfred,chrome,binarytrees,clojurescript,lazy,reservoir,100,NaN,14926,141,105.86,632.06
sep2/original-wrapper-clojurescript-binarytrees.html,alfred,chrome,binarytrees,clojurescript,original,countdown,NaN,NaN,1330,0,Infinity,0
sep2/lazy-direct-clojurescript-binarytrees.html,william,firefox,binarytrees,clojurescript,lazy,reservoir,100,NaN,23004,229,100.45,22403.99
sep2/original-direct-clojurescript-binarytrees.html,alfred,firefox,binarytrees,clojurescript,original,countdown,NaN,NaN,1814,0,Infinity,0
sep2/lazy-wrapper-clojurescript-collatz.html,alfred,chrome,collatz,clojurescript,lazy,reservoir,100,NaN,13673,173,79.03,2205.07
sep2/original-wrapper-clojurescript-collatz.html,william,chrome,collatz,clojurescript,original,countdown,NaN,NaN,3220,0,Infinity,0
sep2/lazy-direct-clojurescript-collatz.html,william,firefox,collatz,clojurescript,lazy,reservoir,100,NaN,19794,222,89.16,5414.80
sep2/original-direct-clojurescript-collatz.html,alfred,firefox,collatz,clojurescript,original,countdown,NaN,NaN,3357,0,Infinity,0
sep2/lazy-wrapper-racket_racketscript-dderiv.html,william,chrome,dderiv,racket_racketscript,lazy,reservoir,100,NaN,750,11,68.18,2775.11
sep2/original-wrapper-racket_racketscript-dderiv.html,alfred,chrome,dderiv,racket_racketscript,original,countdown,NaN,NaN,37,0,Infinity,0
