Path,Hostname,Platform,Benchmark,Language,Transform,Estimator,YieldInterval,TimePerElapsed,RunningTime,NumYields,AvgLatency,VarLatency
perf/original-wrapper-javascript-3d-cube.js,william,chrome,3d-cube,javascript,original,countdown,NaN,NaN,1545,0,Infinity,0
perf/lazy-direct-javascript-3d-cube.js,alfred,firefox,3d-cube,javascript,lazy,reservoir,100,NaN,27432,290,94.59,798.12
perf/original-direct-javascript-3d-cube.js,sam-desktop,firefox,3d-cube,javascript,original,countdown,NaN,NaN,942,0,Infinity,0
perf/lazy-wrapper-javascript-3d-raytrace.js,alfred,chrome,3d-raytrace,javascript,lazy,reservoir,100,NaN,6752,78,86.56,684.98
perf/original-wrapper-javascript-3d-raytrace.js,william,chrome,3d-raytrace,javascript,original,countdown,NaN,NaN,2411,0,Infinity,0
perf/lazy-direct-javascript-3d-raytrace.js,william,firefox,3d-raytrace,javascript,lazy,reservoir,100,NaN,9215,93,99.09,586.35
perf/original-direct-javascript-3d-raytrace.js,sam-desktop,firefox,3d-raytrace,javascript,original,countdown,NaN,NaN,1822,0,Infinity,0
perf/lazy-wrapper-dart_dart2js-DeltaBlue.js,alfred,chrome,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,44,2,22.00,200.00
perf/original-wrapper-dart_dart2js-DeltaBlue.js,alfred,chrome,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2108,0,Infinity,0
perf/lazy-direct-dart_dart2js-DeltaBlue.js,william,firefox,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,33,2,16.50,120.13
perf/original-direct-dart_dart2js-DeltaBlue.js,sam-desktop,firefox,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2108,0,Infinity,0
perf/lazy-wrapper-scala-DeltaBlue.js,kate,chrome,DeltaBlue,scala,lazy,reservoir,100,NaN,112237,1307,85.87,627.37
perf/original-wrapper-scala-DeltaBlue.js,kate,chrome,DeltaBlue,scala,original,countdown,NaN,NaN,5466,0,Infinity,0
perf/lazy-direct-scala-DeltaBlue.js,william,firefox,DeltaBlue,scala,lazy,reservoir,100,NaN,197583,2043,96.71,762.81
perf/original-direct-scala-DeltaBlue.js,kate,firefox,DeltaBlue,scala,original,countdown,NaN,NaN,10161,0,Infinity,0
perf/lazy-wrapper-scala-Fannkuchredux.js,sam-desktop,chrome,Fannkuchredux,scala,lazy,reservoir,100,NaN,27396,263,104.17,1199.19
perf/original-wrapper-scala-Fannkuchredux.js,william,chrome,Fannkuchredux,scala,original,countdown,NaN,NaN,806,0,Infinity,0
perf/lazy-direct-scala-Fannkuchredux.js,kate,firefox,Fannkuchredux,scala,lazy,reservoir,100,NaN,70264,761,92.33,840.40
