Path,Hostname,Platform,Benchmark,Language,Transform,Estimator,YieldInterval,TimePerElapsed,RunningTime,NumYields,AvgLatency,VarLatency
bench2/lazy-wrapper-scala-DeltaBlue-single.html,william,chrome,DeltaBlue-single,scala,lazy,reservoir,100,NaN,1760,10,176.00,14886.70
bench2/original-wrapper-scala-DeltaBlue-single.html,sam-desktop,chrome,DeltaBlue-single,scala,original,countdown,NaN,NaN,70,0,Infinity,0
bench2/lazy-direct-scala-DeltaBlue-single.html,william,firefox,DeltaBlue-single,scala,lazy,reservoir,100,NaN,1185,9,131.67,9027.80
bench2/original-direct-scala-DeltaBlue-single.html,william,firefox,DeltaBlue-single,scala,original,countdown,NaN,NaN,200,0,Infinity,0
bench2/lazy-wrapper-dart_dart2js-DeltaBlue.html,alfred,chrome,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,2286,30,76.20,1694.16
bench2/original-wrapper-dart_dart2js-DeltaBlue.html,desktop,chrome,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2110,0,Infinity,0
bench2/lazy-direct-dart_dart2js-DeltaBlue.html,william,firefox,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,2287,22,103.95,3161.17
bench2/original-direct-dart_dart2js-DeltaBlue.html,sam-desktop,firefox,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2108,0,Infinity,0
bench2/lazy-wrapper-scala-DeltaBlue.html,william,chrome,DeltaBlue,scala,lazy,reservoir,100,NaN,77207,835,92.46,772.84
bench2/original-wrapper-scala-DeltaBlue.html,alfred,chrome,DeltaBlue,scala,original,countdown,NaN,NaN,5259,0,Infinity,0
bench2/lazy-direct-scala-DeltaBlue.html,william,firefox,DeltaBlue,scala,lazy,reservoir,100,NaN,199341,2027,98.34,8758.60
bench2/original-direct-scala-DeltaBlue.html,alfred,firefox,DeltaBlue,scala,original,countdown,NaN,NaN,10216,0,Infinity,0
bench2/lazy-wrapper-dart_dart2js-FluidMotion.html,william,chrome,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,4338,62,69.97,4194.46
bench2/original-wrapper-dart_dart2js-FluidMotion.html,sam-desktop,chrome,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2196,0,Infinity,0
bench2/lazy-direct-dart_dart2js-FluidMotion.html,william,firefox,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,6222,88,70.70,1196.51
bench2/original-direct-dart_dart2js-FluidMotion.html,william,firefox,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2174,0,Infinity,0
bench2/lazy-wrapper-scala-Richards-single.html,desktop,chrome,Richards-single,scala,lazy,reservoir,100,NaN,914,2,457.00,103512.50
bench2/original-wrapper-scala-Richards-single.html,alfred,chrome,Richards-single,scala,original,countdown,NaN,NaN,20,0,Infinity,0
bench2/lazy-direct-scala-Richards-single.html,alfred,firefox,Richards-single,scala,lazy,reservoir,100,NaN,363,5,72.60,3852.49
bench2/original-direct-scala-Richards-single.html,william,firefox,Richards-single,scala,original,countdown,NaN,NaN,26,0,Infinity,0
bench2/lazy-wrapper-dart_dart2js-Richards.html,alfred,chrome,Richards,dart_dart2js,lazy,reservoir,100,NaN,2232,25,89.28,1154.45
bench2/original-wrapper-dart_dart2js-Richards.html,alfred,chrome,Richards,dart_dart2js,original,countdown,NaN,NaN,2108,0,Infinity,0
bench2/lazy-direct-dart_dart2js-Richards.html,william,firefox,Richards,dart_dart2js,lazy,reservoir,100,NaN,2259,24,94.13,944.41
bench2/original-direct-dart_dart2js-Richards.html,alfred,firefox,Richards,dart_dart2js,original,countdown,NaN,NaN,2113,0,Infinity,0
bench2/lazy-wrapper-scala-Richards.html,alfred,chrome,Richards,scala,lazy,reservoir,100,NaN,15327,131,117.00,891.40
bench2/original-wrapper-scala-Richards.html,alfred,chrome,Richards,scala,original,countdown,NaN,NaN,1632,0,Infinity,0
bench2/lazy-direct-scala-Richards.html,alfred,firefox,Richards,scala,lazy,reservoir,100,NaN,32381,316,102.47,10444.00
bench2/original-direct-scala-Richards.html,sam-desktop,firefox,Richards,scala,original,countdown,NaN,NaN,3217,0,Infinity,0
bench2/lazy-wrapper-scala-SHA512-single.html,william,chrome,SHA512-single,scala,lazy,reservoir,100,NaN,9219,81,113.81,1667.09
bench2/original-wrapper-scala-SHA512-single.html,william,chrome,SHA512-single,scala,original,countdown,NaN,NaN,407,0,Infinity,0
bench2/lazy-direct-scala-SHA512-single.html,william,firefox,SHA512-single,scala,lazy,reservoir,100,NaN,8773,100,87.73,8552.73
bench2/original-direct-scala-SHA512-single.html,desktop,firefox,SHA512-single,scala,original,countdown,NaN,NaN,1013,0,Infinity,0
bench2/lazy-wrapper-scala-SHA512.html,william,chrome,SHA512,scala,lazy,reservoir,100,NaN,134346,1357,99.00,475.44
bench2/original-wrapper-scala-SHA512.html,sam-desktop,chrome,SHA512,scala,original,countdown,NaN,NaN,4004,0,Infinity,0
bench2/lazy-direct-scala-SHA512.html,desktop,firefox,SHA512,scala,lazy,reservoir,100,NaN,76898,939,81.89,4599.72
bench2/original-direct-scala-SHA512.html,william,firefox,SHA512,scala,original,countdown,NaN,NaN,5290,0,Infinity,0
bench2/lazy-wrapper-scala-Sudoku-single.html,alfred,chrome,Sudoku-single,scala,lazy,reservoir,100,NaN,3739,18,207.72,22276.17
bench2/original-wrapper-scala-Sudoku-single.html,william,chrome,Sudoku-single,scala,original,countdown,NaN,NaN,174,0,Infinity,0
bench2/lazy-direct-scala-Sudoku-single.html,william,firefox,Sudoku-single,scala,lazy,reservoir,100,NaN,4525,44,102.84,47120.29
bench2/original-direct-scala-Sudoku-single.html,alfred,firefox,Sudoku-single,scala,original,countdown,NaN,NaN,202,0,Infinity,0
bench2/lazy-wrapper-scala-Sudoku.html,desktop,chrome,Sudoku,scala,lazy,reservoir,100,NaN,69631,725,96.04,287.05
bench2/original-wrapper-scala-Sudoku.html,alfred,chrome,Sudoku,scala,original,countdown,NaN,NaN,7823,0,Infinity,0
bench2/lazy-direct-scala-Sudoku.html,sam-desktop,firefox,Sudoku,scala,lazy,reservoir,100,NaN,169058,1642,102.96,5227.34
bench2/original-direct-scala-Sudoku.html,william,firefox,Sudoku,scala,original,countdown,NaN,NaN,14013,0,Infinity,0
bench2/lazy-wrapper-dart_dart2js-Tracer.html,alfred,chrome,Tracer,dart_dart2js,lazy,reservoir,100,NaN,2365,27,87.59,1132.52
bench2/original-wrapper-dart_dart2js-Tracer.html,william,chrome,Tracer,dart_dart2js,original,countdown,NaN,NaN,2119,0,Infinity,0
