Path,Hostname,Platform,Benchmark,Language,Transform,Estimator,YieldInterval,TimePerElapsed,RunningTime,NumYields,AvgLatency,VarLatency
bench/original-wrapper-scala-DeltaBlue-single.html,alfred,chrome,DeltaBlue-single,scala,original,countdown,NaN,NaN,84,0,Infinity,0
bench/original-direct-scala-DeltaBlue-single.html,alfred,firefox,DeltaBlue-single,scala,original,countdown,NaN,NaN,96,0,Infinity,0
bench/original-wrapper-dart_dart2js-DeltaBlue.html,william,chrome,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2117,0,Infinity,0
bench/original-wrapper-scala-DeltaBlue.html,william,chrome,DeltaBlue,scala,original,countdown,NaN,NaN,5242,0,Infinity,0
bench/original-direct-scala-DeltaBlue.html,alfred,firefox,DeltaBlue,scala,original,countdown,NaN,NaN,9285,0,Infinity,0
bench/original-wrapper-dart_dart2js-FluidMotion.html,alfred,chrome,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2195,0,Infinity,0
bench/original-wrapper-scala-Richards-single.html,alfred,chrome,Richards-single,scala,original,countdown,NaN,NaN,21,0,Infinity,0
bench/lazy-direct-scala-Richards-single.html,william,firefox,Richards-single,scala,lazy,reservoir,100,NaN,328,6,54.67,2113.15
bench/original-direct-scala-Richards-single.html,alfred,firefox,Richards-single,scala,original,countdown,NaN,NaN,14,0,Infinity,0
bench/original-wrapper-dart_dart2js-Richards.html,alfred,chrome,Richards,dart_dart2js,original,countdown,NaN,NaN,2108,0,Infinity,0
bench/original-direct-dart_dart2js-Richards.html,alfred,firefox,Richards,dart_dart2js,original,countdown,NaN,NaN,2106,0,Infinity,0
bench/original-wrapper-scala-Richards.html,alfred,chrome,Richards,scala,original,countdown,NaN,NaN,1569,0,Infinity,0
bench/original-direct-scala-Richards.html,alfred,firefox,Richards,scala,original,countdown,NaN,NaN,3536,0,Infinity,0
bench/original-wrapper-scala-SHA512-single.html,william,chrome,SHA512-single,scala,original,countdown,NaN,NaN,338,0,Infinity,0
bench/original-direct-scala-SHA512-single.html,alfred,firefox,SHA512-single,scala,original,countdown,NaN,NaN,998,0,Infinity,0
bench/original-wrapper-scala-SHA512.html,alfred,chrome,SHA512,scala,original,countdown,NaN,NaN,4365,0,Infinity,0
bench/original-direct-scala-SHA512.html,alfred,firefox,SHA512,scala,original,countdown,NaN,NaN,4062,0,Infinity,0
bench/original-wrapper-scala-Sudoku-single.html,alfred,chrome,Sudoku-single,scala,original,countdown,NaN,NaN,134,0,Infinity,0
bench/original-direct-scala-Sudoku-single.html,alfred,firefox,Sudoku-single,scala,original,countdown,NaN,NaN,185,0,Infinity,0
bench/original-wrapper-scala-Sudoku.html,william,chrome,Sudoku,scala,original,countdown,NaN,NaN,7556,0,Infinity,0
bench/original-direct-scala-Sudoku.html,alfred,firefox,Sudoku,scala,original,countdown,NaN,NaN,9326,0,Infinity,0
bench/original-wrapper-dart_dart2js-Tracer.html,alfred,chrome,Tracer,dart_dart2js,original,countdown,NaN,NaN,2119,0,Infinity,0
bench/original-direct-dart_dart2js-Tracer.html,alfred,firefox,Tracer,dart_dart2js,original,countdown,NaN,NaN,2109,0,Infinity,0
bench/original-wrapper-racket_racketscript-ack.html,alfred,chrome,ack,racket_racketscript,original,countdown,NaN,NaN,2137,0,Infinity,0
bench/original-direct-racket_racketscript-ack.html,alfred,firefox,ack,racket_racketscript,original,countdown,NaN,NaN,6945,0,Infinity,0
bench/lazy-wrapper-ocaml-almabench.html,william,chrome,almabench,ocaml,lazy,reservoir,100,NaN,41596,454,91.62,240.67
bench/original-wrapper-ocaml-almabench.html,alfred,chrome,almabench,ocaml,original,countdown,NaN,NaN,3913,0,Infinity,0
bench/lazy-direct-ocaml-almabench.html,alfred,firefox,almabench,ocaml,lazy,reservoir,100,NaN,17743,249,71.26,1643.71
bench/original-direct-ocaml-almabench.html,alfred,firefox,almabench,ocaml,original,countdown,NaN,NaN,3188,0,Infinity,0
bench/original-wrapper-python_pyjs-b.html,alfred,chrome,b,python_pyjs,original,countdown,NaN,NaN,778,0,Infinity,0
bench/original-direct-python_pyjs-b.html,alfred,firefox,b,python_pyjs,original,countdown,NaN,NaN,938,0,Infinity,0
bench/lazy-wrapper-ocaml-bdd.html,william,chrome,bdd,ocaml,lazy,reservoir,100,NaN,18454,187,98.68,990.25
bench/original-wrapper-ocaml-bdd.html,william,chrome,bdd,ocaml,original,countdown,NaN,NaN,2530,0,Infinity,0
bench/lazy-direct-ocaml-bdd.html,alfred,firefox,bdd,ocaml,lazy,reservoir,100,NaN,23194,239,97.05,304.78
bench/original-direct-ocaml-bdd.html,william,firefox,bdd,ocaml,original,countdown,NaN,NaN,5041,0,Infinity,0
bench/original-wrapper-python_pyjs-binary_trees.html,william,chrome,binary_trees,python_pyjs,original,countdown,NaN,NaN,7346,0,Infinity,0
bench/original-direct-python_pyjs-binary_trees.html,alfred,firefox,binary_trees,python_pyjs,original,countdown,NaN,NaN,1800,0,Infinity,0
bench/original-wrapper-clojurescript-binarytrees.html,alfred,chrome,binarytrees,clojurescript,original,countdown,NaN,NaN,1380,0,Infinity,0
bench/original-wrapper-clojurescript-collatz.html,alfred,chrome,collatz,clojurescript,original,countdown,NaN,NaN,3256,0,Infinity,0
bench/original-wrapper-racket_racketscript-dderiv.html,alfred,chrome,dderiv,racket_racketscript,original,countdown,NaN,NaN,63,0,Infinity,0
bench/lazy-direct-racket_racketscript-dderiv.html,william,firefox,dderiv,racket_racketscript,lazy,reservoir,100,NaN,210,3,70.00,2689.67
bench/original-direct-racket_racketscript-dderiv.html,alfred,firefox,dderiv,racket_racketscript,original,countdown,NaN,NaN,23,0,Infinity,0
bench/original-wrapper-racket_racketscript-deriv.html,william,chrome,deriv,racket_racketscript,original,countdown,NaN,NaN,139,0,Infinity,0
bench/original-direct-racket_racketscript-deriv.html,alfred,firefox,deriv,racket_racketscript,original,countdown,NaN,NaN,486,0,Infinity,0
bench/original-wrapper-racket_racketscript-destruc.html,alfred,chrome,destruc,racket_racketscript,original,countdown,NaN,NaN,1195,0,Infinity,0
bench/original-direct-racket_racketscript-destruc.html,alfred,firefox,destruc,racket_racketscript,original,countdown,NaN,NaN,5087,0,Infinity,0
