Path,Hostname,Platform,Benchmark,Language,Transform,Estimator,YieldInterval,TimePerElapsed,RunningTime,NumYields,AvgLatency,VarLatency
perf/lazy-wrapper-dart_dart2js-DeltaBlue.js,alfred,chrome,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,2263,27,83.81,2379.50
perf/original-wrapper-dart_dart2js-DeltaBlue.js,alfred,chrome,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2113,0,Infinity,0
perf/lazy-direct-dart_dart2js-DeltaBlue.js,alfred,firefox,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,2240,44,50.91,4863.12
perf/original-direct-dart_dart2js-DeltaBlue.js,kate,firefox,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2142,0,Infinity,0
perf/lazy-wrapper-scala-DeltaBlue.js,alfred,chrome,DeltaBlue,scala,lazy,reservoir,100,NaN,117914,1258,93.73,870.91
perf/original-wrapper-scala-DeltaBlue.js,alfred,chrome,DeltaBlue,scala,original,countdown,NaN,NaN,9254,0,Infinity,0
perf/lazy-direct-scala-DeltaBlue.js,kate,firefox,DeltaBlue,scala,lazy,reservoir,100,NaN,271174,3582,75.70,6441.38
perf/original-direct-scala-DeltaBlue.js,alfred,firefox,DeltaBlue,scala,original,countdown,NaN,NaN,16944,0,Infinity,0
perf/lazy-wrapper-dart_dart2js-FluidMotion.js,alfred,chrome,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,5865,71,82.61,4646.23
perf/original-wrapper-dart_dart2js-FluidMotion.js,kate,chrome,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2253,0,Infinity,0
perf/lazy-direct-dart_dart2js-FluidMotion.js,alfred,firefox,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,7770,119,65.29,1471.58
perf/original-direct-dart_dart2js-FluidMotion.js,alfred,firefox,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2297,0,Infinity,0
perf/original-wrapper-scala-NBody.js,kate,chrome,NBody,scala,original,countdown,NaN,NaN,36449,0,Infinity,0
perf/original-direct-scala-NBody.js,alfred,firefox,NBody,scala,original,countdown,NaN,NaN,32209,0,Infinity,0
perf/lazy-wrapper-dart_dart2js-Richards.js,alfred,chrome,Richards,dart_dart2js,lazy,reservoir,100,NaN,2271,30,75.70,2639.06
perf/original-wrapper-dart_dart2js-Richards.js,alfred,chrome,Richards,dart_dart2js,original,countdown,NaN,NaN,2113,0,Infinity,0
perf/lazy-direct-dart_dart2js-Richards.js,alfred,firefox,Richards,dart_dart2js,lazy,reservoir,100,NaN,2294,35,65.54,1768.97
perf/original-direct-dart_dart2js-Richards.js,alfred,firefox,Richards,dart_dart2js,original,countdown,NaN,NaN,2118,0,Infinity,0
perf/lazy-wrapper-scala-Richards.js,kate,chrome,Richards,scala,lazy,reservoir,100,NaN,23650,233,101.50,874.22
perf/original-wrapper-scala-Richards.js,kate,chrome,Richards,scala,original,countdown,NaN,NaN,1942,0,Infinity,0
perf/lazy-direct-scala-Richards.js,alfred,firefox,Richards,scala,lazy,reservoir,100,NaN,78749,842,93.53,6064.46
perf/original-direct-scala-Richards.js,alfred,firefox,Richards,scala,original,countdown,NaN,NaN,5968,0,Infinity,0
perf/lazy-wrapper-scala-SHA512.js,kate,chrome,SHA512,scala,lazy,reservoir,100,NaN,116242,1191,97.60,931.76
perf/original-wrapper-scala-SHA512.js,alfred,chrome,SHA512,scala,original,countdown,NaN,NaN,6118,0,Infinity,0
perf/lazy-direct-scala-SHA512.js,alfred,firefox,SHA512,scala,lazy,reservoir,100,NaN,203135,2084,97.47,11685.42
perf/original-direct-scala-SHA512.js,kate,firefox,SHA512,scala,original,countdown,NaN,NaN,5306,0,Infinity,0
perf/lazy-wrapper-scala-Sudoku.js,alfred,chrome,Sudoku,scala,lazy,reservoir,100,NaN,172458,1972,87.45,652.58
perf/original-wrapper-scala-Sudoku.js,alfred,chrome,Sudoku,scala,original,countdown,NaN,NaN,11409,0,Infinity,0
perf/original-direct-scala-Sudoku.js,alfred,firefox,Sudoku,scala,original,countdown,NaN,NaN,19779,0,Infinity,0
perf/lazy-wrapper-dart_dart2js-Tracer.js,alfred,chrome,Tracer,dart_dart2js,lazy,reservoir,100,NaN,2212,24,92.17,2105.86
perf/original-wrapper-dart_dart2js-Tracer.js,alfred,chrome,Tracer,dart_dart2js,original,countdown,NaN,NaN,2114,0,Infinity,0
perf/lazy-direct-dart_dart2js-Tracer.js,alfred,firefox,Tracer,dart_dart2js,lazy,reservoir,100,NaN,2491,30,83.03,2562.15
perf/original-direct-dart_dart2js-Tracer.js,kate,firefox,Tracer,dart_dart2js,original,countdown,NaN,NaN,2125,0,Infinity,0
perf/lazy-wrapper-racket_racketscript-ack.js,kate,chrome,ack,racket_racketscript,lazy,reservoir,100,NaN,97028,626,155.00,5489.63
perf/original-wrapper-racket_racketscript-ack.js,alfred,chrome,ack,racket_racketscript,original,countdown,NaN,NaN,3050,0,Infinity,0
perf/original-direct-racket_racketscript-ack.js,alfred,firefox,ack,racket_racketscript,original,countdown,NaN,NaN,13227,0,Infinity,0
perf/lazy-wrapper-ocaml-almabench.js,kate,chrome,almabench,ocaml,lazy,reservoir,100,NaN,48761,494,98.71,866.71
perf/original-wrapper-ocaml-almabench.js,kate,chrome,almabench,ocaml,original,countdown,NaN,NaN,4830,0,Infinity,0
perf/lazy-direct-ocaml-almabench.js,alfred,firefox,almabench,ocaml,lazy,reservoir,100,NaN,47825,651,73.46,1331.68
perf/original-direct-ocaml-almabench.js,alfred,firefox,almabench,ocaml,original,countdown,NaN,NaN,7079,0,Infinity,0
perf/lazy-wrapper-python_pyjs-anagram.js,alfred,chrome,anagram,python_pyjs,lazy,reservoir,100,NaN,12162,121,100.51,10022.42
perf/original-wrapper-python_pyjs-anagram.js,alfred,chrome,anagram,python_pyjs,original,countdown,NaN,NaN,5388,0,Infinity,0
perf/lazy-direct-python_pyjs-anagram.js,alfred,firefox,anagram,python_pyjs,lazy,reservoir,100,NaN,27361,278,98.42,1782.86
perf/original-direct-python_pyjs-anagram.js,alfred,firefox,anagram,python_pyjs,original,countdown,NaN,NaN,12404,0,Infinity,0
perf/lazy-wrapper-python_pyjs-b.js,alfred,chrome,b,python_pyjs,lazy,reservoir,100,NaN,5517,59,93.51,7126.47
perf/original-wrapper-python_pyjs-b.js,kate,chrome,b,python_pyjs,original,countdown,NaN,NaN,1026,0,Infinity,0
perf/lazy-direct-python_pyjs-b.js,alfred,firefox,b,python_pyjs,lazy,reservoir,100,NaN,7045,93,75.75,2446.30
perf/original-direct-python_pyjs-b.js,kate,firefox,b,python_pyjs,original,countdown,NaN,NaN,1559,0,Infinity,0
perf/lazy-wrapper-ocaml-bdd.js,alfred,chrome,bdd,ocaml,lazy,reservoir,100,NaN,46575,524,88.88,2118.70
perf/original-wrapper-ocaml-bdd.js,alfred,chrome,bdd,ocaml,original,countdown,NaN,NaN,5007,0,Infinity,0
perf/lazy-direct-ocaml-bdd.js,alfred,firefox,bdd,ocaml,lazy,reservoir,100,NaN,82578,804,102.71,2976.19
perf/original-direct-ocaml-bdd.js,kate,firefox,bdd,ocaml,original,countdown,NaN,NaN,8213,0,Infinity,0
perf/lazy-wrapper-python_pyjs-binary_trees.js,alfred,chrome,binary_trees,python_pyjs,lazy,reservoir,100,NaN,6937,86,80.66,3147.45
perf/original-wrapper-python_pyjs-binary_trees.js,alfred,chrome,binary_trees,python_pyjs,original,countdown,NaN,NaN,12280,0,Infinity,0
perf/lazy-direct-python_pyjs-binary_trees.js,kate,firefox,binary_trees,python_pyjs,lazy,reservoir,100,NaN,11628,101,115.13,3659.43
perf/original-direct-python_pyjs-binary_trees.js,kate,firefox,binary_trees,python_pyjs,original,countdown,NaN,NaN,2959,0,Infinity,0
perf/lazy-wrapper-clojurescript-binarytrees.js,kate,chrome,binarytrees,clojurescript,lazy,reservoir,100,NaN,16014,148,108.20,6898.20
perf/original-wrapper-clojurescript-binarytrees.js,kate,chrome,binarytrees,clojurescript,original,countdown,NaN,NaN,1826,0,Infinity,0
perf/lazy-direct-clojurescript-binarytrees.js,kate,firefox,binarytrees,clojurescript,lazy,reservoir,100,NaN,31302,325,96.31,5815.55
perf/original-direct-clojurescript-binarytrees.js,kate,firefox,binarytrees,clojurescript,original,countdown,NaN,NaN,2594,0,Infinity,0
perf/lazy-wrapper-clojurescript-collatz.js,kate,chrome,collatz,clojurescript,lazy,reservoir,100,NaN,15509,149,104.09,8936.67
perf/original-wrapper-clojurescript-collatz.js,alfred,chrome,collatz,clojurescript,original,countdown,NaN,NaN,5128,0,Infinity,0
perf/lazy-direct-clojurescript-collatz.js,kate,firefox,collatz,clojurescript,lazy,reservoir,100,NaN,29990,309,97.06,5957.49
perf/original-direct-clojurescript-collatz.js,alfred,firefox,collatz,clojurescript,original,countdown,NaN,NaN,7463,0,Infinity,0
