Path,Hostname,Platform,Benchmark,Language,Transform,Estimator,YieldInterval,TimePerElapsed,RunningTime,NumYields,AvgLatency,VarLatency
perf/lazy-wrapper-scala-DeltaBlue-single.html,alfred,chrome,DeltaBlue-single,scala,lazy,reservoir,100,NaN,2148,15,143.20,8333.65
perf/original-wrapper-scala-DeltaBlue-single.html,alfred,chrome,DeltaBlue-single,scala,original,countdown,NaN,NaN,104,0,Infinity,0
perf/lazy-direct-scala-DeltaBlue-single.html,kate,firefox,DeltaBlue-single,scala,lazy,reservoir,100,NaN,1306,12,108.83,26602.91
perf/original-direct-scala-DeltaBlue-single.html,alfred,firefox,DeltaBlue-single,scala,original,countdown,NaN,NaN,243,0,Infinity,0
perf/lazy-wrapper-dart_dart2js-DeltaBlue.html,kate,chrome,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,2313,23,100.57,2418.51
perf/original-wrapper-dart_dart2js-DeltaBlue.html,kate,chrome,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2117,0,Infinity,0
perf/lazy-direct-dart_dart2js-DeltaBlue.html,kate,firefox,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,2314,27,85.70,2322.77
perf/original-direct-dart_dart2js-DeltaBlue.html,alfred,firefox,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2118,0,Infinity,0
perf/lazy-wrapper-scala-DeltaBlue.html,kate,chrome,DeltaBlue,scala,lazy,reservoir,100,NaN,66131,701,94.34,1532.71
perf/original-wrapper-scala-DeltaBlue.html,alfred,chrome,DeltaBlue,scala,original,countdown,NaN,NaN,7735,0,Infinity,0
perf/lazy-direct-scala-DeltaBlue.html,alfred,firefox,DeltaBlue,scala,lazy,reservoir,100,NaN,243464,2433,100.07,9053.84
perf/original-direct-scala-DeltaBlue.html,kate,firefox,DeltaBlue,scala,original,countdown,NaN,NaN,11922,0,Infinity,0
perf/lazy-wrapper-dart_dart2js-FluidMotion.html,kate,chrome,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,4901,153,32.03,1872.50
perf/original-wrapper-dart_dart2js-FluidMotion.html,alfred,chrome,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2283,0,Infinity,0
perf/lazy-direct-dart_dart2js-FluidMotion.html,kate,firefox,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,5365,80,67.06,1781.65
perf/original-direct-dart_dart2js-FluidMotion.html,kate,firefox,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2192,0,Infinity,0
perf/lazy-wrapper-scala-Richards-single.html,alfred,chrome,Richards-single,scala,lazy,reservoir,100,NaN,1613,3,537.67,189866.74
perf/original-wrapper-scala-Richards-single.html,alfred,chrome,Richards-single,scala,original,countdown,NaN,NaN,36,0,Infinity,0
perf/lazy-direct-scala-Richards-single.html,kate,firefox,Richards-single,scala,lazy,reservoir,100,NaN,448,5,89.60,5214.29
perf/original-direct-scala-Richards-single.html,kate,firefox,Richards-single,scala,original,countdown,NaN,NaN,24,0,Infinity,0
perf/lazy-wrapper-dart_dart2js-Richards.html,kate,chrome,Richards,dart_dart2js,lazy,reservoir,100,NaN,2249,25,89.96,2027.12
perf/original-wrapper-dart_dart2js-Richards.html,kate,chrome,Richards,dart_dart2js,original,countdown,NaN,NaN,2113,0,Infinity,0
perf/lazy-direct-dart_dart2js-Richards.html,alfred,firefox,Richards,dart_dart2js,lazy,reservoir,100,NaN,2252,27,83.41,1224.18
perf/original-direct-dart_dart2js-Richards.html,alfred,firefox,Richards,dart_dart2js,original,countdown,NaN,NaN,2109,0,Infinity,0
perf/lazy-wrapper-scala-Richards.html,alfred,chrome,Richards,scala,lazy,reservoir,100,NaN,26765,251,106.63,703.41
perf/original-wrapper-scala-Richards.html,kate,chrome,Richards,scala,original,countdown,NaN,NaN,1760,0,Infinity,0
