Path,Hostname,Platform,Benchmark,Language,Transform,Estimator,YieldInterval,TimePerElapsed,RunningTime,NumYields,AvgLatency,VarLatency
bench/lazy-wrapper-dart_dart2js-DeltaBlue.html,alfred,chrome,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,2171,30,72.37,1446.17
bench/original-wrapper-dart_dart2js-DeltaBlue.html,alfred,chrome,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2110,0,Infinity,0
bench/lazy-direct-dart_dart2js-DeltaBlue.html,alfred,firefox,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,2147,26,82.58,956.78
bench/original-direct-dart_dart2js-DeltaBlue.html,alfred,firefox,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2113,0,Infinity,0
bench/lazy-wrapper-scala-DeltaBlue.html,alfred,chrome,DeltaBlue,scala,lazy,reservoir,100,NaN,64213,664,96.71,649.83
bench/original-wrapper-scala-DeltaBlue.html,william,chrome,DeltaBlue,scala,original,countdown,NaN,NaN,5496,0,Infinity,0
bench/lazy-direct-scala-DeltaBlue.html,william,firefox,DeltaBlue,scala,lazy,reservoir,100,NaN,190968,2002,95.39,5976.99
bench/original-direct-scala-DeltaBlue.html,william,firefox,DeltaBlue,scala,original,countdown,NaN,NaN,11148,0,Infinity,0
bench/lazy-wrapper-dart_dart2js-FluidMotion.html,alfred,chrome,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,3952,49,80.65,2223.82
bench/original-wrapper-dart_dart2js-FluidMotion.html,alfred,chrome,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2241,0,Infinity,0
bench/lazy-direct-dart_dart2js-FluidMotion.html,desktop,firefox,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,4227,52,81.29,1179.80
bench/original-direct-dart_dart2js-FluidMotion.html,alfred,firefox,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2208,0,Infinity,0
bench/lazy-wrapper-dart_dart2js-Richards.html,alfred,chrome,Richards,dart_dart2js,lazy,reservoir,100,NaN,2177,23,94.65,1404.67
bench/original-wrapper-dart_dart2js-Richards.html,william,chrome,Richards,dart_dart2js,original,countdown,NaN,NaN,2108,0,Infinity,0
bench/lazy-direct-dart_dart2js-Richards.html,william,firefox,Richards,dart_dart2js,lazy,reservoir,100,NaN,2174,25,86.96,1127.09
bench/original-direct-dart_dart2js-Richards.html,alfred,firefox,Richards,dart_dart2js,original,countdown,NaN,NaN,2107,0,Infinity,0
bench/lazy-wrapper-scala-Richards.html,kate,chrome,Richards,scala,lazy,reservoir,100,NaN,18107,187,96.83,680.35
bench/original-wrapper-scala-Richards.html,william,chrome,Richards,scala,original,countdown,NaN,NaN,1736,0,Infinity,0
