Path,Hostname,Platform,Benchmark,Language,Transform,Estimator,YieldInterval,TimePerElapsed,RunningTime,NumYields,AvgLatency,VarLatency
bench/lazy-wrapper-scala-DeltaBlue-single.html,william,chrome,DeltaBlue-single,scala,lazy,reservoir,100,NaN,1745,12,145.42,10487.33
bench/original-wrapper-scala-DeltaBlue-single.html,alfred,chrome,DeltaBlue-single,scala,original,countdown,NaN,NaN,264,0,Infinity,0
bench/lazy-direct-scala-DeltaBlue-single.html,william,firefox,DeltaBlue-single,scala,lazy,reservoir,100,NaN,894,9,99.33,5380.28
bench/original-direct-scala-DeltaBlue-single.html,alfred,firefox,DeltaBlue-single,scala,original,countdown,NaN,NaN,407,0,Infinity,0
bench/lazy-wrapper-dart_dart2js-DeltaBlue.html,william,chrome,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,2262,29,78.00,873.31
bench/original-wrapper-dart_dart2js-DeltaBlue.html,alfred,chrome,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2136,0,Infinity,0
bench/lazy-direct-dart_dart2js-DeltaBlue.html,william,firefox,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,2244,29,77.38,1462.27
bench/original-direct-dart_dart2js-DeltaBlue.html,alfred,firefox,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2110,0,Infinity,0
bench/lazy-wrapper-scala-DeltaBlue.html,alfred,chrome,DeltaBlue,scala,lazy,reservoir,100,NaN,48310,485,99.61,678.35
bench/original-wrapper-scala-DeltaBlue.html,alfred,chrome,DeltaBlue,scala,original,countdown,NaN,NaN,11718,0,Infinity,0
bench/lazy-direct-scala-DeltaBlue.html,william,firefox,DeltaBlue,scala,lazy,reservoir,100,NaN,185251,1869,99.12,8576.05
bench/original-direct-scala-DeltaBlue.html,william,firefox,DeltaBlue,scala,original,countdown,NaN,NaN,11018,0,Infinity,0
bench/lazy-wrapper-dart_dart2js-FluidMotion.html,william,chrome,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,4390,55,79.82,3703.36
bench/original-wrapper-dart_dart2js-FluidMotion.html,william,chrome,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2225,0,Infinity,0
bench/lazy-direct-dart_dart2js-FluidMotion.html,william,firefox,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,4479,74,60.53,1727.28
bench/original-direct-dart_dart2js-FluidMotion.html,alfred,firefox,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2239,0,Infinity,0
bench/lazy-wrapper-scala-Richards-single.html,william,chrome,Richards-single,scala,lazy,reservoir,100,NaN,1496,3,498.67,162800.63
bench/original-wrapper-scala-Richards-single.html,alfred,chrome,Richards-single,scala,original,countdown,NaN,NaN,55,0,Infinity,0
bench/lazy-direct-scala-Richards-single.html,william,firefox,Richards-single,scala,lazy,reservoir,100,NaN,453,2,226.50,22366.13
bench/original-direct-scala-Richards-single.html,alfred,firefox,Richards-single,scala,original,countdown,NaN,NaN,68,0,Infinity,0
bench/lazy-wrapper-dart_dart2js-Richards.html,william,chrome,Richards,dart_dart2js,lazy,reservoir,100,NaN,2242,23,97.48,740.28
bench/original-wrapper-dart_dart2js-Richards.html,william,chrome,Richards,dart_dart2js,original,countdown,NaN,NaN,2108,0,Infinity,0
bench/lazy-direct-dart_dart2js-Richards.html,william,firefox,Richards,dart_dart2js,lazy,reservoir,100,NaN,2274,22,103.36,956.70
bench/original-direct-dart_dart2js-Richards.html,william,firefox,Richards,dart_dart2js,original,countdown,NaN,NaN,2108,0,Infinity,0
bench/lazy-wrapper-scala-Richards.html,william,chrome,Richards,scala,lazy,reservoir,100,NaN,21303,205,103.92,810.08
bench/original-wrapper-scala-Richards.html,alfred,chrome,Richards,scala,original,countdown,NaN,NaN,4014,0,Infinity,0
bench/lazy-direct-scala-Richards.html,william,firefox,Richards,scala,lazy,reservoir,100,NaN,38681,460,84.09,10516.30
bench/original-direct-scala-Richards.html,william,firefox,Richards,scala,original,countdown,NaN,NaN,3531,0,Infinity,0
bench/lazy-wrapper-scala-SHA512-single.html,alfred,chrome,SHA512-single,scala,lazy,reservoir,100,NaN,9273,80,115.91,853.47
bench/original-wrapper-scala-SHA512-single.html,alfred,chrome,SHA512-single,scala,original,countdown,NaN,NaN,669,0,Infinity,0
bench/lazy-direct-scala-SHA512-single.html,alfred,firefox,SHA512-single,scala,lazy,reservoir,100,NaN,12252,122,100.43,2641.18
bench/original-direct-scala-SHA512-single.html,william,firefox,SHA512-single,scala,original,countdown,NaN,NaN,1085,0,Infinity,0
bench/lazy-wrapper-scala-SHA512.html,william,chrome,SHA512,scala,lazy,reservoir,100,NaN,172378,1789,96.35,176.83
bench/original-wrapper-scala-SHA512.html,alfred,chrome,SHA512,scala,original,countdown,NaN,NaN,9025,0,Infinity,0
bench/lazy-direct-scala-SHA512.html,william,firefox,SHA512,scala,lazy,reservoir,100,NaN,266088,2936,90.63,9887.50
bench/original-direct-scala-SHA512.html,william,firefox,SHA512,scala,original,countdown,NaN,NaN,4165,0,Infinity,0
bench/lazy-wrapper-scala-Sudoku-single.html,william,chrome,Sudoku-single,scala,lazy,reservoir,100,NaN,5020,19,264.21,33352.30
bench/original-wrapper-scala-Sudoku-single.html,alfred,chrome,Sudoku-single,scala,original,countdown,NaN,NaN,443,0,Infinity,0
bench/lazy-direct-scala-Sudoku-single.html,william,firefox,Sudoku-single,scala,lazy,reservoir,100,NaN,4029,28,143.89,75489.75
bench/original-direct-scala-Sudoku-single.html,william,firefox,Sudoku-single,scala,original,countdown,NaN,NaN,260,0,Infinity,0
bench/lazy-wrapper-scala-Sudoku.html,alfred,chrome,Sudoku,scala,lazy,reservoir,100,NaN,147696,905,163.20,5611.73
bench/original-wrapper-scala-Sudoku.html,william,chrome,Sudoku,scala,original,countdown,NaN,NaN,9007,0,Infinity,0
bench/lazy-direct-scala-Sudoku.html,william,firefox,Sudoku,scala,lazy,reservoir,100,NaN,270681,3114,86.92,12715.94
bench/original-direct-scala-Sudoku.html,william,firefox,Sudoku,scala,original,countdown,NaN,NaN,9428,0,Infinity,0
bench/lazy-wrapper-dart_dart2js-Tracer.html,alfred,chrome,Tracer,dart_dart2js,lazy,reservoir,100,NaN,2268,27,84.00,658.11
bench/original-wrapper-dart_dart2js-Tracer.html,william,chrome,Tracer,dart_dart2js,original,countdown,NaN,NaN,2118,0,Infinity,0
bench/lazy-direct-dart_dart2js-Tracer.html,william,firefox,Tracer,dart_dart2js,lazy,reservoir,100,NaN,2215,24,92.29,1001.90
bench/original-direct-dart_dart2js-Tracer.html,william,firefox,Tracer,dart_dart2js,original,countdown,NaN,NaN,2114,0,Infinity,0
bench/lazy-wrapper-racket_racketscript-ack.html,alfred,chrome,ack,racket_racketscript,lazy,reservoir,100,NaN,34672,238,145.68,2133.91
bench/original-wrapper-racket_racketscript-ack.html,william,chrome,ack,racket_racketscript,original,countdown,NaN,NaN,2006,0,Infinity,0
bench/original-direct-racket_racketscript-ack.html,alfred,firefox,ack,racket_racketscript,original,countdown,NaN,NaN,15048,0,Infinity,0
bench/lazy-wrapper-ocaml-almabench.html,william,chrome,almabench,ocaml,lazy,reservoir,100,NaN,57919,586,98.84,305.45
bench/original-wrapper-ocaml-almabench.html,william,chrome,almabench,ocaml,original,countdown,NaN,NaN,3970,0,Infinity,0
bench/lazy-direct-ocaml-almabench.html,william,firefox,almabench,ocaml,lazy,reservoir,100,NaN,27753,433,64.09,2380.82
bench/original-direct-ocaml-almabench.html,alfred,firefox,almabench,ocaml,original,countdown,NaN,NaN,7091,0,Infinity,0
bench/lazy-wrapper-python_pyjs-b.html,alfred,chrome,b,python_pyjs,lazy,reservoir,100,NaN,2676,35,76.46,3192.31
bench/original-wrapper-python_pyjs-b.html,william,chrome,b,python_pyjs,original,countdown,NaN,NaN,925,0,Infinity,0
bench/lazy-direct-python_pyjs-b.html,alfred,firefox,b,python_pyjs,lazy,reservoir,100,NaN,3431,40,85.78,2116.09
bench/original-direct-python_pyjs-b.html,william,firefox,b,python_pyjs,original,countdown,NaN,NaN,1344,0,Infinity,0
bench/lazy-wrapper-ocaml-bdd.html,william,chrome,bdd,ocaml,lazy,reservoir,100,NaN,30417,351,86.66,1615.94
bench/original-wrapper-ocaml-bdd.html,william,chrome,bdd,ocaml,original,countdown,NaN,NaN,2758,0,Infinity,0
bench/lazy-direct-ocaml-bdd.html,alfred,firefox,bdd,ocaml,lazy,reservoir,100,NaN,31334,333,94.10,549.77
bench/original-direct-ocaml-bdd.html,william,firefox,bdd,ocaml,original,countdown,NaN,NaN,6191,0,Infinity,0
bench/lazy-wrapper-python_pyjs-binary_trees.html,alfred,chrome,binary_trees,python_pyjs,lazy,reservoir,100,NaN,3446,31,111.16,1917.80
bench/original-wrapper-python_pyjs-binary_trees.html,william,chrome,binary_trees,python_pyjs,original,countdown,NaN,NaN,7744,0,Infinity,0
bench/lazy-direct-python_pyjs-binary_trees.html,alfred,firefox,binary_trees,python_pyjs,lazy,reservoir,100,NaN,8523,96,88.78,907.73
bench/original-direct-python_pyjs-binary_trees.html,william,firefox,binary_trees,python_pyjs,original,countdown,NaN,NaN,2227,0,Infinity,0
bench/lazy-wrapper-clojurescript-binarytrees.html,william,chrome,binarytrees,clojurescript,lazy,reservoir,100,NaN,17519,165,106.18,505.90
bench/original-wrapper-clojurescript-binarytrees.html,alfred,chrome,binarytrees,clojurescript,original,countdown,NaN,NaN,2972,0,Infinity,0
bench/lazy-direct-clojurescript-binarytrees.html,alfred,firefox,binarytrees,clojurescript,lazy,reservoir,100,NaN,14483,134,108.08,10073.99
bench/original-direct-clojurescript-binarytrees.html,william,firefox,binarytrees,clojurescript,original,countdown,NaN,NaN,2231,0,Infinity,0
bench/lazy-wrapper-clojurescript-collatz.html,alfred,chrome,collatz,clojurescript,lazy,reservoir,100,NaN,13463,126,106.85,26621.33
bench/original-wrapper-clojurescript-collatz.html,william,chrome,collatz,clojurescript,original,countdown,NaN,NaN,3235,0,Infinity,0
bench/lazy-direct-clojurescript-collatz.html,alfred,firefox,collatz,clojurescript,lazy,reservoir,100,NaN,17720,195,90.87,5220.20
bench/original-direct-clojurescript-collatz.html,william,firefox,collatz,clojurescript,original,countdown,NaN,NaN,4306,0,Infinity,0
bench/lazy-wrapper-racket_racketscript-dderiv.html,alfred,chrome,dderiv,racket_racketscript,lazy,reservoir,100,NaN,644,7,92.00,4153.57
bench/original-wrapper-racket_racketscript-dderiv.html,alfred,chrome,dderiv,racket_racketscript,original,countdown,NaN,NaN,69,0,Infinity,0
bench/lazy-direct-racket_racketscript-dderiv.html,william,firefox,dderiv,racket_racketscript,lazy,reservoir,100,NaN,321,5,64.20,1806.55
bench/original-direct-racket_racketscript-dderiv.html,william,firefox,dderiv,racket_racketscript,original,countdown,NaN,NaN,41,0,Infinity,0
bench/original-wrapper-racket_racketscript-deriv.html,william,chrome,deriv,racket_racketscript,original,countdown,NaN,NaN,152,0,Infinity,0
bench/original-direct-racket_racketscript-deriv.html,william,firefox,deriv,racket_racketscript,original,countdown,NaN,NaN,553,0,Infinity,0
bench/lazy-wrapper-racket_racketscript-destruc.html,william,chrome,destruc,racket_racketscript,lazy,reservoir,100,NaN,15402,176,87.51,759.11
bench/original-wrapper-racket_racketscript-destruc.html,william,chrome,destruc,racket_racketscript,original,countdown,NaN,NaN,1082,0,Infinity,0
