Path,Hostname,Platform,Benchmark,Language,Transform,Estimator,YieldInterval,TimePerElapsed,RunningTime,NumYields,AvgLatency,VarLatency
perf/lazy-wrapper-dart_dart2js-DeltaBlue.js,alfred,chrome,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,2193,36,60.92,1157.73
perf/original-wrapper-dart_dart2js-DeltaBlue.js,kate,chrome,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2121,0,Infinity,0
perf/lazy-direct-dart_dart2js-DeltaBlue.js,alfred,firefox,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,2187,23,95.09,2707.57
perf/original-direct-dart_dart2js-DeltaBlue.js,alfred,firefox,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2118,0,Infinity,0
perf/lazy-wrapper-scala-DeltaBlue.js,alfred,chrome,DeltaBlue,scala,lazy,reservoir,100,NaN,100666,1157,87.01,614.77
perf/original-wrapper-scala-DeltaBlue.js,kate,chrome,DeltaBlue,scala,original,countdown,NaN,NaN,7195,0,Infinity,0
perf/lazy-direct-scala-DeltaBlue.js,kate,firefox,DeltaBlue,scala,lazy,reservoir,100,NaN,250248,2733,91.57,8101.64
perf/original-direct-scala-DeltaBlue.js,kate,firefox,DeltaBlue,scala,original,countdown,NaN,NaN,13172,0,Infinity,0
perf/lazy-wrapper-dart_dart2js-FluidMotion.js,alfred,chrome,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,5637,72,78.29,5007.25
perf/original-wrapper-dart_dart2js-FluidMotion.js,kate,chrome,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2382,0,Infinity,0
perf/lazy-direct-dart_dart2js-FluidMotion.js,alfred,firefox,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,6338,82,77.29,687.34
perf/original-direct-dart_dart2js-FluidMotion.js,alfred,firefox,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2279,0,Infinity,0
perf/original-wrapper-scala-NBody.js,alfred,chrome,NBody,scala,original,countdown,NaN,NaN,32875,0,Infinity,0
perf/original-direct-scala-NBody.js,alfred,firefox,NBody,scala,original,countdown,NaN,NaN,21104,0,Infinity,0
