Path,Hostname,Platform,Benchmark,Language,Transform,Estimator,YieldInterval,TimePerElapsed,RunningTime,NumYields,AvgLatency,VarLatency
bench/lazy-wrapper-scala-DeltaBlue-single.html,alfred,chrome,DeltaBlue-single,scala,lazy,reservoir,100,NaN,1337,5,267.40,29934.01
bench/original-wrapper-scala-DeltaBlue-single.html,william,chrome,DeltaBlue-single,scala,original,countdown,NaN,NaN,90,0,Infinity,0
bench/lazy-direct-scala-DeltaBlue-single.html,william,firefox,DeltaBlue-single,scala,lazy,reservoir,100,NaN,867,5,173.40,10495.61
bench/original-direct-scala-DeltaBlue-single.html,alfred,firefox,DeltaBlue-single,scala,original,countdown,NaN,NaN,160,0,Infinity,0
bench/lazy-wrapper-dart_dart2js-DeltaBlue.html,alfred,chrome,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,2253,29,77.69,847.62
bench/original-wrapper-dart_dart2js-DeltaBlue.html,sam-desktop,chrome,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2110,0,Infinity,0
bench/lazy-direct-dart_dart2js-DeltaBlue.html,desktop,firefox,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,2189,33,66.33,1041.16
bench/original-direct-dart_dart2js-DeltaBlue.html,alfred,firefox,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2111,0,Infinity,0
bench/lazy-wrapper-scala-DeltaBlue.html,william,chrome,DeltaBlue,scala,lazy,reservoir,100,NaN,62382,714,87.37,719.22
bench/original-wrapper-scala-DeltaBlue.html,alfred,chrome,DeltaBlue,scala,original,countdown,NaN,NaN,5813,0,Infinity,0
bench/lazy-direct-scala-DeltaBlue.html,william,firefox,DeltaBlue,scala,lazy,reservoir,100,NaN,170882,1804,94.72,7510.38
bench/original-direct-scala-DeltaBlue.html,william,firefox,DeltaBlue,scala,original,countdown,NaN,NaN,10899,0,Infinity,0
bench/lazy-wrapper-dart_dart2js-FluidMotion.html,alfred,chrome,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,3742,42,89.10,4213.34
bench/original-wrapper-dart_dart2js-FluidMotion.html,alfred,chrome,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2264,0,Infinity,0
bench/lazy-direct-dart_dart2js-FluidMotion.html,sam-desktop,firefox,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,3434,39,88.05,1314.78
bench/original-direct-dart_dart2js-FluidMotion.html,alfred,firefox,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2212,0,Infinity,0
bench/lazy-wrapper-scala-Richards-single.html,alfred,chrome,Richards-single,scala,lazy,reservoir,100,NaN,1216,2,608.00,183012.50
bench/original-wrapper-scala-Richards-single.html,sam-desktop,chrome,Richards-single,scala,original,countdown,NaN,NaN,21,0,Infinity,0
bench/lazy-direct-scala-Richards-single.html,william,firefox,Richards-single,scala,lazy,reservoir,100,NaN,420,3,140.00,11981.33
bench/original-direct-scala-Richards-single.html,sam-desktop,firefox,Richards-single,scala,original,countdown,NaN,NaN,14,0,Infinity,0
bench/lazy-wrapper-dart_dart2js-Richards.html,alfred,chrome,Richards,dart_dart2js,lazy,reservoir,100,NaN,2238,27,82.89,524.89
bench/original-wrapper-dart_dart2js-Richards.html,sam-desktop,chrome,Richards,dart_dart2js,original,countdown,NaN,NaN,2107,0,Infinity,0
bench/lazy-direct-dart_dart2js-Richards.html,alfred,firefox,Richards,dart_dart2js,lazy,reservoir,100,NaN,2186,23,95.04,1002.16
bench/original-direct-dart_dart2js-Richards.html,william,firefox,Richards,dart_dart2js,original,countdown,NaN,NaN,2107,0,Infinity,0
bench/lazy-wrapper-scala-Richards.html,alfred,chrome,Richards,scala,lazy,reservoir,100,NaN,15633,133,117.54,772.54
