Path,Hostname,Platform,Benchmark,Language,Transform,Estimator,YieldInterval,TimePerElapsed,RunningTime,NumYields,AvgLatency,VarLatency
perf/lazy-wrapper-dart_dart2js-DeltaBlue.html,alfred,chrome,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,2386,41,58.20,949.38
perf/original-wrapper-dart_dart2js-DeltaBlue.html,alfred,chrome,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2116,0,Infinity,0
perf/lazy-direct-dart_dart2js-DeltaBlue.html,alfred,firefox,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,2239,24,93.29,5238.49
perf/original-direct-dart_dart2js-DeltaBlue.html,kate,firefox,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2114,0,Infinity,0
perf/lazy-wrapper-scala-DeltaBlue.html,alfred,chrome,DeltaBlue,scala,lazy,reservoir,100,NaN,89466,958,93.39,773.66
perf/original-wrapper-scala-DeltaBlue.html,kate,chrome,DeltaBlue,scala,original,countdown,NaN,NaN,6119,0,Infinity,0
perf/lazy-direct-scala-DeltaBlue.html,alfred,firefox,DeltaBlue,scala,lazy,reservoir,100,NaN,235028,2430,96.72,8519.79
perf/original-direct-scala-DeltaBlue.html,kate,firefox,DeltaBlue,scala,original,countdown,NaN,NaN,11866,0,Infinity,0
perf/lazy-wrapper-dart_dart2js-FluidMotion.html,alfred,chrome,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,4854,67,72.45,2897.21
perf/original-wrapper-dart_dart2js-FluidMotion.html,alfred,chrome,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2272,0,Infinity,0
perf/lazy-direct-dart_dart2js-FluidMotion.html,kate,firefox,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,5372,86,62.47,1962.93
perf/original-direct-dart_dart2js-FluidMotion.html,kate,firefox,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2317,0,Infinity,0
perf/lazy-wrapper-dart_dart2js-Richards.html,alfred,chrome,Richards,dart_dart2js,lazy,reservoir,100,NaN,2298,26,88.38,1562.60
perf/original-wrapper-dart_dart2js-Richards.html,kate,chrome,Richards,dart_dart2js,original,countdown,NaN,NaN,2117,0,Infinity,0
perf/lazy-direct-dart_dart2js-Richards.html,kate,firefox,Richards,dart_dart2js,lazy,reservoir,100,NaN,2223,27,82.33,951.07
perf/original-direct-dart_dart2js-Richards.html,alfred,firefox,Richards,dart_dart2js,original,countdown,NaN,NaN,2116,0,Infinity,0
perf/lazy-wrapper-scala-Richards.html,alfred,chrome,Richards,scala,lazy,reservoir,100,NaN,25946,250,103.78,718.30
perf/original-wrapper-scala-Richards.html,kate,chrome,Richards,scala,original,countdown,NaN,NaN,1918,0,Infinity,0
perf/lazy-direct-scala-Richards.html,alfred,firefox,Richards,scala,lazy,reservoir,100,NaN,52935,621,85.24,7040.43
perf/original-direct-scala-Richards.html,alfred,firefox,Richards,scala,original,countdown,NaN,NaN,5105,0,Infinity,0
