Path,Hostname,Platform,Benchmark,Language,Transform,Estimator,YieldInterval,TimePerElapsed,RunningTime,NumYields,AvgLatency,VarLatency
sep1/lazy-scala-DeltaBlue-single.html,alfred,chrome,DeltaBlue-single,scala,lazy,reservoir,100,NaN,1121,4,280.25,36562.92
sep1/original-scala-DeltaBlue-single.html,william,chrome,DeltaBlue-single,scala,original,countdown,NaN,NaN,121,0,Infinity,0
sep1/lazy-dart_dart2js-DeltaBlue.html,william,chrome,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,2223,24,92.63,2065.81
sep1/original-dart_dart2js-DeltaBlue.html,william,chrome,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2109,0,Infinity,0
sep1/lazy-scala-DeltaBlue.html,alfred,chrome,DeltaBlue,scala,lazy,reservoir,100,NaN,48022,474,101.31,485.34
sep1/original-scala-DeltaBlue.html,alfred,chrome,DeltaBlue,scala,original,countdown,NaN,NaN,5562,0,Infinity,0
sep1/lazy-dart_dart2js-FluidMotion.html,alfred,chrome,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,4146,53,78.23,2960.74
sep1/original-dart_dart2js-FluidMotion.html,alfred,chrome,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2221,0,Infinity,0
sep1/lazy-scala-Richards-single.html,william,chrome,Richards-single,scala,lazy,reservoir,100,NaN,1560,9,173.33,23222.47
sep1/original-scala-Richards-single.html,william,chrome,Richards-single,scala,original,countdown,NaN,NaN,22,0,Infinity,0
sep1/lazy-dart_dart2js-Richards.html,william,chrome,Richards,dart_dart2js,lazy,reservoir,100,NaN,2216,24,92.33,1010.00
sep1/original-dart_dart2js-Richards.html,alfred,chrome,Richards,dart_dart2js,original,countdown,NaN,NaN,2109,0,Infinity,0
sep1/lazy-scala-Richards.html,alfred,chrome,Richards,scala,lazy,reservoir,100,NaN,13261,117,113.34,679.92
sep1/original-scala-Richards.html,william,chrome,Richards,scala,original,countdown,NaN,NaN,1561,0,Infinity,0
