Path,Hostname,Platform,Benchmark,Language,Transform,Estimator,YieldInterval,TimePerElapsed,RunningTime,NumYields,AvgLatency,VarLatency
bench2/lazy-wrapper-scala-DeltaBlue-single.html,alfred,chrome,DeltaBlue-single,scala,lazy,reservoir,100,NaN,1200,8,150.00,12205.75
bench2/original-wrapper-scala-DeltaBlue-single.html,alfred,chrome,DeltaBlue-single,scala,original,countdown,NaN,NaN,82,0,Infinity,0
bench2/lazy-direct-scala-DeltaBlue-single.html,william,firefox,DeltaBlue-single,scala,lazy,reservoir,100,NaN,928,8,116.00,3902.25
bench2/original-direct-scala-DeltaBlue-single.html,william,firefox,DeltaBlue-single,scala,original,countdown,NaN,NaN,120,0,Infinity,0
bench2/lazy-wrapper-dart_dart2js-DeltaBlue.html,william,chrome,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,2271,35,64.89,1104.59
bench2/original-wrapper-dart_dart2js-DeltaBlue.html,william,chrome,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2115,0,Infinity,0
bench2/lazy-direct-dart_dart2js-DeltaBlue.html,william,firefox,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,2234,29,77.03,786.21
bench2/original-direct-dart_dart2js-DeltaBlue.html,william,firefox,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2114,0,Infinity,0
bench2/lazy-wrapper-scala-DeltaBlue.html,desktop,chrome,DeltaBlue,scala,lazy,reservoir,100,NaN,43410,444,97.77,613.26
bench2/original-wrapper-scala-DeltaBlue.html,william,chrome,DeltaBlue,scala,original,countdown,NaN,NaN,5647,0,Infinity,0
bench2/lazy-direct-scala-DeltaBlue.html,william,firefox,DeltaBlue,scala,lazy,reservoir,100,NaN,154900,1677,92.37,7102.86
bench2/original-direct-scala-DeltaBlue.html,alfred,firefox,DeltaBlue,scala,original,countdown,NaN,NaN,9987,0,Infinity,0
bench2/lazy-wrapper-dart_dart2js-FluidMotion.html,alfred,chrome,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,3286,36,91.28,2397.54
bench2/original-wrapper-dart_dart2js-FluidMotion.html,william,chrome,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2176,0,Infinity,0
bench2/lazy-direct-dart_dart2js-FluidMotion.html,william,firefox,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,5083,70,72.61,1061.08
bench2/original-direct-dart_dart2js-FluidMotion.html,william,firefox,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2150,0,Infinity,0
bench2/lazy-wrapper-scala-Richards-single.html,alfred,chrome,Richards-single,scala,lazy,reservoir,100,NaN,1034,5,206.80,33636.95
bench2/original-wrapper-scala-Richards-single.html,alfred,chrome,Richards-single,scala,original,countdown,NaN,NaN,24,0,Infinity,0
bench2/lazy-direct-scala-Richards-single.html,sam-desktop,firefox,Richards-single,scala,lazy,reservoir,100,NaN,276,2,138.00,9248.00
bench2/original-direct-scala-Richards-single.html,desktop,firefox,Richards-single,scala,original,countdown,NaN,NaN,14,0,Infinity,0
bench2/lazy-wrapper-dart_dart2js-Richards.html,william,chrome,Richards,dart_dart2js,lazy,reservoir,100,NaN,2247,23,97.70,1759.20
bench2/original-wrapper-dart_dart2js-Richards.html,alfred,chrome,Richards,dart_dart2js,original,countdown,NaN,NaN,2110,0,Infinity,0
bench2/lazy-direct-dart_dart2js-Richards.html,william,firefox,Richards,dart_dart2js,lazy,reservoir,100,NaN,2197,23,95.52,999.79
bench2/original-direct-dart_dart2js-Richards.html,sam-desktop,firefox,Richards,dart_dart2js,original,countdown,NaN,NaN,2108,0,Infinity,0
bench2/lazy-wrapper-scala-Richards.html,william,chrome,Richards,scala,lazy,reservoir,100,NaN,17279,152,113.68,1479.46
bench2/original-wrapper-scala-Richards.html,william,chrome,Richards,scala,original,countdown,NaN,NaN,1588,0,Infinity,0
bench2/lazy-direct-scala-Richards.html,william,firefox,Richards,scala,lazy,reservoir,100,NaN,35144,352,99.84,11727.49
bench2/original-direct-scala-Richards.html,william,firefox,Richards,scala,original,countdown,NaN,NaN,3637,0,Infinity,0
bench2/lazy-wrapper-scala-SHA512-single.html,alfred,chrome,SHA512-single,scala,lazy,reservoir,100,NaN,6166,55,112.11,1968.93
bench2/original-wrapper-scala-SHA512-single.html,alfred,chrome,SHA512-single,scala,original,countdown,NaN,NaN,343,0,Infinity,0
bench2/lazy-direct-scala-SHA512-single.html,william,firefox,SHA512-single,scala,lazy,reservoir,100,NaN,7535,92,81.90,9270.15
bench2/original-direct-scala-SHA512-single.html,william,firefox,SHA512-single,scala,original,countdown,NaN,NaN,979,0,Infinity,0
bench2/lazy-wrapper-scala-SHA512.html,alfred,chrome,SHA512,scala,lazy,reservoir,100,NaN,97488,984,99.07,237.47
bench2/original-wrapper-scala-SHA512.html,alfred,chrome,SHA512,scala,original,countdown,NaN,NaN,4655,0,Infinity,0
bench2/lazy-direct-scala-SHA512.html,william,firefox,SHA512,scala,lazy,reservoir,100,NaN,102997,1201,85.76,15116.04
bench2/original-direct-scala-SHA512.html,william,firefox,SHA512,scala,original,countdown,NaN,NaN,3885,0,Infinity,0
