Path,Hostname,Platform,Benchmark,Language,Transform,Estimator,YieldInterval,TimePerElapsed,RunningTime,NumYields,AvgLatency,VarLatency
bench/lazy-wrapper-scala-DeltaBlue-single.html,alfred,chrome,DeltaBlue-single,scala,lazy,reservoir,100,NaN,1308,9,145.33,10190.47
bench/original-wrapper-scala-DeltaBlue-single.html,william,chrome,DeltaBlue-single,scala,original,countdown,NaN,NaN,86,0,Infinity,0
bench/lazy-direct-scala-DeltaBlue-single.html,william,firefox,DeltaBlue-single,scala,lazy,reservoir,100,NaN,891,5,178.20,11960.43
bench/original-direct-scala-DeltaBlue-single.html,desktop,firefox,DeltaBlue-single,scala,original,countdown,NaN,NaN,119,0,Infinity,0
bench/lazy-wrapper-dart_dart2js-DeltaBlue.html,william,chrome,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,2247,67,33.54,1360.12
bench/original-wrapper-dart_dart2js-DeltaBlue.html,sam-desktop,chrome,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2110,0,Infinity,0
bench/lazy-direct-dart_dart2js-DeltaBlue.html,alfred,firefox,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,2246,27,83.19,1711.72
bench/original-direct-dart_dart2js-DeltaBlue.html,sam-desktop,firefox,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2106,0,Infinity,0
bench/lazy-wrapper-scala-DeltaBlue.html,william,chrome,DeltaBlue,scala,lazy,reservoir,100,NaN,54410,588,92.53,720.68
bench/original-wrapper-scala-DeltaBlue.html,alfred,chrome,DeltaBlue,scala,original,countdown,NaN,NaN,5619,0,Infinity,0
bench/lazy-direct-scala-DeltaBlue.html,alfred,firefox,DeltaBlue,scala,lazy,reservoir,100,NaN,161332,1781,90.59,5291.93
bench/original-direct-scala-DeltaBlue.html,alfred,firefox,DeltaBlue,scala,original,countdown,NaN,NaN,10018,0,Infinity,0
bench/lazy-wrapper-dart_dart2js-FluidMotion.html,alfred,chrome,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,3552,40,88.80,2293.11
bench/original-wrapper-dart_dart2js-FluidMotion.html,desktop,chrome,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2194,0,Infinity,0
bench/lazy-direct-dart_dart2js-FluidMotion.html,alfred,firefox,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,4687,55,85.22,1188.81
bench/original-direct-dart_dart2js-FluidMotion.html,william,firefox,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2171,0,Infinity,0
bench/lazy-wrapper-scala-Richards-single.html,alfred,chrome,Richards-single,scala,lazy,reservoir,100,NaN,1020,2,510.00,129032.00
bench/original-wrapper-scala-Richards-single.html,william,chrome,Richards-single,scala,original,countdown,NaN,NaN,20,0,Infinity,0
bench/lazy-direct-scala-Richards-single.html,william,firefox,Richards-single,scala,lazy,reservoir,100,NaN,367,2,183.50,13695.13
bench/original-direct-scala-Richards-single.html,william,firefox,Richards-single,scala,original,countdown,NaN,NaN,22,0,Infinity,0
bench/lazy-wrapper-dart_dart2js-Richards.html,william,chrome,Richards,dart_dart2js,lazy,reservoir,100,NaN,2231,25,89.24,1081.05
bench/original-wrapper-dart_dart2js-Richards.html,william,chrome,Richards,dart_dart2js,original,countdown,NaN,NaN,2108,0,Infinity,0
bench/lazy-direct-dart_dart2js-Richards.html,alfred,firefox,Richards,dart_dart2js,lazy,reservoir,100,NaN,2218,26,85.31,1269.53
bench/original-direct-dart_dart2js-Richards.html,william,firefox,Richards,dart_dart2js,original,countdown,NaN,NaN,2107,0,Infinity,0
bench/lazy-wrapper-scala-Richards.html,william,chrome,Richards,scala,lazy,reservoir,100,NaN,17055,159,107.26,847.21
bench/original-wrapper-scala-Richards.html,sam-desktop,chrome,Richards,scala,original,countdown,NaN,NaN,1498,0,Infinity,0
bench/lazy-direct-scala-Richards.html,william,firefox,Richards,scala,lazy,reservoir,100,NaN,32265,297,108.64,12019.77
bench/original-direct-scala-Richards.html,william,firefox,Richards,scala,original,countdown,NaN,NaN,3629,0,Infinity,0
bench/lazy-wrapper-scala-SHA512-single.html,alfred,chrome,SHA512-single,scala,lazy,reservoir,100,NaN,6424,56,114.71,1865.23
bench/original-wrapper-scala-SHA512-single.html,sam-desktop,chrome,SHA512-single,scala,original,countdown,NaN,NaN,279,0,Infinity,0
bench/lazy-direct-scala-SHA512-single.html,william,firefox,SHA512-single,scala,lazy,reservoir,100,NaN,7027,68,103.34,6879.86
bench/original-direct-scala-SHA512-single.html,william,firefox,SHA512-single,scala,original,countdown,NaN,NaN,972,0,Infinity,0
bench/lazy-wrapper-scala-SHA512.html,alfred,chrome,SHA512,scala,lazy,reservoir,100,NaN,103216,1014,101.79,325.19
bench/original-wrapper-scala-SHA512.html,william,chrome,SHA512,scala,original,countdown,NaN,NaN,4470,0,Infinity,0
bench/lazy-direct-scala-SHA512.html,william,firefox,SHA512,scala,lazy,reservoir,100,NaN,100690,1106,91.04,15011.59
bench/original-direct-scala-SHA512.html,desktop,firefox,SHA512,scala,original,countdown,NaN,NaN,3724,0,Infinity,0
bench/lazy-wrapper-scala-Sudoku-single.html,desktop,chrome,Sudoku-single,scala,lazy,reservoir,100,NaN,3217,11,292.45,41726.95
bench/original-wrapper-scala-Sudoku-single.html,alfred,chrome,Sudoku-single,scala,original,countdown,NaN,NaN,155,0,Infinity,0
bench/lazy-direct-scala-Sudoku-single.html,desktop,firefox,Sudoku-single,scala,lazy,reservoir,100,NaN,2079,11,189.00,41797.64
bench/original-direct-scala-Sudoku-single.html,william,firefox,Sudoku-single,scala,original,countdown,NaN,NaN,273,0,Infinity,0
