Path,Hostname,Platform,Benchmark,Language,Transform,Estimator,YieldInterval,TimePerElapsed,RunningTime,NumYields,AvgLatency,VarLatency
perf/lazy-wrapper-scala-DeltaBlue-single.html,kate,chrome,DeltaBlue-single,scala,lazy,reservoir,100,NaN,1191,9,132.33,7795.21
perf/original-wrapper-scala-DeltaBlue-single.html,kate,chrome,DeltaBlue-single,scala,original,countdown,NaN,NaN,126,0,Infinity,0
perf/lazy-direct-scala-DeltaBlue-single.html,alfred,firefox,DeltaBlue-single,scala,lazy,reservoir,100,NaN,1396,11,126.91,7413.22
perf/original-direct-scala-DeltaBlue-single.html,alfred,firefox,DeltaBlue-single,scala,original,countdown,NaN,NaN,241,0,Infinity,0
perf/lazy-wrapper-dart_dart2js-DeltaBlue.html,alfred,chrome,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,2369,37,64.03,1379.67
perf/original-wrapper-dart_dart2js-DeltaBlue.html,alfred,chrome,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2119,0,Infinity,0
perf/lazy-direct-dart_dart2js-DeltaBlue.html,alfred,firefox,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,2306,23,100.26,4164.17
perf/original-direct-dart_dart2js-DeltaBlue.html,alfred,firefox,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2112,0,Infinity,0
perf/lazy-wrapper-scala-DeltaBlue.html,alfred,chrome,DeltaBlue,scala,lazy,reservoir,100,NaN,90640,911,99.50,861.94
perf/original-wrapper-scala-DeltaBlue.html,kate,chrome,DeltaBlue,scala,original,countdown,NaN,NaN,6936,0,Infinity,0
perf/lazy-direct-scala-DeltaBlue.html,alfred,firefox,DeltaBlue,scala,lazy,reservoir,100,NaN,213904,2001,106.90,8216.53
perf/original-direct-scala-DeltaBlue.html,kate,firefox,DeltaBlue,scala,original,countdown,NaN,NaN,10856,0,Infinity,0
perf/lazy-wrapper-dart_dart2js-FluidMotion.html,alfred,chrome,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,4557,67,68.01,4374.42
perf/original-wrapper-dart_dart2js-FluidMotion.html,kate,chrome,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2238,0,Infinity,0
perf/lazy-direct-dart_dart2js-FluidMotion.html,alfred,firefox,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,5946,66,90.09,2661.90
perf/original-direct-dart_dart2js-FluidMotion.html,kate,firefox,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2271,0,Infinity,0
perf/lazy-wrapper-scala-Richards-single.html,kate,chrome,Richards-single,scala,lazy,reservoir,100,NaN,1701,5,340.20,91234.03
perf/original-wrapper-scala-Richards-single.html,alfred,chrome,Richards-single,scala,original,countdown,NaN,NaN,33,0,Infinity,0
perf/lazy-direct-scala-Richards-single.html,alfred,firefox,Richards-single,scala,lazy,reservoir,100,NaN,548,5,109.60,5892.21
perf/original-direct-scala-Richards-single.html,kate,firefox,Richards-single,scala,original,countdown,NaN,NaN,27,0,Infinity,0
perf/lazy-wrapper-dart_dart2js-Richards.html,alfred,chrome,Richards,dart_dart2js,lazy,reservoir,100,NaN,2289,23,99.52,1229.17
perf/original-wrapper-dart_dart2js-Richards.html,kate,chrome,Richards,dart_dart2js,original,countdown,NaN,NaN,2110,0,Infinity,0
perf/lazy-direct-dart_dart2js-Richards.html,alfred,firefox,Richards,dart_dart2js,lazy,reservoir,100,NaN,2253,23,97.96,1718.02
perf/original-direct-dart_dart2js-Richards.html,kate,firefox,Richards,dart_dart2js,original,countdown,NaN,NaN,2115,0,Infinity,0
perf/lazy-wrapper-scala-Richards.html,kate,chrome,Richards,scala,lazy,reservoir,100,NaN,19524,193,101.16,1652.53
perf/original-wrapper-scala-Richards.html,kate,chrome,Richards,scala,original,countdown,NaN,NaN,1800,0,Infinity,0
perf/lazy-direct-scala-Richards.html,kate,firefox,Richards,scala,lazy,reservoir,100,NaN,38019,370,102.75,15357.09
perf/original-direct-scala-Richards.html,alfred,firefox,Richards,scala,original,countdown,NaN,NaN,5197,0,Infinity,0
perf/lazy-wrapper-scala-SHA512-single.html,alfred,chrome,SHA512-single,scala,lazy,reservoir,100,NaN,9596,90,106.62,2593.33
perf/original-wrapper-scala-SHA512-single.html,kate,chrome,SHA512-single,scala,original,countdown,NaN,NaN,531,0,Infinity,0
perf/lazy-direct-scala-SHA512-single.html,kate,firefox,SHA512-single,scala,lazy,reservoir,100,NaN,9893,84,117.77,11046.38
perf/original-direct-scala-SHA512-single.html,kate,firefox,SHA512-single,scala,original,countdown,NaN,NaN,1435,0,Infinity,0
perf/lazy-wrapper-scala-SHA512.html,kate,chrome,SHA512,scala,lazy,reservoir,100,NaN,107730,1100,97.94,539.83
perf/original-wrapper-scala-SHA512.html,kate,chrome,SHA512,scala,original,countdown,NaN,NaN,5087,0,Infinity,0
perf/lazy-direct-scala-SHA512.html,kate,firefox,SHA512,scala,lazy,reservoir,100,NaN,78907,895,88.16,8049.34
perf/original-direct-scala-SHA512.html,alfred,firefox,SHA512,scala,original,countdown,NaN,NaN,5698,0,Infinity,0
perf/lazy-wrapper-scala-Sudoku-single.html,kate,chrome,Sudoku-single,scala,lazy,reservoir,100,NaN,5668,20,283.40,39359.30
perf/original-wrapper-scala-Sudoku-single.html,alfred,chrome,Sudoku-single,scala,original,countdown,NaN,NaN,218,0,Infinity,0
perf/lazy-direct-scala-Sudoku-single.html,alfred,firefox,Sudoku-single,scala,lazy,reservoir,100,NaN,4176,68,61.41,15504.88
perf/original-direct-scala-Sudoku-single.html,kate,firefox,Sudoku-single,scala,original,countdown,NaN,NaN,238,0,Infinity,0
perf/lazy-wrapper-scala-Sudoku.html,alfred,chrome,Sudoku,scala,lazy,reservoir,100,NaN,136808,1444,94.74,632.98
perf/original-wrapper-scala-Sudoku.html,alfred,chrome,Sudoku,scala,original,countdown,NaN,NaN,9586,0,Infinity,0
perf/lazy-direct-scala-Sudoku.html,alfred,firefox,Sudoku,scala,lazy,reservoir,100,NaN,176647,1855,95.23,4923.49
perf/original-direct-scala-Sudoku.html,kate,firefox,Sudoku,scala,original,countdown,NaN,NaN,9498,0,Infinity,0
perf/lazy-wrapper-dart_dart2js-Tracer.html,kate,chrome,Tracer,dart_dart2js,lazy,reservoir,100,NaN,2427,23,105.52,1920.42
perf/original-wrapper-dart_dart2js-Tracer.html,alfred,chrome,Tracer,dart_dart2js,original,countdown,NaN,NaN,2120,0,Infinity,0
perf/lazy-direct-dart_dart2js-Tracer.html,alfred,firefox,Tracer,dart_dart2js,lazy,reservoir,100,NaN,2436,35,69.60,1815.86
perf/original-direct-dart_dart2js-Tracer.html,alfred,firefox,Tracer,dart_dart2js,original,countdown,NaN,NaN,2112,0,Infinity,0
perf/lazy-wrapper-racket_racketscript-ack.html,alfred,chrome,ack,racket_racketscript,lazy,reservoir,100,NaN,184159,996,184.90,7104.03
perf/original-wrapper-racket_racketscript-ack.html,kate,chrome,ack,racket_racketscript,original,countdown,NaN,NaN,2214,0,Infinity,0
perf/original-direct-racket_racketscript-ack.html,alfred,firefox,ack,racket_racketscript,original,countdown,NaN,NaN,12207,0,Infinity,0
perf/lazy-wrapper-ocaml-almabench.html,kate,chrome,almabench,ocaml,lazy,reservoir,100,NaN,48483,442,109.69,1219.89
perf/original-wrapper-ocaml-almabench.html,kate,chrome,almabench,ocaml,original,countdown,NaN,NaN,4643,0,Infinity,0
perf/lazy-direct-ocaml-almabench.html,alfred,firefox,almabench,ocaml,lazy,reservoir,100,NaN,35361,397,89.07,2853.18
perf/original-direct-ocaml-almabench.html,kate,firefox,almabench,ocaml,original,countdown,NaN,NaN,3524,0,Infinity,0
perf/lazy-wrapper-python_pyjs-b.html,alfred,chrome,b,python_pyjs,lazy,reservoir,100,NaN,4112,35,117.49,4118.14
perf/original-wrapper-python_pyjs-b.html,alfred,chrome,b,python_pyjs,original,countdown,NaN,NaN,1208,0,Infinity,0
perf/lazy-direct-python_pyjs-b.html,alfred,firefox,b,python_pyjs,lazy,reservoir,100,NaN,4562,49,93.10,769.73
perf/original-direct-python_pyjs-b.html,kate,firefox,b,python_pyjs,original,countdown,NaN,NaN,1394,0,Infinity,0
perf/lazy-wrapper-ocaml-bdd.html,alfred,chrome,bdd,ocaml,lazy,reservoir,100,NaN,34038,346,98.38,1831.31
perf/original-wrapper-ocaml-bdd.html,alfred,chrome,bdd,ocaml,original,countdown,NaN,NaN,3989,0,Infinity,0
perf/lazy-direct-ocaml-bdd.html,alfred,firefox,bdd,ocaml,lazy,reservoir,100,NaN,46882,466,100.61,1043.96
perf/original-direct-ocaml-bdd.html,alfred,firefox,bdd,ocaml,original,countdown,NaN,NaN,8037,0,Infinity,0
perf/lazy-wrapper-python_pyjs-binary_trees.html,kate,chrome,binary_trees,python_pyjs,lazy,reservoir,100,NaN,4192,49,85.55,1950.16
perf/original-wrapper-python_pyjs-binary_trees.html,alfred,chrome,binary_trees,python_pyjs,original,countdown,NaN,NaN,12206,0,Infinity,0
perf/lazy-direct-python_pyjs-binary_trees.html,alfred,firefox,binary_trees,python_pyjs,lazy,reservoir,100,NaN,14929,144,103.67,1269.93
perf/original-direct-python_pyjs-binary_trees.html,kate,firefox,binary_trees,python_pyjs,original,countdown,NaN,NaN,2501,0,Infinity,0
perf/lazy-wrapper-clojurescript-binarytrees.html,alfred,chrome,binarytrees,clojurescript,lazy,reservoir,100,NaN,20623,211,97.74,461.99
perf/original-wrapper-clojurescript-binarytrees.html,kate,chrome,binarytrees,clojurescript,original,countdown,NaN,NaN,1791,0,Infinity,0
perf/lazy-direct-clojurescript-binarytrees.html,kate,firefox,binarytrees,clojurescript,lazy,reservoir,100,NaN,29434,297,99.10,26408.28
perf/original-direct-clojurescript-binarytrees.html,alfred,firefox,binarytrees,clojurescript,original,countdown,NaN,NaN,3015,0,Infinity,0
perf/lazy-wrapper-clojurescript-collatz.html,alfred,chrome,collatz,clojurescript,lazy,reservoir,100,NaN,20061,195,102.88,23903.33
perf/original-wrapper-clojurescript-collatz.html,kate,chrome,collatz,clojurescript,original,countdown,NaN,NaN,5848,0,Infinity,0
perf/lazy-direct-clojurescript-collatz.html,kate,firefox,collatz,clojurescript,lazy,reservoir,100,NaN,23075,226,102.10,9683.54
perf/original-direct-clojurescript-collatz.html,kate,firefox,collatz,clojurescript,original,countdown,NaN,NaN,5203,0,Infinity,0
perf/lazy-wrapper-racket_racketscript-dderiv.html,kate,chrome,dderiv,racket_racketscript,lazy,reservoir,100,NaN,962,5,192.40,17409.33
perf/original-wrapper-racket_racketscript-dderiv.html,kate,chrome,dderiv,racket_racketscript,original,countdown,NaN,NaN,73,0,Infinity,0
perf/lazy-direct-racket_racketscript-dderiv.html,alfred,firefox,dderiv,racket_racketscript,lazy,reservoir,100,NaN,409,9,45.44,1627.05
perf/original-direct-racket_racketscript-dderiv.html,alfred,firefox,dderiv,racket_racketscript,original,countdown,NaN,NaN,39,0,Infinity,0
perf/original-wrapper-racket_racketscript-deriv.html,kate,chrome,deriv,racket_racketscript,original,countdown,NaN,NaN,317,0,Infinity,0
perf/original-direct-racket_racketscript-deriv.html,kate,firefox,deriv,racket_racketscript,original,countdown,NaN,NaN,617,0,Infinity,0
perf/lazy-wrapper-racket_racketscript-destruc.html,alfred,chrome,destruc,racket_racketscript,lazy,reservoir,100,NaN,20113,221,91.01,1011.49
perf/original-wrapper-racket_racketscript-destruc.html,kate,chrome,destruc,racket_racketscript,original,countdown,NaN,NaN,1429,0,Infinity,0
perf/lazy-direct-racket_racketscript-destruc.html,alfred,firefox,destruc,racket_racketscript,lazy,reservoir,100,NaN,34125,366,93.24,946.21
perf/original-direct-racket_racketscript-destruc.html,kate,firefox,destruc,racket_racketscript,original,countdown,NaN,NaN,5124,0,Infinity,0
perf/lazy-wrapper-racket_racketscript-diviter.html,kate,chrome,diviter,racket_racketscript,lazy,reservoir,100,NaN,1152,7,164.57,10575.01
perf/original-wrapper-racket_racketscript-diviter.html,alfred,chrome,diviter,racket_racketscript,original,countdown,NaN,NaN,69,0,Infinity,0
perf/lazy-direct-racket_racketscript-diviter.html,kate,firefox,diviter,racket_racketscript,lazy,reservoir,100,NaN,512,4,128.00,3678.00
perf/original-direct-racket_racketscript-diviter.html,alfred,firefox,diviter,racket_racketscript,original,countdown,NaN,NaN,46,0,Infinity,0
perf/lazy-wrapper-racket_racketscript-divrec.html,kate,chrome,divrec,racket_racketscript,lazy,reservoir,100,NaN,1146,7,163.71,12829.40
perf/original-wrapper-racket_racketscript-divrec.html,kate,chrome,divrec,racket_racketscript,original,countdown,NaN,NaN,55,0,Infinity,0
perf/lazy-direct-racket_racketscript-divrec.html,kate,firefox,divrec,racket_racketscript,lazy,reservoir,100,NaN,533,11,48.45,789.85
perf/original-direct-racket_racketscript-divrec.html,kate,firefox,divrec,racket_racketscript,original,countdown,NaN,NaN,47,0,Infinity,0
perf/lazy-wrapper-clojurescript-fannkuch.html,alfred,chrome,fannkuch,clojurescript,lazy,reservoir,100,NaN,43431,438,99.16,1076.75
perf/original-wrapper-clojurescript-fannkuch.html,kate,chrome,fannkuch,clojurescript,original,countdown,NaN,NaN,3057,0,Infinity,0
perf/lazy-direct-clojurescript-fannkuch.html,kate,firefox,fannkuch,clojurescript,lazy,reservoir,100,NaN,68203,743,91.79,2854.74
perf/original-direct-clojurescript-fannkuch.html,alfred,firefox,fannkuch,clojurescript,original,countdown,NaN,NaN,5650,0,Infinity,0
perf/lazy-wrapper-ocaml-fft.html,alfred,chrome,fft,ocaml,lazy,reservoir,100,NaN,103907,1028,101.08,356.11
perf/original-wrapper-ocaml-fft.html,kate,chrome,fft,ocaml,original,countdown,NaN,NaN,4158,0,Infinity,0
