Path,Hostname,Platform,Benchmark,Language,Transform,Estimator,YieldInterval,TimePerElapsed,RunningTime,NumYields,AvgLatency,VarLatency
perf/lazy-wrapper-dart_dart2js-DeltaBlue.html,kate,chrome,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,2327,32,72.72,1506.31
perf/original-wrapper-dart_dart2js-DeltaBlue.html,alfred,chrome,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2115,0,Infinity,0
perf/lazy-direct-dart_dart2js-DeltaBlue.html,alfred,firefox,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,2255,25,90.20,6086.85
perf/original-direct-dart_dart2js-DeltaBlue.html,alfred,firefox,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2112,0,Infinity,0
perf/lazy-wrapper-scala-DeltaBlue.html,alfred,chrome,DeltaBlue,scala,lazy,reservoir,100,NaN,90931,901,100.92,1174.92
perf/original-wrapper-scala-DeltaBlue.html,kate,chrome,DeltaBlue,scala,original,countdown,NaN,NaN,6859,0,Infinity,0
perf/lazy-direct-scala-DeltaBlue.html,alfred,firefox,DeltaBlue,scala,lazy,reservoir,100,NaN,245839,2473,99.41,10239.26
perf/original-direct-scala-DeltaBlue.html,kate,firefox,DeltaBlue,scala,original,countdown,NaN,NaN,12093,0,Infinity,0
perf/lazy-wrapper-dart_dart2js-FluidMotion.html,alfred,chrome,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,5283,72,73.38,4545.41
perf/original-wrapper-dart_dart2js-FluidMotion.html,kate,chrome,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2237,0,Infinity,0
perf/lazy-direct-dart_dart2js-FluidMotion.html,alfred,firefox,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,6700,57,117.54,5202.44
perf/original-direct-dart_dart2js-FluidMotion.html,alfred,firefox,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2277,0,Infinity,0
perf/lazy-wrapper-dart_dart2js-Richards.html,kate,chrome,Richards,dart_dart2js,lazy,reservoir,100,NaN,2293,31,73.97,2332.61
perf/original-wrapper-dart_dart2js-Richards.html,alfred,chrome,Richards,dart_dart2js,original,countdown,NaN,NaN,2113,0,Infinity,0
perf/lazy-direct-dart_dart2js-Richards.html,alfred,firefox,Richards,dart_dart2js,lazy,reservoir,100,NaN,2471,47,52.57,2704.23
perf/original-direct-dart_dart2js-Richards.html,kate,firefox,Richards,dart_dart2js,original,countdown,NaN,NaN,2114,0,Infinity,0
perf/lazy-wrapper-scala-Richards.html,kate,chrome,Richards,scala,lazy,reservoir,100,NaN,17242,148,116.50,1004.95
perf/original-wrapper-scala-Richards.html,alfred,chrome,Richards,scala,original,countdown,NaN,NaN,2350,0,Infinity,0
perf/lazy-direct-scala-Richards.html,alfred,firefox,Richards,scala,lazy,reservoir,100,NaN,51399,535,96.07,10521.16
perf/original-direct-scala-Richards.html,alfred,firefox,Richards,scala,original,countdown,NaN,NaN,5257,0,Infinity,0
perf/lazy-wrapper-scala-SHA512.html,kate,chrome,SHA512,scala,lazy,reservoir,100,NaN,114947,1150,99.95,772.48
perf/original-wrapper-scala-SHA512.html,kate,chrome,SHA512,scala,original,countdown,NaN,NaN,4919,0,Infinity,0
perf/lazy-direct-scala-SHA512.html,alfred,firefox,SHA512,scala,lazy,reservoir,100,NaN,159492,1677,95.11,27417.64
perf/original-direct-scala-SHA512.html,alfred,firefox,SHA512,scala,original,countdown,NaN,NaN,5333,0,Infinity,0
perf/lazy-wrapper-scala-Sudoku.html,kate,chrome,Sudoku,scala,lazy,reservoir,100,NaN,105622,1167,90.51,1133.98
perf/original-wrapper-scala-Sudoku.html,alfred,chrome,Sudoku,scala,original,countdown,NaN,NaN,9951,0,Infinity,0
perf/lazy-direct-scala-Sudoku.html,kate,firefox,Sudoku,scala,lazy,reservoir,100,NaN,291963,3162,92.33,9324.46
perf/original-direct-scala-Sudoku.html,kate,firefox,Sudoku,scala,original,countdown,NaN,NaN,10722,0,Infinity,0
perf/lazy-wrapper-dart_dart2js-Tracer.html,alfred,chrome,Tracer,dart_dart2js,lazy,reservoir,100,NaN,2478,37,66.97,1517.15
perf/original-wrapper-dart_dart2js-Tracer.html,kate,chrome,Tracer,dart_dart2js,original,countdown,NaN,NaN,2117,0,Infinity,0
perf/lazy-direct-dart_dart2js-Tracer.html,alfred,firefox,Tracer,dart_dart2js,lazy,reservoir,100,NaN,2494,33,75.58,1307.81
perf/original-direct-dart_dart2js-Tracer.html,kate,firefox,Tracer,dart_dart2js,original,countdown,NaN,NaN,2118,0,Infinity,0
perf/lazy-wrapper-racket_racketscript-ack.html,alfred,chrome,ack,racket_racketscript,lazy,reservoir,100,NaN,211498,1161,182.17,8039.04
perf/original-wrapper-racket_racketscript-ack.html,kate,chrome,ack,racket_racketscript,original,countdown,NaN,NaN,2133,0,Infinity,0
perf/original-direct-racket_racketscript-ack.html,kate,firefox,ack,racket_racketscript,original,countdown,NaN,NaN,7597,0,Infinity,0
perf/lazy-wrapper-ocaml-almabench.html,kate,chrome,almabench,ocaml,lazy,reservoir,100,NaN,49703,513,96.89,941.87
perf/original-wrapper-ocaml-almabench.html,kate,chrome,almabench,ocaml,original,countdown,NaN,NaN,4252,0,Infinity,0
perf/lazy-direct-ocaml-almabench.html,alfred,firefox,almabench,ocaml,lazy,reservoir,100,NaN,39560,486,81.40,4373.42
perf/original-direct-ocaml-almabench.html,alfred,firefox,almabench,ocaml,original,countdown,NaN,NaN,5879,0,Infinity,0
perf/lazy-wrapper-python_pyjs-b.html,kate,chrome,b,python_pyjs,lazy,reservoir,100,NaN,4054,41,98.88,3170.35
perf/original-wrapper-python_pyjs-b.html,kate,chrome,b,python_pyjs,original,countdown,NaN,NaN,858,0,Infinity,0
perf/lazy-direct-python_pyjs-b.html,alfred,firefox,b,python_pyjs,lazy,reservoir,100,NaN,6999,82,85.35,1292.41
perf/original-direct-python_pyjs-b.html,kate,firefox,b,python_pyjs,original,countdown,NaN,NaN,1418,0,Infinity,0
perf/lazy-wrapper-ocaml-bdd.html,alfred,chrome,bdd,ocaml,lazy,reservoir,100,NaN,38181,399,95.69,1905.93
perf/original-wrapper-ocaml-bdd.html,alfred,chrome,bdd,ocaml,original,countdown,NaN,NaN,5051,0,Infinity,0
perf/lazy-direct-ocaml-bdd.html,alfred,firefox,bdd,ocaml,lazy,reservoir,100,NaN,49754,530,93.88,1422.55
perf/original-direct-ocaml-bdd.html,alfred,firefox,bdd,ocaml,original,countdown,NaN,NaN,7965,0,Infinity,0
perf/lazy-wrapper-python_pyjs-binary_trees.html,alfred,chrome,binary_trees,python_pyjs,lazy,reservoir,100,NaN,5925,66,89.77,2479.02
perf/original-wrapper-python_pyjs-binary_trees.html,kate,chrome,binary_trees,python_pyjs,original,countdown,NaN,NaN,10268,0,Infinity,0
perf/lazy-direct-python_pyjs-binary_trees.html,alfred,firefox,binary_trees,python_pyjs,lazy,reservoir,100,NaN,15697,187,83.94,1309.03
perf/original-direct-python_pyjs-binary_trees.html,alfred,firefox,binary_trees,python_pyjs,original,countdown,NaN,NaN,3598,0,Infinity,0
perf/lazy-wrapper-clojurescript-binarytrees.html,alfred,chrome,binarytrees,clojurescript,lazy,reservoir,100,NaN,22798,225,101.32,960.42
perf/original-wrapper-clojurescript-binarytrees.html,kate,chrome,binarytrees,clojurescript,original,countdown,NaN,NaN,1590,0,Infinity,0
perf/lazy-direct-clojurescript-binarytrees.html,kate,firefox,binarytrees,clojurescript,lazy,reservoir,100,NaN,32138,312,103.01,24185.48
perf/original-direct-clojurescript-binarytrees.html,kate,firefox,binarytrees,clojurescript,original,countdown,NaN,NaN,1927,0,Infinity,0
perf/lazy-wrapper-clojurescript-collatz.html,kate,chrome,collatz,clojurescript,lazy,reservoir,100,NaN,18763,196,95.73,24710.11
perf/original-wrapper-clojurescript-collatz.html,alfred,chrome,collatz,clojurescript,original,countdown,NaN,NaN,4422,0,Infinity,0
perf/lazy-direct-clojurescript-collatz.html,kate,firefox,collatz,clojurescript,lazy,reservoir,100,NaN,27846,256,108.77,16245.50
perf/original-direct-clojurescript-collatz.html,kate,firefox,collatz,clojurescript,original,countdown,NaN,NaN,5894,0,Infinity,0
perf/lazy-wrapper-racket_racketscript-dderiv.html,kate,chrome,dderiv,racket_racketscript,lazy,reservoir,100,NaN,882,5,176.40,13181.41
perf/original-wrapper-racket_racketscript-dderiv.html,alfred,chrome,dderiv,racket_racketscript,original,countdown,NaN,NaN,57,0,Infinity,0
perf/lazy-direct-racket_racketscript-dderiv.html,alfred,firefox,dderiv,racket_racketscript,lazy,reservoir,100,NaN,329,6,54.83,1324.25
perf/original-direct-racket_racketscript-dderiv.html,alfred,firefox,dderiv,racket_racketscript,original,countdown,NaN,NaN,34,0,Infinity,0
perf/original-wrapper-racket_racketscript-deriv.html,kate,chrome,deriv,racket_racketscript,original,countdown,NaN,NaN,251,0,Infinity,0
perf/original-direct-racket_racketscript-deriv.html,alfred,firefox,deriv,racket_racketscript,original,countdown,NaN,NaN,606,0,Infinity,0
perf/lazy-wrapper-racket_racketscript-destruc.html,kate,chrome,destruc,racket_racketscript,lazy,reservoir,100,NaN,14203,138,102.92,2187.59
perf/original-wrapper-racket_racketscript-destruc.html,alfred,chrome,destruc,racket_racketscript,original,countdown,NaN,NaN,1850,0,Infinity,0
perf/lazy-direct-racket_racketscript-destruc.html,alfred,firefox,destruc,racket_racketscript,lazy,reservoir,100,NaN,40096,360,111.38,1782.38
perf/original-direct-racket_racketscript-destruc.html,alfred,firefox,destruc,racket_racketscript,original,countdown,NaN,NaN,8543,0,Infinity,0
perf/lazy-wrapper-racket_racketscript-diviter.html,alfred,chrome,diviter,racket_racketscript,lazy,reservoir,100,NaN,1043,10,104.30,4458.88
perf/original-wrapper-racket_racketscript-diviter.html,kate,chrome,diviter,racket_racketscript,original,countdown,NaN,NaN,50,0,Infinity,0
perf/lazy-direct-racket_racketscript-diviter.html,alfred,firefox,diviter,racket_racketscript,lazy,reservoir,100,NaN,453,10,45.30,1018.28
perf/original-direct-racket_racketscript-diviter.html,alfred,firefox,diviter,racket_racketscript,original,countdown,NaN,NaN,38,0,Infinity,0
perf/lazy-wrapper-racket_racketscript-divrec.html,alfred,chrome,divrec,racket_racketscript,lazy,reservoir,100,NaN,1170,15,78.00,4147.73
perf/original-wrapper-racket_racketscript-divrec.html,alfred,chrome,divrec,racket_racketscript,original,countdown,NaN,NaN,47,0,Infinity,0
perf/lazy-direct-racket_racketscript-divrec.html,alfred,firefox,divrec,racket_racketscript,lazy,reservoir,100,NaN,424,4,106.00,5715.00
perf/original-direct-racket_racketscript-divrec.html,alfred,firefox,divrec,racket_racketscript,original,countdown,NaN,NaN,55,0,Infinity,0
perf/lazy-wrapper-clojurescript-fannkuch.html,alfred,chrome,fannkuch,clojurescript,lazy,reservoir,100,NaN,50100,519,96.53,1401.45
perf/original-wrapper-clojurescript-fannkuch.html,alfred,chrome,fannkuch,clojurescript,original,countdown,NaN,NaN,3936,0,Infinity,0
perf/lazy-direct-clojurescript-fannkuch.html,kate,firefox,fannkuch,clojurescript,lazy,reservoir,100,NaN,83591,902,92.67,4815.81
perf/original-direct-clojurescript-fannkuch.html,alfred,firefox,fannkuch,clojurescript,original,countdown,NaN,NaN,5577,0,Infinity,0
perf/lazy-wrapper-ocaml-fft.html,alfred,chrome,fft,ocaml,lazy,reservoir,100,NaN,108400,1069,101.40,255.01
perf/original-wrapper-ocaml-fft.html,kate,chrome,fft,ocaml,original,countdown,NaN,NaN,4126,0,Infinity,0
perf/lazy-direct-ocaml-fft.html,alfred,firefox,fft,ocaml,lazy,reservoir,100,NaN,52760,549,96.10,3208.40
perf/original-direct-ocaml-fft.html,kate,firefox,fft,ocaml,original,countdown,NaN,NaN,2027,0,Infinity,0
perf/lazy-wrapper-ocaml-fib.html,alfred,chrome,fib,ocaml,lazy,reservoir,100,NaN,31565,306,103.15,450.14
perf/original-wrapper-ocaml-fib.html,alfred,chrome,fib,ocaml,original,countdown,NaN,NaN,5042,0,Infinity,0
perf/lazy-direct-ocaml-fib.html,alfred,firefox,fib,ocaml,lazy,reservoir,100,NaN,91606,989,92.62,750.63
perf/original-direct-ocaml-fib.html,kate,firefox,fib,ocaml,original,countdown,NaN,NaN,4448,0,Infinity,0
perf/lazy-wrapper-python_pyjs-gcbench.html,alfred,chrome,gcbench,python_pyjs,lazy,reservoir,100,NaN,30729,291,105.60,1244.21
perf/original-wrapper-python_pyjs-gcbench.html,kate,chrome,gcbench,python_pyjs,original,countdown,NaN,NaN,109385,0,Infinity,0
perf/lazy-direct-python_pyjs-gcbench.html,kate,firefox,gcbench,python_pyjs,lazy,reservoir,100,NaN,46886,620,75.62,2211.10
perf/original-direct-python_pyjs-gcbench.html,alfred,firefox,gcbench,python_pyjs,original,countdown,NaN,NaN,39141,0,Infinity,0
perf/lazy-wrapper-racket_racketscript-graphs.html,alfred,chrome,graphs,racket_racketscript,lazy,reservoir,100,NaN,6200,71,87.32,1963.85
perf/original-wrapper-racket_racketscript-graphs.html,kate,chrome,graphs,racket_racketscript,original,countdown,NaN,NaN,835,0,Infinity,0
perf/lazy-direct-racket_racketscript-graphs.html,kate,firefox,graphs,racket_racketscript,lazy,reservoir,100,NaN,6043,67,90.19,2640.83
perf/original-direct-racket_racketscript-graphs.html,alfred,firefox,graphs,racket_racketscript,original,countdown,NaN,NaN,1933,0,Infinity,0
perf/lazy-wrapper-racket_racketscript-lattice.html,alfred,chrome,lattice,racket_racketscript,lazy,reservoir,100,NaN,197590,2080,95.00,225.84
perf/original-wrapper-racket_racketscript-lattice.html,alfred,chrome,lattice,racket_racketscript,original,countdown,NaN,NaN,45430,0,Infinity,0
perf/original-direct-racket_racketscript-lattice.html,alfred,firefox,lattice,racket_racketscript,original,countdown,NaN,NaN,194915,0,Infinity,0
perf/lazy-wrapper-clojurescript-mandelbrot.html,kate,chrome,mandelbrot,clojurescript,lazy,reservoir,100,NaN,69940,723,96.74,1198.37
perf/original-wrapper-clojurescript-mandelbrot.html,alfred,chrome,mandelbrot,clojurescript,original,countdown,NaN,NaN,6689,0,Infinity,0
perf/lazy-direct-clojurescript-mandelbrot.html,kate,firefox,mandelbrot,clojurescript,lazy,reservoir,100,NaN,90549,946,95.72,4236.21
perf/original-direct-clojurescript-mandelbrot.html,alfred,firefox,mandelbrot,clojurescript,original,countdown,NaN,NaN,7552,0,Infinity,0
perf/lazy-wrapper-clojurescript-memuse.html,kate,chrome,memuse,clojurescript,lazy,reservoir,100,NaN,18532,256,72.39,1117.40
perf/original-wrapper-clojurescript-memuse.html,kate,chrome,memuse,clojurescript,original,countdown,NaN,NaN,2775,0,Infinity,0
perf/lazy-direct-clojurescript-memuse.html,kate,firefox,memuse,clojurescript,lazy,reservoir,100,NaN,52284,546,95.76,6768.77
perf/original-direct-clojurescript-memuse.html,kate,firefox,memuse,clojurescript,original,countdown,NaN,NaN,2665,0,Infinity,0
perf/lazy-wrapper-clojurescript-meteor.html,kate,chrome,meteor,clojurescript,lazy,reservoir,100,NaN,43521,426,102.16,4386.99
perf/original-wrapper-clojurescript-meteor.html,kate,chrome,meteor,clojurescript,original,countdown,NaN,NaN,4234,0,Infinity,0
perf/lazy-direct-clojurescript-meteor.html,kate,firefox,meteor,clojurescript,lazy,reservoir,100,NaN,62248,759,82.01,9944.91
perf/original-direct-clojurescript-meteor.html,alfred,firefox,meteor,clojurescript,original,countdown,NaN,NaN,7993,0,Infinity,0
perf/lazy-wrapper-clojurescript-nbody.html,alfred,chrome,nbody,clojurescript,lazy,reservoir,100,NaN,52487,519,101.13,721.16
perf/original-wrapper-clojurescript-nbody.html,alfred,chrome,nbody,clojurescript,original,countdown,NaN,NaN,2332,0,Infinity,0
