Path,Hostname,Platform,Benchmark,Language,Transform,Estimator,YieldInterval,TimePerElapsed,RunningTime,NumYields,AvgLatency,VarLatency
sep1/lazy-scala-DeltaBlue-single.html,william,chrome,DeltaBlue-single,scala,lazy,reservoir,100,NaN,1168,6,194.67,12257.70
sep1/original-scala-DeltaBlue-single.html,william,chrome,DeltaBlue-single,scala,original,countdown,NaN,NaN,84,0,Infinity,0
sep1/lazy-dart_dart2js-DeltaBlue.html,william,chrome,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,2219,27,82.19,1823.71
sep1/original-dart_dart2js-DeltaBlue.html,alfred,chrome,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2110,0,Infinity,0
sep1/lazy-scala-DeltaBlue.html,alfred,chrome,DeltaBlue,scala,lazy,reservoir,100,NaN,49913,513,97.30,705.50
sep1/original-scala-DeltaBlue.html,alfred,chrome,DeltaBlue,scala,original,countdown,NaN,NaN,5421,0,Infinity,0
sep1/lazy-dart_dart2js-FluidMotion.html,alfred,chrome,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,3826,52,73.58,2314.40
sep1/original-dart_dart2js-FluidMotion.html,william,chrome,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2300,0,Infinity,0
sep1/lazy-scala-Richards-single.html,william,chrome,Richards-single,scala,lazy,reservoir,100,NaN,1001,5,200.20,31665.83
sep1/original-scala-Richards-single.html,alfred,chrome,Richards-single,scala,original,countdown,NaN,NaN,33,0,Infinity,0
sep1/lazy-dart_dart2js-Richards.html,william,chrome,Richards,dart_dart2js,lazy,reservoir,100,NaN,2216,27,82.07,1263.27
sep1/original-dart_dart2js-Richards.html,william,chrome,Richards,dart_dart2js,original,countdown,NaN,NaN,2109,0,Infinity,0
sep1/lazy-scala-Richards.html,alfred,chrome,Richards,scala,lazy,reservoir,100,NaN,13675,129,106.01,1213.15
sep1/original-scala-Richards.html,william,chrome,Richards,scala,original,countdown,NaN,NaN,2153,0,Infinity,0
sep1/lazy-scala-SHA512-single.html,william,chrome,SHA512-single,scala,lazy,reservoir,100,NaN,12403,121,102.50,562.23
sep1/original-scala-SHA512-single.html,william,chrome,SHA512-single,scala,original,countdown,NaN,NaN,323,0,Infinity,0
sep1/lazy-scala-SHA512.html,william,chrome,SHA512,scala,lazy,reservoir,100,NaN,191019,1918,99.59,200.74
sep1/original-scala-SHA512.html,alfred,chrome,SHA512,scala,original,countdown,NaN,NaN,4276,0,Infinity,0
sep1/lazy-scala-Sudoku-single.html,william,chrome,Sudoku-single,scala,lazy,reservoir,100,NaN,3947,12,328.92,55592.03
sep1/original-scala-Sudoku-single.html,william,chrome,Sudoku-single,scala,original,countdown,NaN,NaN,116,0,Infinity,0
sep1/lazy-scala-Sudoku.html,william,chrome,Sudoku,scala,lazy,reservoir,100,NaN,77872,840,92.70,749.86
sep1/original-scala-Sudoku.html,alfred,chrome,Sudoku,scala,original,countdown,NaN,NaN,8491,0,Infinity,0
sep1/lazy-dart_dart2js-Tracer.html,william,chrome,Tracer,dart_dart2js,lazy,reservoir,100,NaN,2268,24,94.50,1364.66
sep1/original-dart_dart2js-Tracer.html,william,chrome,Tracer,dart_dart2js,original,countdown,NaN,NaN,2117,0,Infinity,0
sep1/lazy-racket_racketscript-ack.html,alfred,chrome,ack,racket_racketscript,lazy,reservoir,100,NaN,41701,292,142.81,2968.59
sep1/original-racket_racketscript-ack.html,alfred,chrome,ack,racket_racketscript,original,countdown,NaN,NaN,2033,0,Infinity,0
sep1/lazy-ocaml-almabench.html,william,chrome,almabench,ocaml,lazy,reservoir,100,NaN,46813,469,99.81,184.03
sep1/original-ocaml-almabench.html,alfred,chrome,almabench,ocaml,original,countdown,NaN,NaN,3917,0,Infinity,0
sep1/lazy-python_pyjs-b.html,alfred,chrome,b,python_pyjs,lazy,reservoir,100,NaN,2402,19,126.42,3069.76
sep1/original-python_pyjs-b.html,alfred,chrome,b,python_pyjs,original,countdown,NaN,NaN,823,0,Infinity,0
sep1/lazy-ocaml-bdd.html,alfred,chrome,bdd,ocaml,lazy,reservoir,100,NaN,19480,204,95.49,1528.03
sep1/original-ocaml-bdd.html,william,chrome,bdd,ocaml,original,countdown,NaN,NaN,2817,0,Infinity,0
sep1/lazy-python_pyjs-binary_trees.html,alfred,chrome,binary_trees,python_pyjs,lazy,reservoir,100,NaN,3102,33,94.00,1445.39
sep1/original-python_pyjs-binary_trees.html,william,chrome,binary_trees,python_pyjs,original,countdown,NaN,NaN,9645,0,Infinity,0
sep1/lazy-clojurescript-binarytrees.html,alfred,chrome,binarytrees,clojurescript,lazy,reservoir,100,NaN,10768,108,99.70,604.27
sep1/original-clojurescript-binarytrees.html,william,chrome,binarytrees,clojurescript,original,countdown,NaN,NaN,1726,0,Infinity,0
sep1/lazy-clojurescript-collatz.html,william,chrome,collatz,clojurescript,lazy,reservoir,100,NaN,11657,118,98.79,1477.07
sep1/original-clojurescript-collatz.html,william,chrome,collatz,clojurescript,original,countdown,NaN,NaN,3507,0,Infinity,0
sep1/lazy-racket_racketscript-dderiv.html,william,chrome,dderiv,racket_racketscript,lazy,reservoir,100,NaN,634,7,90.57,4342.12
sep1/original-racket_racketscript-dderiv.html,alfred,chrome,dderiv,racket_racketscript,original,countdown,NaN,NaN,41,0,Infinity,0
sep1/original-racket_racketscript-deriv.html,william,chrome,deriv,racket_racketscript,original,countdown,NaN,NaN,225,0,Infinity,0
sep1/lazy-racket_racketscript-destruc.html,william,chrome,destruc,racket_racketscript,lazy,reservoir,100,NaN,9576,96,99.75,525.17
sep1/original-racket_racketscript-destruc.html,alfred,chrome,destruc,racket_racketscript,original,countdown,NaN,NaN,1146,0,Infinity,0
sep1/lazy-racket_racketscript-diviter.html,alfred,chrome,diviter,racket_racketscript,lazy,reservoir,100,NaN,623,6,103.83,5240.58
sep1/original-racket_racketscript-diviter.html,william,chrome,diviter,racket_racketscript,original,countdown,NaN,NaN,38,0,Infinity,0
sep1/lazy-racket_racketscript-divrec.html,william,chrome,divrec,racket_racketscript,lazy,reservoir,100,NaN,616,9,68.44,2962.20
sep1/original-racket_racketscript-divrec.html,alfred,chrome,divrec,racket_racketscript,original,countdown,NaN,NaN,39,0,Infinity,0
sep1/lazy-clojurescript-fannkuch.html,alfred,chrome,fannkuch,clojurescript,lazy,reservoir,100,NaN,31285,322,97.16,979.09
sep1/original-clojurescript-fannkuch.html,william,chrome,fannkuch,clojurescript,original,countdown,NaN,NaN,2591,0,Infinity,0
sep1/lazy-ocaml-fft.html,alfred,chrome,fft,ocaml,lazy,reservoir,100,NaN,81208,834,97.37,335.07
sep1/original-ocaml-fft.html,william,chrome,fft,ocaml,original,countdown,NaN,NaN,3558,0,Infinity,0
sep1/lazy-ocaml-fib.html,william,chrome,fib,ocaml,lazy,reservoir,100,NaN,24355,238,102.33,392.84
sep1/original-ocaml-fib.html,william,chrome,fib,ocaml,original,countdown,NaN,NaN,3444,0,Infinity,0
sep1/lazy-python_pyjs-gcbench.html,alfred,chrome,gcbench,python_pyjs,lazy,reservoir,100,NaN,16666,173,96.34,1266.39
sep1/original-python_pyjs-gcbench.html,william,chrome,gcbench,python_pyjs,original,countdown,NaN,NaN,105309,0,Infinity,0
sep1/lazy-racket_racketscript-graphs.html,william,chrome,graphs,racket_racketscript,lazy,reservoir,100,NaN,2717,30,90.57,1522.77
sep1/original-racket_racketscript-graphs.html,william,chrome,graphs,racket_racketscript,original,countdown,NaN,NaN,374,0,Infinity,0
sep1/lazy-racket_racketscript-lattice.html,william,chrome,lattice,racket_racketscript,lazy,reservoir,100,NaN,194709,1984,98.14,322.00
sep1/original-racket_racketscript-lattice.html,alfred,chrome,lattice,racket_racketscript,original,countdown,NaN,NaN,46134,0,Infinity,0
sep1/lazy-clojurescript-mandelbrot.html,william,chrome,mandelbrot,clojurescript,lazy,reservoir,100,NaN,44777,435,102.94,427.54
sep1/original-clojurescript-mandelbrot.html,william,chrome,mandelbrot,clojurescript,original,countdown,NaN,NaN,5821,0,Infinity,0
sep1/lazy-clojurescript-memuse.html,alfred,chrome,memuse,clojurescript,lazy,reservoir,100,NaN,14003,159,88.07,642.88
