Path,Hostname,Platform,Benchmark,Language,Transform,Estimator,YieldInterval,TimePerElapsed,RunningTime,NumYields,AvgLatency,VarLatency
perf/lazy-wrapper-dart_dart2js-DeltaBlue.js,alfred,chrome,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,91,3,30.33,498.07
perf/original-wrapper-dart_dart2js-DeltaBlue.js,alfred,chrome,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2110,0,Infinity,0
perf/lazy-direct-dart_dart2js-DeltaBlue.js,kate,firefox,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,45,6,7.50,29.54
perf/original-direct-dart_dart2js-DeltaBlue.js,kate,firefox,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2117,0,Infinity,0
perf/lazy-wrapper-scala-DeltaBlue.js,alfred,chrome,DeltaBlue,scala,lazy,reservoir,100,NaN,130405,1400,93.15,818.02
perf/original-wrapper-scala-DeltaBlue.js,alfred,chrome,DeltaBlue,scala,original,countdown,NaN,NaN,8041,0,Infinity,0
perf/lazy-direct-scala-DeltaBlue.js,alfred,firefox,DeltaBlue,scala,lazy,reservoir,100,NaN,290231,2908,99.80,2537.21
perf/original-direct-scala-DeltaBlue.js,alfred,firefox,DeltaBlue,scala,original,countdown,NaN,NaN,13898,0,Infinity,0
perf/lazy-wrapper-dart_dart2js-FluidMotion.js,alfred,chrome,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,117,4,29.25,545.55
perf/original-wrapper-dart_dart2js-FluidMotion.js,kate,chrome,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2337,0,Infinity,0
perf/lazy-direct-dart_dart2js-FluidMotion.js,kate,firefox,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,43,3,14.33,79.74
perf/original-direct-dart_dart2js-FluidMotion.js,kate,firefox,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2270,0,Infinity,0
perf/lazy-wrapper-scala-NBody.js,kate,chrome,NBody,scala,lazy,reservoir,100,NaN,460118,4940,93.14,442.37
perf/original-wrapper-scala-NBody.js,alfred,chrome,NBody,scala,original,countdown,NaN,NaN,35296,0,Infinity,0
perf/original-direct-scala-NBody.js,kate,firefox,NBody,scala,original,countdown,NaN,NaN,18307,0,Infinity,0
perf/lazy-wrapper-dart_dart2js-Richards.js,kate,chrome,Richards,dart_dart2js,lazy,reservoir,100,NaN,39,2,19.50,171.13
perf/original-wrapper-dart_dart2js-Richards.js,alfred,chrome,Richards,dart_dart2js,original,countdown,NaN,NaN,2112,0,Infinity,0
perf/lazy-direct-dart_dart2js-Richards.js,alfred,firefox,Richards,dart_dart2js,lazy,reservoir,100,NaN,80,3,26.67,268.52
perf/original-direct-dart_dart2js-Richards.js,kate,firefox,Richards,dart_dart2js,original,countdown,NaN,NaN,2109,0,Infinity,0
perf/lazy-wrapper-scala-Richards.js,kate,chrome,Richards,scala,lazy,reservoir,100,NaN,31290,320,97.78,797.51
perf/original-wrapper-scala-Richards.js,alfred,chrome,Richards,scala,original,countdown,NaN,NaN,2730,0,Infinity,0
perf/lazy-direct-scala-Richards.js,kate,firefox,Richards,scala,lazy,reservoir,100,NaN,102335,1190,86.00,1798.01
perf/original-direct-scala-Richards.js,alfred,firefox,Richards,scala,original,countdown,NaN,NaN,4856,0,Infinity,0
perf/lazy-wrapper-scala-SHA512.js,alfred,chrome,SHA512,scala,lazy,reservoir,100,NaN,147755,1501,98.44,473.14
perf/original-wrapper-scala-SHA512.js,alfred,chrome,SHA512,scala,original,countdown,NaN,NaN,6161,0,Infinity,0
perf/lazy-direct-scala-SHA512.js,alfred,firefox,SHA512,scala,lazy,reservoir,100,NaN,424001,5153,82.28,530.37
perf/original-direct-scala-SHA512.js,kate,firefox,SHA512,scala,original,countdown,NaN,NaN,5188,0,Infinity,0
perf/lazy-wrapper-scala-Sudoku.js,alfred,chrome,Sudoku,scala,lazy,reservoir,100,NaN,183716,1911,96.14,629.83
perf/original-wrapper-scala-Sudoku.js,alfred,chrome,Sudoku,scala,original,countdown,NaN,NaN,9309,0,Infinity,0
perf/lazy-direct-scala-Sudoku.js,kate,firefox,Sudoku,scala,lazy,reservoir,100,NaN,406056,4015,101.13,1683.65
perf/original-direct-scala-Sudoku.js,kate,firefox,Sudoku,scala,original,countdown,NaN,NaN,11501,0,Infinity,0
perf/lazy-wrapper-dart_dart2js-Tracer.js,alfred,chrome,Tracer,dart_dart2js,lazy,reservoir,100,NaN,86,5,17.20,185.23
perf/original-wrapper-dart_dart2js-Tracer.js,kate,chrome,Tracer,dart_dart2js,original,countdown,NaN,NaN,2114,0,Infinity,0
perf/lazy-direct-dart_dart2js-Tracer.js,alfred,firefox,Tracer,dart_dart2js,lazy,reservoir,100,NaN,48,2,24.00,242.00
perf/original-direct-dart_dart2js-Tracer.js,kate,firefox,Tracer,dart_dart2js,original,countdown,NaN,NaN,2111,0,Infinity,0
perf/lazy-wrapper-racket_racketscript-ack.js,kate,chrome,ack,racket_racketscript,lazy,reservoir,100,NaN,110335,610,180.88,6548.93
perf/original-wrapper-racket_racketscript-ack.js,alfred,chrome,ack,racket_racketscript,original,countdown,NaN,NaN,3507,0,Infinity,0
perf/original-direct-racket_racketscript-ack.js,alfred,firefox,ack,racket_racketscript,original,countdown,NaN,NaN,11134,0,Infinity,0
perf/lazy-wrapper-ocaml-almabench.js,alfred,chrome,almabench,ocaml,lazy,reservoir,100,NaN,21750,267,81.46,1152.11
perf/original-wrapper-ocaml-almabench.js,kate,chrome,almabench,ocaml,original,countdown,NaN,NaN,4878,0,Infinity,0
perf/lazy-direct-ocaml-almabench.js,alfred,firefox,almabench,ocaml,lazy,reservoir,100,NaN,41013,434,94.50,2416.71
perf/original-direct-ocaml-almabench.js,kate,firefox,almabench,ocaml,original,countdown,NaN,NaN,4022,0,Infinity,0
perf/lazy-wrapper-python_pyjs-anagram.js,kate,chrome,anagram,python_pyjs,lazy,reservoir,100,NaN,8992,85,105.79,14323.92
