Path,Hostname,Platform,Benchmark,Language,Transform,Estimator,YieldInterval,TimePerElapsed,RunningTime,NumYields,AvgLatency,VarLatency
aug31/lazy-scala-DeltaBlue-single.html,desktop,chrome,DeltaBlue-single,scala,lazy,reservoir,100,NaN,962,7,137.43,9321.32
aug31/original-scala-DeltaBlue-single.html,william,chrome,DeltaBlue-single,scala,original,countdown,NaN,NaN,83,0,Infinity,0
aug31/lazy-scala-DeltaBlue-single.html,desktop,firefox,DeltaBlue-single,scala,lazy,reservoir,100,NaN,720,12,60.00,5243.17
aug31/original-scala-DeltaBlue-single.html,william,firefox,DeltaBlue-single,scala,original,countdown,NaN,NaN,110,0,Infinity,0
aug31/lazy-dart_dart2js-DeltaBlue.html,sam-desktop,chrome,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,2211,27,81.89,908.15
aug31/original-dart_dart2js-DeltaBlue.html,desktop,chrome,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2110,0,Infinity,0
aug31/lazy-dart_dart2js-DeltaBlue.html,desktop,firefox,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,2221,26,85.42,1843.14
aug31/original-dart_dart2js-DeltaBlue.html,william,firefox,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2114,0,Infinity,0
aug31/lazy-scala-DeltaBlue.html,kate,chrome,DeltaBlue,scala,lazy,reservoir,100,NaN,58444,580,100.77,712.48
aug31/original-scala-DeltaBlue.html,william,chrome,DeltaBlue,scala,original,countdown,NaN,NaN,5826,0,Infinity,0
aug31/lazy-scala-DeltaBlue.html,william,firefox,DeltaBlue,scala,lazy,reservoir,100,NaN,152593,1494,102.14,5295.16
aug31/original-scala-DeltaBlue.html,sam-desktop,firefox,DeltaBlue,scala,original,countdown,NaN,NaN,8726,0,Infinity,0
aug31/lazy-dart_dart2js-FluidMotion.html,william,chrome,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,3705,46,80.54,3623.50
aug31/original-dart_dart2js-FluidMotion.html,desktop,chrome,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2186,0,Infinity,0
aug31/lazy-dart_dart2js-FluidMotion.html,kate,firefox,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,4352,55,79.13,2657.37
aug31/original-dart_dart2js-FluidMotion.html,kate,firefox,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2179,0,Infinity,0
aug31/lazy-scala-Richards-single.html,william,chrome,Richards-single,scala,lazy,reservoir,100,NaN,1042,2,521.00,134162.00
aug31/original-scala-Richards-single.html,william,chrome,Richards-single,scala,original,countdown,NaN,NaN,22,0,Infinity,0
aug31/lazy-scala-Richards-single.html,sam-desktop,firefox,Richards-single,scala,lazy,reservoir,100,NaN,260,3,86.67,4400.19
aug31/original-scala-Richards-single.html,william,firefox,Richards-single,scala,original,countdown,NaN,NaN,16,0,Infinity,0
aug31/lazy-dart_dart2js-Richards.html,sam-desktop,chrome,Richards,dart_dart2js,lazy,reservoir,100,NaN,2195,23,95.43,951.98
aug31/original-dart_dart2js-Richards.html,william,chrome,Richards,dart_dart2js,original,countdown,NaN,NaN,2109,0,Infinity,0
aug31/lazy-dart_dart2js-Richards.html,desktop,firefox,Richards,dart_dart2js,lazy,reservoir,100,NaN,2194,28,78.36,1086.79
aug31/original-dart_dart2js-Richards.html,desktop,firefox,Richards,dart_dart2js,original,countdown,NaN,NaN,2108,0,Infinity,0
aug31/lazy-scala-Richards.html,desktop,chrome,Richards,scala,lazy,reservoir,100,NaN,13413,118,113.67,535.03
aug31/original-scala-Richards.html,william,chrome,Richards,scala,original,countdown,NaN,NaN,1642,0,Infinity,0
aug31/lazy-scala-Richards.html,desktop,firefox,Richards,scala,lazy,reservoir,100,NaN,23707,235,100.88,3071.90
aug31/original-scala-Richards.html,william,firefox,Richards,scala,original,countdown,NaN,NaN,3293,0,Infinity,0
aug31/lazy-scala-SHA512-single.html,sam-desktop,chrome,SHA512-single,scala,lazy,reservoir,100,NaN,8016,82,97.76,1502.55
aug31/original-scala-SHA512-single.html,sam-desktop,chrome,SHA512-single,scala,original,countdown,NaN,NaN,280,0,Infinity,0
aug31/lazy-scala-SHA512-single.html,desktop,firefox,SHA512-single,scala,lazy,reservoir,100,NaN,10634,114,93.28,1806.10
aug31/original-scala-SHA512-single.html,william,firefox,SHA512-single,scala,original,countdown,NaN,NaN,983,0,Infinity,0
aug31/lazy-scala-SHA512.html,william,chrome,SHA512,scala,lazy,reservoir,100,NaN,169308,1712,98.89,95.32
aug31/original-scala-SHA512.html,william,chrome,SHA512,scala,original,countdown,NaN,NaN,4549,0,Infinity,0
aug31/lazy-scala-SHA512.html,desktop,firefox,SHA512,scala,lazy,reservoir,100,NaN,191679,2020,94.89,3985.60
aug31/original-scala-SHA512.html,william,firefox,SHA512,scala,original,countdown,NaN,NaN,4033,0,Infinity,0
aug31/lazy-scala-Sudoku-single.html,william,chrome,Sudoku-single,scala,lazy,reservoir,100,NaN,3838,21,182.76,17953.17
aug31/original-scala-Sudoku-single.html,william,chrome,Sudoku-single,scala,original,countdown,NaN,NaN,136,0,Infinity,0
aug31/lazy-scala-Sudoku-single.html,william,firefox,Sudoku-single,scala,lazy,reservoir,100,NaN,2723,15,181.53,64200.92
aug31/original-scala-Sudoku-single.html,william,firefox,Sudoku-single,scala,original,countdown,NaN,NaN,178,0,Infinity,0
aug31/lazy-scala-Sudoku.html,sam-desktop,chrome,Sudoku,scala,lazy,reservoir,100,NaN,66263,669,99.05,294.54
aug31/original-scala-Sudoku.html,sam-desktop,chrome,Sudoku,scala,original,countdown,NaN,NaN,7277,0,Infinity,0
aug31/lazy-scala-Sudoku.html,kate,firefox,Sudoku,scala,lazy,reservoir,100,NaN,203412,2014,101.00,4255.25
aug31/original-scala-Sudoku.html,william,firefox,Sudoku,scala,original,countdown,NaN,NaN,9436,0,Infinity,0
aug31/lazy-dart_dart2js-Tracer.html,william,chrome,Tracer,dart_dart2js,lazy,reservoir,100,NaN,2248,29,77.52,1233.81
