Path,Hostname,Platform,Benchmark,Language,Transform,Estimator,YieldInterval,TimePerElapsed,RunningTime,NumYields,AvgLatency,VarLatency
perf/lazy-wrapper-dart_dart2js-DeltaBlue.html,alfred,chrome,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,2314,35,66.11,1867.25
perf/original-wrapper-dart_dart2js-DeltaBlue.html,kate,chrome,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2117,0,Infinity,0
perf/lazy-direct-dart_dart2js-DeltaBlue.html,alfred,firefox,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,2221,33,67.30,2064.53
perf/original-direct-dart_dart2js-DeltaBlue.html,alfred,firefox,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2118,0,Infinity,0
perf/lazy-wrapper-scala-DeltaBlue.html,kate,chrome,DeltaBlue,scala,lazy,reservoir,100,NaN,72957,861,84.74,1094.52
perf/original-wrapper-scala-DeltaBlue.html,kate,chrome,DeltaBlue,scala,original,countdown,NaN,NaN,5494,0,Infinity,0
perf/lazy-direct-scala-DeltaBlue.html,alfred,firefox,DeltaBlue,scala,lazy,reservoir,100,NaN,225757,2375,95.06,7426.79
perf/original-direct-scala-DeltaBlue.html,alfred,firefox,DeltaBlue,scala,original,countdown,NaN,NaN,14269,0,Infinity,0
perf/lazy-wrapper-dart_dart2js-FluidMotion.html,kate,chrome,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,3986,54,73.81,2845.86
perf/original-wrapper-dart_dart2js-FluidMotion.html,kate,chrome,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2232,0,Infinity,0
perf/lazy-direct-dart_dart2js-FluidMotion.html,alfred,firefox,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,5950,60,99.17,4588.16
perf/original-direct-dart_dart2js-FluidMotion.html,alfred,firefox,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2234,0,Infinity,0
perf/lazy-wrapper-dart_dart2js-Richards.html,alfred,chrome,Richards,dart_dart2js,lazy,reservoir,100,NaN,2308,26,88.77,1799.56
perf/original-wrapper-dart_dart2js-Richards.html,alfred,chrome,Richards,dart_dart2js,original,countdown,NaN,NaN,2110,0,Infinity,0
perf/lazy-direct-dart_dart2js-Richards.html,alfred,firefox,Richards,dart_dart2js,lazy,reservoir,100,NaN,2278,26,87.62,1366.54
perf/original-direct-dart_dart2js-Richards.html,kate,firefox,Richards,dart_dart2js,original,countdown,NaN,NaN,2121,0,Infinity,0
perf/lazy-wrapper-scala-Richards.html,alfred,chrome,Richards,scala,lazy,reservoir,100,NaN,26037,222,117.28,1104.00
perf/original-wrapper-scala-Richards.html,kate,chrome,Richards,scala,original,countdown,NaN,NaN,1616,0,Infinity,0
perf/lazy-direct-scala-Richards.html,kate,firefox,Richards,scala,lazy,reservoir,100,NaN,43555,435,100.13,11080.41
perf/original-direct-scala-Richards.html,alfred,firefox,Richards,scala,original,countdown,NaN,NaN,5743,0,Infinity,0
perf/lazy-wrapper-scala-SHA512.html,alfred,chrome,SHA512,scala,lazy,reservoir,100,NaN,159681,1580,101.06,476.53
perf/original-wrapper-scala-SHA512.html,alfred,chrome,SHA512,scala,original,countdown,NaN,NaN,6440,0,Infinity,0
perf/lazy-direct-scala-SHA512.html,alfred,firefox,SHA512,scala,lazy,reservoir,100,NaN,80057,851,94.07,11110.18
perf/original-direct-scala-SHA512.html,alfred,firefox,SHA512,scala,original,countdown,NaN,NaN,5123,0,Infinity,0
