Path,Hostname,Platform,Benchmark,Language,Transform,Estimator,YieldInterval,TimePerElapsed,RunningTime,NumYields,AvgLatency,VarLatency
perf/lazy-wrapper-dart_dart2js-DeltaBlue.html,alfred,chrome,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,2282,42,54.33,1065.91
perf/original-wrapper-dart_dart2js-DeltaBlue.html,kate,chrome,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2132,0,Infinity,0
perf/lazy-direct-dart_dart2js-DeltaBlue.html,alfred,firefox,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,2287,24,95.29,6847.13
perf/original-direct-dart_dart2js-DeltaBlue.html,alfred,firefox,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2112,0,Infinity,0
perf/lazy-wrapper-scala-DeltaBlue.html,alfred,chrome,DeltaBlue,scala,lazy,reservoir,100,NaN,83204,850,97.89,867.13
perf/original-wrapper-scala-DeltaBlue.html,kate,chrome,DeltaBlue,scala,original,countdown,NaN,NaN,5891,0,Infinity,0
perf/lazy-direct-scala-DeltaBlue.html,alfred,firefox,DeltaBlue,scala,lazy,reservoir,100,NaN,241989,3148,76.87,5755.79
perf/original-direct-scala-DeltaBlue.html,kate,firefox,DeltaBlue,scala,original,countdown,NaN,NaN,12427,0,Infinity,0
perf/lazy-wrapper-dart_dart2js-FluidMotion.html,alfred,chrome,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,4941,74,66.77,2007.60
perf/original-wrapper-dart_dart2js-FluidMotion.html,kate,chrome,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2300,0,Infinity,0
perf/lazy-direct-dart_dart2js-FluidMotion.html,kate,firefox,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,4883,54,90.43,1420.08
perf/original-direct-dart_dart2js-FluidMotion.html,kate,firefox,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2180,0,Infinity,0
perf/lazy-wrapper-dart_dart2js-Richards.html,alfred,chrome,Richards,dart_dart2js,lazy,reservoir,100,NaN,2288,23,99.48,2338.29
perf/original-wrapper-dart_dart2js-Richards.html,kate,chrome,Richards,dart_dart2js,original,countdown,NaN,NaN,2111,0,Infinity,0
perf/lazy-direct-dart_dart2js-Richards.html,alfred,firefox,Richards,dart_dart2js,lazy,reservoir,100,NaN,2268,25,90.72,1668.23
perf/original-direct-dart_dart2js-Richards.html,alfred,firefox,Richards,dart_dart2js,original,countdown,NaN,NaN,2106,0,Infinity,0
perf/lazy-wrapper-scala-Richards.html,alfred,chrome,Richards,scala,lazy,reservoir,100,NaN,26346,235,112.11,1344.12
perf/original-wrapper-scala-Richards.html,alfred,chrome,Richards,scala,original,countdown,NaN,NaN,2612,0,Infinity,0
