Path,Hostname,Platform,Benchmark,Language,Transform,Estimator,YieldInterval,TimePerElapsed,RunningTime,NumYields,AvgLatency,VarLatency
bench/lazy-wrapper-dart_dart2js-DeltaBlue.js,sam-desktop,chrome,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,2138,24,89.08,923.91
bench/original-wrapper-dart_dart2js-DeltaBlue.js,alfred,chrome,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2111,0,Infinity,0
bench/lazy-direct-dart_dart2js-DeltaBlue.js,alfred,firefox,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,2150,25,86.00,1536.16
bench/original-direct-dart_dart2js-DeltaBlue.js,alfred,firefox,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2112,0,Infinity,0
bench/lazy-wrapper-scala-DeltaBlue.js,william,chrome,DeltaBlue,scala,lazy,reservoir,100,NaN,70734,815,86.79,657.72
bench/original-wrapper-scala-DeltaBlue.js,william,chrome,DeltaBlue,scala,original,countdown,NaN,NaN,5345,0,Infinity,0
bench/lazy-direct-scala-DeltaBlue.js,desktop,firefox,DeltaBlue,scala,lazy,reservoir,100,NaN,125484,1270,98.81,3760.02
bench/original-direct-scala-DeltaBlue.js,william,firefox,DeltaBlue,scala,original,countdown,NaN,NaN,10941,0,Infinity,0
bench/lazy-wrapper-dart_dart2js-FluidMotion.js,kate,chrome,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,3695,41,90.12,3963.96
bench/original-wrapper-dart_dart2js-FluidMotion.js,william,chrome,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2173,0,Infinity,0
bench/lazy-direct-dart_dart2js-FluidMotion.js,desktop,firefox,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,4131,57,72.47,1411.76
bench/original-direct-dart_dart2js-FluidMotion.js,william,firefox,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2170,0,Infinity,0
bench/lazy-wrapper-dart_dart2js-Richards.js,alfred,chrome,Richards,dart_dart2js,lazy,reservoir,100,NaN,2176,23,94.61,998.72
bench/original-wrapper-dart_dart2js-Richards.js,kate,chrome,Richards,dart_dart2js,original,countdown,NaN,NaN,2109,0,Infinity,0
bench/lazy-direct-dart_dart2js-Richards.js,william,firefox,Richards,dart_dart2js,lazy,reservoir,100,NaN,2140,22,97.27,1289.67
bench/original-direct-dart_dart2js-Richards.js,kate,firefox,Richards,dart_dart2js,original,countdown,NaN,NaN,2113,0,Infinity,0
bench/lazy-wrapper-scala-Richards.js,william,chrome,Richards,scala,lazy,reservoir,100,NaN,20117,182,110.53,792.22
bench/original-wrapper-scala-Richards.js,william,chrome,Richards,scala,original,countdown,NaN,NaN,1608,0,Infinity,0
bench/lazy-direct-scala-Richards.js,kate,firefox,Richards,scala,lazy,reservoir,100,NaN,42708,381,112.09,9125.96
bench/original-direct-scala-Richards.js,kate,firefox,Richards,scala,original,countdown,NaN,NaN,4516,0,Infinity,0
bench/lazy-wrapper-scala-SHA512.js,kate,chrome,SHA512,scala,lazy,reservoir,100,NaN,114046,1128,101.10,491.84
bench/original-wrapper-scala-SHA512.js,alfred,chrome,SHA512,scala,original,countdown,NaN,NaN,4855,0,Infinity,0
bench/lazy-direct-scala-SHA512.js,alfred,firefox,SHA512,scala,lazy,reservoir,100,NaN,122353,1247,98.12,6567.74
bench/original-direct-scala-SHA512.js,william,firefox,SHA512,scala,original,countdown,NaN,NaN,4093,0,Infinity,0
bench/lazy-wrapper-scala-Sudoku.js,william,chrome,Sudoku,scala,lazy,reservoir,100,NaN,112994,1236,91.42,556.52
bench/original-wrapper-scala-Sudoku.js,desktop,chrome,Sudoku,scala,original,countdown,NaN,NaN,6783,0,Infinity,0
bench/lazy-direct-scala-Sudoku.js,alfred,firefox,Sudoku,scala,lazy,reservoir,100,NaN,271400,3409,79.61,3164.74
bench/original-direct-scala-Sudoku.js,alfred,firefox,Sudoku,scala,original,countdown,NaN,NaN,11287,0,Infinity,0
bench/lazy-wrapper-dart_dart2js-Tracer.js,sam-desktop,chrome,Tracer,dart_dart2js,lazy,reservoir,100,NaN,2169,28,77.46,759.17
bench/original-wrapper-dart_dart2js-Tracer.js,sam-desktop,chrome,Tracer,dart_dart2js,original,countdown,NaN,NaN,2108,0,Infinity,0
bench/lazy-direct-dart_dart2js-Tracer.js,alfred,firefox,Tracer,dart_dart2js,lazy,reservoir,100,NaN,2266,30,75.53,1191.07
bench/original-direct-dart_dart2js-Tracer.js,desktop,firefox,Tracer,dart_dart2js,original,countdown,NaN,NaN,2108,0,Infinity,0
bench/lazy-wrapper-racket_racketscript-ack.js,alfred,chrome,ack,racket_racketscript,lazy,reservoir,100,NaN,120853,801,150.88,4516.59
bench/original-wrapper-racket_racketscript-ack.js,kate,chrome,ack,racket_racketscript,original,countdown,NaN,NaN,3140,0,Infinity,0
bench/original-direct-racket_racketscript-ack.js,kate,firefox,ack,racket_racketscript,original,countdown,NaN,NaN,8365,0,Infinity,0
bench/lazy-wrapper-ocaml-almabench.js,sam-desktop,chrome,almabench,ocaml,lazy,reservoir,100,NaN,35564,364,97.70,51.06
bench/original-wrapper-ocaml-almabench.js,william,chrome,almabench,ocaml,original,countdown,NaN,NaN,4624,0,Infinity,0
bench/lazy-direct-ocaml-almabench.js,alfred,firefox,almabench,ocaml,lazy,reservoir,100,NaN,24877,302,82.37,3060.48
bench/original-direct-ocaml-almabench.js,william,firefox,almabench,ocaml,original,countdown,NaN,NaN,3906,0,Infinity,0
bench/lazy-wrapper-python_pyjs-b.js,kate,chrome,b,python_pyjs,lazy,reservoir,100,NaN,2974,40,74.35,2559.76
