Path,Hostname,Platform,Benchmark,Language,Transform,Estimator,YieldInterval,TimePerElapsed,RunningTime,NumYields,AvgLatency,VarLatency
perf/original-wrapper-javascript-3d-cube.js,alfred,chrome,3d-cube,javascript,original,countdown,NaN,NaN,1510,0,Infinity,0
perf/lazy-direct-javascript-3d-cube.js,kate,firefox,3d-cube,javascript,lazy,reservoir,100,NaN,21728,217,100.13,1525.28
perf/original-direct-javascript-3d-cube.js,kate,firefox,3d-cube,javascript,original,countdown,NaN,NaN,1044,0,Infinity,0
perf/lazy-wrapper-javascript-3d-raytrace.js,alfred,chrome,3d-raytrace,javascript,lazy,reservoir,100,NaN,5626,62,90.74,559.52
perf/original-wrapper-javascript-3d-raytrace.js,william,chrome,3d-raytrace,javascript,original,countdown,NaN,NaN,2220,0,Infinity,0
perf/lazy-direct-javascript-3d-raytrace.js,william,firefox,3d-raytrace,javascript,lazy,reservoir,100,NaN,10120,109,92.84,528.70
perf/original-direct-javascript-3d-raytrace.js,william,firefox,3d-raytrace,javascript,original,countdown,NaN,NaN,2740,0,Infinity,0
perf/lazy-wrapper-dart_dart2js-DeltaBlue.js,william,chrome,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,72,8,9.00,58.63
perf/original-wrapper-dart_dart2js-DeltaBlue.js,alfred,chrome,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2113,0,Infinity,0
perf/lazy-direct-dart_dart2js-DeltaBlue.js,kate,firefox,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,44,2,22.00,162.00
perf/original-direct-dart_dart2js-DeltaBlue.js,william,firefox,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2114,0,Infinity,0
perf/lazy-wrapper-scala-DeltaBlue.js,william,chrome,DeltaBlue,scala,lazy,reservoir,100,NaN,127374,1485,85.77,440.52
perf/original-wrapper-scala-DeltaBlue.js,alfred,chrome,DeltaBlue,scala,original,countdown,NaN,NaN,5688,0,Infinity,0
perf/original-direct-scala-DeltaBlue.js,alfred,firefox,DeltaBlue,scala,original,countdown,NaN,NaN,10742,0,Infinity,0
perf/lazy-wrapper-scala-Fannkuchredux.js,william,chrome,Fannkuchredux,scala,lazy,reservoir,100,NaN,46073,617,74.67,1645.41
perf/original-wrapper-scala-Fannkuchredux.js,william,chrome,Fannkuchredux,scala,original,countdown,NaN,NaN,719,0,Infinity,0
perf/lazy-direct-scala-Fannkuchredux.js,william,firefox,Fannkuchredux,scala,lazy,reservoir,100,NaN,102610,1020,100.60,340.67
perf/original-direct-scala-Fannkuchredux.js,kate,firefox,Fannkuchredux,scala,original,countdown,NaN,NaN,532,0,Infinity,0
perf/lazy-wrapper-scala-Fasta.js,kate,chrome,Fasta,scala,lazy,reservoir,100,NaN,8663,99,87.51,698.86
perf/original-wrapper-scala-Fasta.js,william,chrome,Fasta,scala,original,countdown,NaN,NaN,229,0,Infinity,0
perf/lazy-direct-scala-Fasta.js,alfred,firefox,Fasta,scala,lazy,reservoir,100,NaN,20981,218,96.24,473.59
perf/original-direct-scala-Fasta.js,alfred,firefox,Fasta,scala,original,countdown,NaN,NaN,423,0,Infinity,0
perf/lazy-wrapper-dart_dart2js-FluidMotion.js,alfred,chrome,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,41,2,20.50,190.13
perf/original-wrapper-dart_dart2js-FluidMotion.js,kate,chrome,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2180,0,Infinity,0
perf/lazy-direct-dart_dart2js-FluidMotion.js,alfred,firefox,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,48,2,24.00,162.00
perf/original-direct-dart_dart2js-FluidMotion.js,william,firefox,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2200,0,Infinity,0
perf/lazy-wrapper-scala-Meteor.js,kate,chrome,Meteor,scala,lazy,reservoir,100,NaN,28443,312,91.16,691.08
perf/original-wrapper-scala-Meteor.js,alfred,chrome,Meteor,scala,original,countdown,NaN,NaN,1458,0,Infinity,0
perf/lazy-direct-scala-Meteor.js,alfred,firefox,Meteor,scala,lazy,reservoir,100,NaN,106519,1023,104.12,6682.92
perf/original-direct-scala-Meteor.js,william,firefox,Meteor,scala,original,countdown,NaN,NaN,2045,0,Infinity,0
perf/lazy-wrapper-scala-NBody.js,alfred,chrome,NBody,scala,lazy,reservoir,100,NaN,447365,5285,84.65,155.29
perf/original-wrapper-scala-NBody.js,william,chrome,NBody,scala,original,countdown,NaN,NaN,9373,0,Infinity,0
perf/original-direct-scala-NBody.js,alfred,firefox,NBody,scala,original,countdown,NaN,NaN,18016,0,Infinity,0
perf/lazy-wrapper-scala-Pidigits3.js,alfred,chrome,Pidigits3,scala,lazy,reservoir,100,NaN,55791,580,96.19,275.22
perf/original-wrapper-scala-Pidigits3.js,william,chrome,Pidigits3,scala,original,countdown,NaN,NaN,1706,0,Infinity,0
perf/lazy-direct-scala-Pidigits3.js,alfred,firefox,Pidigits3,scala,lazy,reservoir,100,NaN,132903,1596,83.27,578.58
perf/original-direct-scala-Pidigits3.js,kate,firefox,Pidigits3,scala,original,countdown,NaN,NaN,2916,0,Infinity,0
perf/lazy-wrapper-dart_dart2js-Richards.js,alfred,chrome,Richards,dart_dart2js,lazy,reservoir,100,NaN,53,3,17.67,185.19
perf/original-wrapper-dart_dart2js-Richards.js,alfred,chrome,Richards,dart_dart2js,original,countdown,NaN,NaN,2107,0,Infinity,0
perf/lazy-direct-dart_dart2js-Richards.js,kate,firefox,Richards,dart_dart2js,lazy,reservoir,100,NaN,46,2,23.00,220.50
perf/original-direct-dart_dart2js-Richards.js,william,firefox,Richards,dart_dart2js,original,countdown,NaN,NaN,2109,0,Infinity,0
perf/lazy-wrapper-scala-Richards.js,kate,chrome,Richards,scala,lazy,reservoir,100,NaN,27034,279,96.90,268.79
perf/original-wrapper-scala-Richards.js,william,chrome,Richards,scala,original,countdown,NaN,NaN,1970,0,Infinity,0
perf/lazy-direct-scala-Richards.js,kate,firefox,Richards,scala,lazy,reservoir,100,NaN,77537,771,100.57,1475.16
perf/original-direct-scala-Richards.js,alfred,firefox,Richards,scala,original,countdown,NaN,NaN,3665,0,Infinity,0
perf/lazy-wrapper-scala-SHA512.js,william,chrome,SHA512,scala,lazy,reservoir,100,NaN,120353,1246,96.59,201.83
perf/original-wrapper-scala-SHA512.js,alfred,chrome,SHA512,scala,original,countdown,NaN,NaN,4447,0,Infinity,0
perf/lazy-direct-scala-SHA512.js,william,firefox,SHA512,scala,lazy,reservoir,100,NaN,353741,3648,96.97,336.33
perf/original-direct-scala-SHA512.js,william,firefox,SHA512,scala,original,countdown,NaN,NaN,4391,0,Infinity,0
perf/lazy-wrapper-scala-Sudoku.js,kate,chrome,Sudoku,scala,lazy,reservoir,100,NaN,150692,1617,93.19,380.04
perf/original-wrapper-scala-Sudoku.js,alfred,chrome,Sudoku,scala,original,countdown,NaN,NaN,8328,0,Infinity,0
perf/original-direct-scala-Sudoku.js,william,firefox,Sudoku,scala,original,countdown,NaN,NaN,11930,0,Infinity,0
perf/lazy-wrapper-dart_dart2js-Tracer.js,kate,chrome,Tracer,dart_dart2js,lazy,reservoir,100,NaN,53,6,8.83,56.69
perf/original-wrapper-dart_dart2js-Tracer.js,kate,chrome,Tracer,dart_dart2js,original,countdown,NaN,NaN,2110,0,Infinity,0
perf/lazy-direct-dart_dart2js-Tracer.js,kate,firefox,Tracer,dart_dart2js,lazy,reservoir,100,NaN,58,3,19.33,97.52
perf/original-direct-dart_dart2js-Tracer.js,alfred,firefox,Tracer,dart_dart2js,original,countdown,NaN,NaN,2114,0,Infinity,0
perf/lazy-wrapper-scala-Tracer.js,william,chrome,Tracer,scala,lazy,reservoir,100,NaN,9902,99,100.02,809.86
perf/original-wrapper-scala-Tracer.js,william,chrome,Tracer,scala,original,countdown,NaN,NaN,226,0,Infinity,0
perf/lazy-direct-scala-Tracer.js,william,firefox,Tracer,scala,lazy,reservoir,100,NaN,23443,256,91.57,781.25
perf/original-direct-scala-Tracer.js,william,firefox,Tracer,scala,original,countdown,NaN,NaN,379,0,Infinity,0
perf/lazy-wrapper-javascript-access-binary-trees.js,kate,chrome,access-binary-trees,javascript,lazy,reservoir,100,NaN,29081,291,99.93,156.05
perf/original-wrapper-javascript-access-binary-trees.js,alfred,chrome,access-binary-trees,javascript,original,countdown,NaN,NaN,3690,0,Infinity,0
perf/lazy-direct-javascript-access-binary-trees.js,kate,firefox,access-binary-trees,javascript,lazy,reservoir,100,NaN,77904,817,95.35,1241.61
