Path,Hostname,Platform,Benchmark,Language,Transform,Estimator,YieldInterval,TimePerElapsed,RunningTime,NumYields,AvgLatency,VarLatency
sep2/lazy-scala-DeltaBlue-single.html,william,chrome,DeltaBlue-single,scala,lazy,reservoir,100,NaN,1470,8,183.75,11391.55
sep2/original-scala-DeltaBlue-single.html,alfred,chrome,DeltaBlue-single,scala,original,countdown,NaN,NaN,83,0,Infinity,0
sep2/lazy-dart_dart2js-DeltaBlue.html,alfred,chrome,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,2244,27,83.11,1223.50
sep2/original-dart_dart2js-DeltaBlue.html,alfred,chrome,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2111,0,Infinity,0
sep2/lazy-scala-DeltaBlue.html,alfred,chrome,DeltaBlue,scala,lazy,reservoir,100,NaN,53014,566,93.66,1130.52
sep2/original-scala-DeltaBlue.html,william,chrome,DeltaBlue,scala,original,countdown,NaN,NaN,5409,0,Infinity,0
sep2/lazy-dart_dart2js-FluidMotion.html,william,chrome,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,4308,48,89.75,2436.10
sep2/original-dart_dart2js-FluidMotion.html,alfred,chrome,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2197,0,Infinity,0
sep2/lazy-scala-Richards-single.html,william,chrome,Richards-single,scala,lazy,reservoir,100,NaN,964,3,321.33,67769.96
sep2/original-scala-Richards-single.html,alfred,chrome,Richards-single,scala,original,countdown,NaN,NaN,24,0,Infinity,0
sep2/lazy-dart_dart2js-Richards.html,alfred,chrome,Richards,dart_dart2js,lazy,reservoir,100,NaN,2234,23,97.13,1440.10
sep2/original-dart_dart2js-Richards.html,william,chrome,Richards,dart_dart2js,original,countdown,NaN,NaN,2112,0,Infinity,0
sep2/lazy-scala-Richards.html,alfred,chrome,Richards,scala,lazy,reservoir,100,NaN,17992,161,111.75,1331.66
sep2/original-scala-Richards.html,alfred,chrome,Richards,scala,original,countdown,NaN,NaN,1803,0,Infinity,0
sep2/lazy-scala-SHA512-single.html,william,chrome,SHA512-single,scala,lazy,reservoir,100,NaN,8875,78,113.78,741.77
sep2/original-scala-SHA512-single.html,alfred,chrome,SHA512-single,scala,original,countdown,NaN,NaN,326,0,Infinity,0
sep2/lazy-scala-SHA512.html,william,chrome,SHA512,scala,lazy,reservoir,100,NaN,154603,1517,101.91,118.91
sep2/original-scala-SHA512.html,alfred,chrome,SHA512,scala,original,countdown,NaN,NaN,4415,0,Infinity,0
sep2/lazy-scala-Sudoku-single.html,alfred,chrome,Sudoku-single,scala,lazy,reservoir,100,NaN,4277,20,213.85,21754.87
sep2/original-scala-Sudoku-single.html,alfred,chrome,Sudoku-single,scala,original,countdown,NaN,NaN,136,0,Infinity,0
sep2/lazy-scala-Sudoku.html,alfred,chrome,Sudoku,scala,lazy,reservoir,100,NaN,79301,912,86.95,541.28
sep2/original-scala-Sudoku.html,william,chrome,Sudoku,scala,original,countdown,NaN,NaN,8662,0,Infinity,0
sep2/lazy-dart_dart2js-Tracer.html,william,chrome,Tracer,dart_dart2js,lazy,reservoir,100,NaN,2287,30,76.23,932.28
sep2/original-dart_dart2js-Tracer.html,alfred,chrome,Tracer,dart_dart2js,original,countdown,NaN,NaN,2119,0,Infinity,0
