Path,Hostname,Platform,Benchmark,Language,Transform,Estimator,YieldInterval,TimePerElapsed,RunningTime,NumYields,AvgLatency,VarLatency
bench/lazy-wrapper-dart_dart2js-DeltaBlue.js,alfred,chrome,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,2190,35,62.57,884.58
bench/original-wrapper-dart_dart2js-DeltaBlue.js,kate,chrome,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2109,0,Infinity,0
bench/lazy-direct-dart_dart2js-DeltaBlue.js,william,firefox,DeltaBlue,dart_dart2js,lazy,reservoir,100,NaN,2151,24,89.63,3063.49
bench/original-direct-dart_dart2js-DeltaBlue.js,sam-desktop,firefox,DeltaBlue,dart_dart2js,original,countdown,NaN,NaN,2121,0,Infinity,0
bench/lazy-wrapper-scala-DeltaBlue.js,alfred,chrome,DeltaBlue,scala,lazy,reservoir,100,NaN,67310,686,98.12,607.73
bench/original-wrapper-scala-DeltaBlue.js,sam-desktop,chrome,DeltaBlue,scala,original,countdown,NaN,NaN,4855,0,Infinity,0
bench/lazy-direct-scala-DeltaBlue.js,kate,firefox,DeltaBlue,scala,lazy,reservoir,100,NaN,165395,1750,94.51,6200.90
bench/original-direct-scala-DeltaBlue.js,alfred,firefox,DeltaBlue,scala,original,countdown,NaN,NaN,10355,0,Infinity,0
bench/lazy-wrapper-dart_dart2js-FluidMotion.js,sam-desktop,chrome,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,3442,42,81.95,2375.17
bench/original-wrapper-dart_dart2js-FluidMotion.js,william,chrome,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2229,0,Infinity,0
bench/lazy-direct-dart_dart2js-FluidMotion.js,william,firefox,FluidMotion,dart_dart2js,lazy,reservoir,100,NaN,5388,77,69.97,1294.86
bench/original-direct-dart_dart2js-FluidMotion.js,alfred,firefox,FluidMotion,dart_dart2js,original,countdown,NaN,NaN,2209,0,Infinity,0
bench/lazy-wrapper-dart_dart2js-Richards.js,alfred,chrome,Richards,dart_dart2js,lazy,reservoir,100,NaN,2141,24,89.21,980.28
bench/original-wrapper-dart_dart2js-Richards.js,alfred,chrome,Richards,dart_dart2js,original,countdown,NaN,NaN,2110,0,Infinity,0
bench/lazy-direct-dart_dart2js-Richards.js,kate,firefox,Richards,dart_dart2js,lazy,reservoir,100,NaN,2155,22,97.95,3049.65
bench/original-direct-dart_dart2js-Richards.js,sam-desktop,firefox,Richards,dart_dart2js,original,countdown,NaN,NaN,2106,0,Infinity,0
bench/lazy-wrapper-scala-Richards.js,kate,chrome,Richards,scala,lazy,reservoir,100,NaN,18443,166,111.10,545.31
bench/original-wrapper-scala-Richards.js,kate,chrome,Richards,scala,original,countdown,NaN,NaN,1733,0,Infinity,0
bench/lazy-direct-scala-Richards.js,alfred,firefox,Richards,scala,lazy,reservoir,100,NaN,41811,419,99.79,3308.86
bench/original-direct-scala-Richards.js,sam-desktop,firefox,Richards,scala,original,countdown,NaN,NaN,3033,0,Infinity,0
bench/lazy-wrapper-scala-SHA512.js,kate,chrome,SHA512,scala,lazy,reservoir,100,NaN,98529,983,100.23,360.08
bench/original-wrapper-scala-SHA512.js,william,chrome,SHA512,scala,original,countdown,NaN,NaN,4535,0,Infinity,0
bench/lazy-direct-scala-SHA512.js,william,firefox,SHA512,scala,lazy,reservoir,100,NaN,114479,1391,82.30,6053.00
bench/original-direct-scala-SHA512.js,william,firefox,SHA512,scala,original,countdown,NaN,NaN,4640,0,Infinity,0
bench/lazy-wrapper-scala-Sudoku.js,william,chrome,Sudoku,scala,lazy,reservoir,100,NaN,112304,1153,97.40,589.43
bench/original-wrapper-scala-Sudoku.js,kate,chrome,Sudoku,scala,original,countdown,NaN,NaN,9146,0,Infinity,0
bench/lazy-direct-scala-Sudoku.js,william,firefox,Sudoku,scala,lazy,reservoir,100,NaN,252317,2758,91.49,4564.55
bench/original-direct-scala-Sudoku.js,alfred,firefox,Sudoku,scala,original,countdown,NaN,NaN,10446,0,Infinity,0
bench/lazy-wrapper-dart_dart2js-Tracer.js,alfred,chrome,Tracer,dart_dart2js,lazy,reservoir,100,NaN,2188,29,75.45,1432.91
bench/original-wrapper-dart_dart2js-Tracer.js,sam-desktop,chrome,Tracer,dart_dart2js,original,countdown,NaN,NaN,2109,0,Infinity,0
bench/lazy-direct-dart_dart2js-Tracer.js,kate,firefox,Tracer,dart_dart2js,lazy,reservoir,100,NaN,2302,41,56.15,2639.22
bench/original-direct-dart_dart2js-Tracer.js,william,firefox,Tracer,dart_dart2js,original,countdown,NaN,NaN,2109,0,Infinity,0
bench/lazy-wrapper-racket_racketscript-ack.js,alfred,chrome,ack,racket_racketscript,lazy,reservoir,100,NaN,57340,384,149.32,4312.13
bench/original-wrapper-racket_racketscript-ack.js,kate,chrome,ack,racket_racketscript,original,countdown,NaN,NaN,2408,0,Infinity,0
bench/original-direct-racket_racketscript-ack.js,kate,firefox,ack,racket_racketscript,original,countdown,NaN,NaN,7998,0,Infinity,0
bench/lazy-wrapper-ocaml-almabench.js,sam-desktop,chrome,almabench,ocaml,lazy,reservoir,100,NaN,36109,369,97.86,62.17
bench/original-wrapper-ocaml-almabench.js,sam-desktop,chrome,almabench,ocaml,original,countdown,NaN,NaN,3179,0,Infinity,0
bench/lazy-direct-ocaml-almabench.js,william,firefox,almabench,ocaml,lazy,reservoir,100,NaN,29541,374,78.99,3195.56
bench/original-direct-ocaml-almabench.js,william,firefox,almabench,ocaml,original,countdown,NaN,NaN,3437,0,Infinity,0
bench/lazy-wrapper-python_pyjs-b.js,william,chrome,b,python_pyjs,lazy,reservoir,100,NaN,2779,43,64.63,1987.36
bench/original-wrapper-python_pyjs-b.js,alfred,chrome,b,python_pyjs,original,countdown,NaN,NaN,985,0,Infinity,0
bench/lazy-direct-python_pyjs-b.js,sam-desktop,firefox,b,python_pyjs,lazy,reservoir,100,NaN,2237,24,93.21,484.05
bench/original-direct-python_pyjs-b.js,william,firefox,b,python_pyjs,original,countdown,NaN,NaN,1205,0,Infinity,0
bench/lazy-wrapper-ocaml-bdd.js,william,chrome,bdd,ocaml,lazy,reservoir,100,NaN,29059,329,88.33,1126.90
bench/original-wrapper-ocaml-bdd.js,william,chrome,bdd,ocaml,original,countdown,NaN,NaN,2887,0,Infinity,0
bench/lazy-direct-ocaml-bdd.js,william,firefox,bdd,ocaml,lazy,reservoir,100,NaN,46225,477,96.91,1127.66
bench/original-direct-ocaml-bdd.js,kate,firefox,bdd,ocaml,original,countdown,NaN,NaN,6391,0,Infinity,0
bench/lazy-wrapper-python_pyjs-binary_trees.js,william,chrome,binary_trees,python_pyjs,lazy,reservoir,100,NaN,3926,56,70.11,2456.27
bench/original-wrapper-python_pyjs-binary_trees.js,kate,chrome,binary_trees,python_pyjs,original,countdown,NaN,NaN,8623,0,Infinity,0
bench/lazy-direct-python_pyjs-binary_trees.js,william,firefox,binary_trees,python_pyjs,lazy,reservoir,100,NaN,10800,117,92.31,612.77
bench/original-direct-python_pyjs-binary_trees.js,sam-desktop,firefox,binary_trees,python_pyjs,original,countdown,NaN,NaN,1629,0,Infinity,0
bench/lazy-wrapper-clojurescript-binarytrees.js,sam-desktop,chrome,binarytrees,clojurescript,lazy,reservoir,100,NaN,8943,93,96.16,332.71
bench/original-wrapper-clojurescript-binarytrees.js,kate,chrome,binarytrees,clojurescript,original,countdown,NaN,NaN,1460,0,Infinity,0
bench/lazy-direct-clojurescript-binarytrees.js,alfred,firefox,binarytrees,clojurescript,lazy,reservoir,100,NaN,23284,226,103.03,3074.89
bench/original-direct-clojurescript-binarytrees.js,william,firefox,binarytrees,clojurescript,original,countdown,NaN,NaN,2394,0,Infinity,0
bench/lazy-wrapper-clojurescript-collatz.js,william,chrome,collatz,clojurescript,lazy,reservoir,100,NaN,12939,133,97.29,2444.12
bench/original-wrapper-clojurescript-collatz.js,kate,chrome,collatz,clojurescript,original,countdown,NaN,NaN,3519,0,Infinity,0
bench/lazy-direct-clojurescript-collatz.js,sam-desktop,firefox,collatz,clojurescript,lazy,reservoir,100,NaN,13327,132,100.96,2046.29
bench/original-direct-clojurescript-collatz.js,sam-desktop,firefox,collatz,clojurescript,original,countdown,NaN,NaN,3101,0,Infinity,0
bench/lazy-wrapper-racket_racketscript-dderiv.js,william,chrome,dderiv,racket_racketscript,lazy,reservoir,100,NaN,400,7,57.14,2047.18
bench/original-wrapper-racket_racketscript-dderiv.js,sam-desktop,chrome,dderiv,racket_racketscript,original,countdown,NaN,NaN,24,0,Infinity,0
bench/lazy-direct-racket_racketscript-dderiv.js,alfred,firefox,dderiv,racket_racketscript,lazy,reservoir,100,NaN,302,8,37.75,1287.37
bench/original-direct-racket_racketscript-dderiv.js,sam-desktop,firefox,dderiv,racket_racketscript,original,countdown,NaN,NaN,20,0,Infinity,0
bench/lazy-wrapper-python_pyjs-deltablue.js,william,chrome,deltablue,python_pyjs,lazy,reservoir,100,NaN,12741,169,75.39,1307.15
bench/original-wrapper-python_pyjs-deltablue.js,sam-desktop,chrome,deltablue,python_pyjs,original,countdown,NaN,NaN,7900,0,Infinity,0
bench/lazy-direct-python_pyjs-deltablue.js,sam-desktop,firefox,deltablue,python_pyjs,lazy,reservoir,100,NaN,10600,110,96.36,1777.51
bench/original-direct-python_pyjs-deltablue.js,alfred,firefox,deltablue,python_pyjs,original,countdown,NaN,NaN,7946,0,Infinity,0
